dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,variant,acquisition,metric,n_pairs,mean_diff,median_diff,std_diff,cohens_dz,ci95_low,ci95_high,dz_ci95_low,dz_ci95_high,t_stat,p_value_t,wilcoxon_stat,p_value_wilcoxon,p_value_t_fdr_bh,p_value_wilcoxon_fdr_bh
weber_fechner,value,exact,drift,0,0.05,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,0.46314084906091707,0.3845405844009093,1.3808873856179111,0.33539364171515956,-1.2514573032345617,2.1777390013563958,-0.5881519378887383,1.2213906925628752,0.7499629820963061,0.49497941457359623,4.0,0.4375,0.5444773560309559,0.8020833333333334
weber_fechner,value,exact,drift,0,0.05,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,0.24599304407634232,-0.08646894188514409,0.8188987787136656,0.30039493337961826,-0.7708040876254472,1.2627901757781317,-0.6159018603875657,1.182604741835132,0.6717034911333472,0.538572377924022,6.0,0.8125,0.5642186816346897,1.0
weber_fechner,value,exact,drift,0,0.25,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,7.370934857163229,3.7334410250085064,7.040191509718097,1.0469793111435368,-1.3706174809135376,16.112487195239996,-0.1101189104327616,2.132639333744654,2.341116910752851,0.07928143745473572,0.0,0.0625,0.17441916240041858,0.171875
weber_fechner,value,exact,drift,0,0.25,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,2.1924655225794067,2.0637865933386674,3.534806894124012,0.6202504375059331,-2.196576938456843,6.581507983615657,-0.37920338679957344,1.560232468409049,1.3869221413372514,0.2377479002767757,3.0,0.3125,0.4569900699222942,0.625
weber_fechner,value,exact,drift,0,1.0,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,11.873274553917117,5.8120784294406596,10.185892487659157,1.165658735187155,-0.7741814375834366,24.52073054541767,-0.04221962601090864,2.302217123461892,2.6064921704449047,0.05963946568346795,0.0,0.0625,0.14578536055958832,0.171875
weber_fechner,value,exact,drift,0,1.0,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,10.937182944104936,11.2133768416446,7.509586325525854,1.4564294849275958,1.612799962296192,20.26156592591368,0.11465062142647875,2.731126962181204,3.2566753327331095,0.031178501795040846,1.0,0.125,0.09957988648604377,0.275
weber_fechner,value,exact,drift,0,5.0,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,19.04543516905282,25.712013215281132,13.718546011660493,1.3882983774566617,2.01161047867215,36.07925985943349,0.0789690180115164,2.62915668508237,3.104329545045757,0.036069427610973134,1.0,0.125,0.09957988648604377,0.275
weber_fechner,value,exact,drift,0,5.0,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,20.177071367539966,15.998366534577318,8.073381816999234,2.4992093554965185,10.152643821619128,30.201498913460803,0.6054328664451465,4.358820367688885,5.588402008893653,0.005029753776624344,0.0,0.0625,0.055327291542867786,0.171875
weber_fechner,value,exact,drift,20,0.05,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
weber_fechner,value,exact,drift,20,0.05,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
