iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,min_distance_redirect,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,466.94575066007076,-299.3338264789536,2.331166856074644,2.331166856074644,False,0.0,logei,0.0,False,False,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,0.8738786749804146,0.8738786749804146,0.8738786749804146,0.8738786749804146,2.331166856074644,0.8738786749804146,eggholder
2,336.3275625211195,-359.13510596401125,0.9168162679127149,0.9168162679127149,False,0.0,logei,0.0,False,False,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.2882292631423438,3.1621079381227584,0.8738786749804146,1.5810539690613792,2.331166856074644,0.8738786749804146,eggholder
3,13.111927231042387,-372.8183254830012,0.8759976497847213,0.8759976497847213,False,0.0,logei,0.0,False,False,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.3290478812703377,5.4911558193930965,0.8738786749804146,1.8303852731310322,2.331166856074644,0.8738786749804146,eggholder
4,193.5733552958783,349.94966969577365,0.3280943587556729,0.3280943587556729,False,0.0,logei,0.0,False,False,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.876951172299386,8.368106991692482,0.8738786749804146,2.0920267479231205,2.331166856074644,0.8738786749804146,eggholder
5,-76.27878665730395,467.892227536247,0.4420618529814177,0.4420618529814177,False,0.0,logei,0.0,False,False,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.762983678073641,11.131090669766124,0.8738786749804146,2.2262181339532248,2.331166856074644,0.8738786749804146,eggholder
6,509.40013721262426,-238.26850230398964,1.0107610115471206,1.0107610115471206,False,0.0,logei,0.20395940000889823,False,True,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.194284519507938,13.325375189274062,0.8738786749804146,2.2208958648790103,2.331166856074644,0.8738786749804146,eggholder
7,512.0,-491.8603724462118,-2.1888415488221513,-2.1888415488221513,False,0.0,logei,0.13456489995587617,False,False,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,5.39388707987721,18.719262269151272,0.8738786749804146,2.6741803241644675,2.331166856074644,0.8738786749804146,eggholder
8,-77.81154055740448,-298.2977348206027,0.6556872274238189,0.6556872274238189,False,0.0,logei,0.1842731999931857,False,False,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.54935830363124,21.268620572782513,0.8738786749804146,2.658577571597814,2.331166856074644,0.8738786749804146,eggholder
9,394.941429427873,-287.94693520594785,-0.14960216635364432,-0.14960216635364432,False,0.0,logei,0.19169870001496747,False,True,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,3.354647697408703,24.623268270191218,0.8738786749804146,2.735918696687913,2.331166856074644,0.8738786749804146,eggholder
10,261.78756113343,-319.9259237302862,-0.2561058123897014,-0.2561058123897014,False,0.0,logei,0.27273050002986565,False,True,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,3.4611513434447603,28.08441961363598,0.8738786749804146,2.808441961363598,2.331166856074644,0.8738786749804146,eggholder
11,448.72478687867067,-369.78817870468004,1.2207965638316454,1.2207965638316454,False,0.0,logei,0.28752900002291426,False,True,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,1.9842489672234134,30.068668580859395,0.8738786749804146,2.733515325532672,2.331166856074644,0.8738786749804146,eggholder
12,438.18519484072885,-131.54395253884638,-0.9059743618831386,-0.9059743618831386,False,0.0,logei,0.2908885999931954,False,True,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,4.111019892938197,34.17968847379759,0.8738786749804146,2.848307372816466,2.331166856074644,0.8738786749804146,eggholder
13,431.51705546083053,-214.94063891983365,-1.2214264172782758,-1.2214264172782758,False,0.0,logei,0.23018439998850226,False,True,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,4.426471948333335,38.60616042213093,0.8738786749804146,2.9697046478562252,2.331166856074644,0.8738786749804146,eggholder
14,340.46153719172287,-183.81162900459776,0.37149838284152903,0.37149838284152903,False,0.0,logei,0.24275459995260462,False,True,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.8335471482135297,41.43970757034445,0.8738786749804146,2.959979112167461,2.331166856074644,0.8738786749804146,eggholder
15,358.59140679142274,-489.8044743574584,0.688890173697856,0.688890173697856,False,0.0,logei,0.2581093999906443,False,True,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.516155357357203,43.95586292770166,0.8738786749804146,2.930390861846777,2.331166856074644,0.8738786749804146,eggholder
16,481.2934337805908,-46.04092785099692,0.10692684629335637,0.10692684629335637,False,0.0,logei,0.28009820001898333,False,True,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,3.0981186847617024,47.05398161246336,0.8738786749804146,2.94087385077896,2.331166856074644,0.8738786749804146,eggholder
17,-34.456930032177524,-454.5615672268573,-1.4084138291304664,-1.4084138291304664,False,0.0,logei,0.2718688999884762,False,True,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,4.613459360185525,51.66744097264888,0.8738786749804146,3.0392612336852283,2.331166856074644,0.8738786749804146,eggholder
18,403.4342376265306,144.87972838759595,1.76637153945948,1.76637153945948,False,0.0,logei,0.23702689999481663,False,True,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,1.4386739915955788,53.10611496424446,0.8738786749804146,2.9503397202358035,2.331166856074644,0.8738786749804146,eggholder
19,512.0,512.0,0.40926290471147625,0.40926290471147625,False,0.0,logei,0.15510520001407713,False,False,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.7957826263435823,55.90189759058804,0.8738786749804146,2.942205136346739,2.331166856074644,0.8738786749804146,eggholder
20,-512.0,512.0,-3.533135983972524,-3.533135983972524,False,0.0,logei,0.18408360000466928,False,False,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,6.738181515027582,62.64007910561563,0.8738786749804146,3.1320039552807812,2.331166856074644,0.8738786749804146,eggholder
21,251.56760810199535,512.0,0.7824116054994577,0.7824116054994577,False,0.0,logei,0.2207483000238426,False,False,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.4226339255556013,65.06271303117123,0.8738786749804146,3.098224430055773,2.331166856074644,0.8738786749804146,eggholder
22,177.72710917019674,509.79022951113586,0.8431509756384308,0.8431509756384308,False,0.0,logei,0.1676292999763973,False,True,10,ce68f6f3-ffcd-4dd2-8f52-2c87b013e7e5,none,0.0,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.3618945554166277,67.42460758658785,0.8738786749804146,3.0647548902994477,2.331166856074644,0.8738786749804146,eggholder
