run_id,dataset,objective,acquisition,seed,oracle_model,baseline,variant,error_model,jitter_std,jitter_iteration,n_iterations,acq_opt_failures,response_start_iteration,response_end_iteration,response_l2_jitter,final_best_true_jitter,final_simple_regret_true_jitter,final_cum_regret_true_jitter,final_avg_regret_true_jitter,auc_simple_regret_true_jitter,auc_simple_regret_true_postonset_per_iter_jitter,final_inference_simple_regret_true_jitter,auc_inference_simple_regret_true_jitter,param_columns,response_x0,response_x1,response_x2,response_x3,response_l2_baseline,final_best_true_baseline,final_simple_regret_true_baseline,final_cum_regret_true_baseline,final_avg_regret_true_baseline,auc_simple_regret_true_baseline,auc_simple_regret_true_postonset_per_iter_baseline,final_inference_simple_regret_true_baseline,auc_inference_simple_regret_true_baseline,response_l2_excess,final_best_true_excess,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true,auc_simple_regret_excess_true_postonset_per_iter,final_inference_simple_regret_excess_true,auc_inference_simple_regret_excess_true
91931199-c69e-4493-8e24-5082f8ea6550,ackley,value,logei,10,exact,False,noise-self_report_conf-r0,gaussian,0.25,0,50,0,1,2,54.851587976368485,1.0413774934105788,19.06106966044285,1006.0847699512716,20.12169539902543,946.5740338067764,19.317837424628088,19.181730750173585,950.5404229195431,"x0,x1,x2,x3",-29.045364699457817,-4.703007936259052,-9.13626926241544,45.38142564222623,54.851587976368485,0.7759706972308082,19.326476456622625,1025.2991721085823,20.50598344217165,966.6847589410784,19.72826038655262,19.326476456622625,966.6847589410784,0.0,0.2654067961797706,-0.26540679617977503,-19.2144021573107,-0.38428804314622056,-20.110725134302015,-0.41042296192453165,-0.14474570644904006,-16.14433602153531
c7527b4e-4978-482c-8535-2214e9f68994,ackley,value,logei,10,exact,False,noise-self_report_conf-r0,gaussian,1.0,0,50,0,1,2,54.851587976368485,0.616677866298005,19.485769287555428,1021.1840341386282,20.423680682772567,976.8278732833379,19.93526272006812,20.35632740753545,1003.2705501394311,"x0,x1,x2,x3",-29.045364699457817,-4.703007936259052,-9.13626926241544,45.38142564222623,54.851587976368485,0.7759706972308082,19.326476456622625,1025.2991721085823,20.50598344217165,966.6847589410784,19.72826038655262,19.326476456622625,966.6847589410784,0.0,-0.15929283093280322,0.15929283093280233,-4.1151379699540485,-0.08230275939908438,10.143114342259537,0.20700233351550068,1.0298509509128237,36.585791198352695
d67513c5-3652-407f-b454-85bb1bda762a,ackley,value,logei,11,exact,False,noise-self_report_conf-r0,gaussian,0.25,0,50,0,1,2,45.244531859724034,16.983204698116715,3.119242455736717,671.4682530076095,13.42936506015219,393.8084947107405,8.036908055321234,3.119242455736717,393.8084947107405,"x0,x1,x2,x3",1.268507070185887,28.110563607855404,-34.804713486362914,6.624702695168629,45.244531859724034,2.8256065112024022,17.27684064265103,930.6313475832116,18.612626951664232,866.1776387019061,17.677094667385838,17.27684064265103,866.1776387019061,0.0,14.157598186914313,-14.157598186914313,-259.16309457560203,-5.183261891512043,-472.3691439911656,-9.640186612064603,-14.157598186914313,-472.3691439911656
acf2d480-678b-413a-87e5-2b9faaa985d1,ackley,value,logei,11,exact,False,noise-self_report_conf-r0,gaussian,1.0,0,50,0,1,2,45.244531859724034,16.82352130901644,3.2789258448369942,626.5824364950112,12.531648729900224,458.83721114616156,9.364024717268604,3.2789258448369942,461.54479866303643,"x0,x1,x2,x3",1.268507070185887,28.110563607855404,-34.804713486362914,6.624702695168629,45.244531859724034,2.8256065112024022,17.27684064265103,930.6313475832116,18.612626951664232,866.1776387019061,17.677094667385838,17.27684064265103,866.1776387019061,0.0,13.997914797814037,-13.997914797814037,-304.0489110882004,-6.080978221764008,-407.3404275557445,-8.313069950117233,-13.997914797814037,-404.63284003886963
c9f0cb98-8ce4-4beb-98a1-f476d0f4883e,ackley,value,logei,7,exact,False,noise-self_report_conf-r0,gaussian,0.25,0,50,0,1,2,67.31181028051424,17.19822659198875,2.9042205618646832,686.296493047878,13.72592986095756,371.99446023891585,7.591723678345222,2.9042205618646832,373.01357153863626,"x0,x1,x2,x3",-21.294558851461385,-1.5506050628526822,-50.49027039589949,39.06084722390954,67.31181028051424,16.72953232838556,3.3729148254678734,726.4970830245348,14.529941660490698,369.9938675515275,7.5508952561536224,3.3729148254678734,369.9938675515275,0.0,0.4686942636031901,-0.4686942636031901,-40.20058997665683,-0.8040117995331375,2.000592687388348,0.04082842219159932,-0.4686942636031901,3.0197039871087554
c772359b-07bd-4473-b988-31dcf820c793,ackley,value,logei,7,exact,False,noise-self_report_conf-r0,gaussian,1.0,0,50,0,1,2,67.31181028051424,15.938176116047272,4.164271037806159,700.6853499004604,14.013706998009209,347.45142257535923,7.0908453586808005,4.418603857931499,358.29119287663485,"x0,x1,x2,x3",-21.294558851461385,-1.5506050628526822,-50.49027039589949,39.06084722390954,67.31181028051424,16.72953232838556,3.3729148254678734,726.4970830245348,14.529941660490698,369.9938675515275,7.5508952561536224,3.3729148254678734,369.9938675515275,0.0,-0.7913562123382878,0.791356212338286,-25.811733124074408,-0.5162346624814891,-22.54244497616827,-0.460049897472822,1.0456890324636259,-11.702674674892648
277792ba-02ba-4a50-8398-8eaee1871966,ackley,value,logei,8,exact,False,noise-self_report_conf-r0,gaussian,0.25,0,50,0,1,2,59.96823586912547,16.83241759902021,3.270029554833222,773.8440477975965,15.47688095595193,498.25409921305373,10.168451004348036,3.270029554833222,498.25409921305373,"x0,x1,x2,x3",35.58108267090119,-39.07204132364167,7.809992925988919,-27.24987094503757,59.96823586912547,18.147018435865533,1.9554287179879,584.4615277384551,11.689230554769102,424.0796284549088,8.65468629499814,1.9554287179879,424.0796284549088,0.0,-1.3146008368453224,1.3146008368453221,189.38252005914148,3.7876504011828285,74.17447075814493,1.5137647093498963,1.3146008368453221,74.17447075814493
8534e981-c37c-41a5-869c-b66aec1c7637,ackley,value,logei,8,exact,False,noise-self_report_conf-r0,gaussian,1.0,0,50,0,1,2,59.96823586912547,12.972636992066692,7.129810161786741,852.6050546144136,17.05210109228827,776.3253206604977,15.843373891030566,9.30727438454402,817.584664408706,"x0,x1,x2,x3",35.58108267090119,-39.07204132364167,7.809992925988919,-27.24987094503757,59.96823586912547,18.147018435865533,1.9554287179879,584.4615277384551,11.689230554769102,424.0796284549088,8.65468629499814,1.9554287179879,424.0796284549088,0.0,-5.174381443798842,5.174381443798842,268.1435268759585,5.36287053751917,352.2456922055889,7.188687596032427,7.35184566655612,393.5050359537972
fc52a354-8a83-4bcc-be53-8414f8031729,ackley,value,logei,9,exact,False,noise-self_report_conf-r0,gaussian,0.25,0,50,0,1,2,46.56441722643123,16.998107639174947,3.104339514678486,706.3447937565877,14.126895875131757,382.94118847444446,7.8151262953968255,3.104339514678486,384.9918004212341,"x0,x1,x2,x3",-10.103984905684216,41.193498961703874,16.85884103107037,9.221147599082851,46.56441722643123,16.885034566935353,3.21741258691808,691.6006843026996,13.832013686053992,600.794028570671,12.261102623891245,3.21741258691808,600.794028570671,0.0,0.11307307223959384,-0.11307307223959384,14.744109453888086,0.2948821890777644,-217.85284009622654,-4.44597632849442,-0.11307307223959384,-215.80222814943693
cc21888d-f556-426d-949c-c60080482c8d,ackley,value,logei,9,exact,False,noise-self_report_conf-r0,gaussian,1.0,0,50,0,1,2,46.56441722643123,17.88847795212633,2.213969201727103,750.5074696169982,15.010149392339963,637.5208518706576,13.010629630013419,2.213969201727103,669.292282768126,"x0,x1,x2,x3",-10.103984905684216,41.193498961703874,16.85884103107037,9.221147599082851,46.56441722643123,16.885034566935353,3.21741258691808,691.6006843026996,13.832013686053992,600.794028570671,12.261102623891245,3.21741258691808,600.794028570671,0.0,1.0034433851909768,-1.0034433851909768,58.90678531429853,1.1781357062859712,36.72682329998656,0.7495270061221735,-1.0034433851909768,68.49825419745503
