model,term,coefficient,ci_low,ci_high,p_bootstrap,bootstrap_reps_used,r_squared,n_cells,n_clusters
indicators_only,const,0.6062974318005598,0.289552464480644,0.9964906466954484,0.0005,2000,0.04028295908554502,640,20
indicators_only,error_model_bias,0.08634624015067141,0.03577756446329071,0.15703777252643028,0.0005,2000,0.04028295908554502,640,20
indicators_only,error_model_drift,0.07111032849595669,0.03512259589542767,0.11415477800610914,0.0005,2000,0.04028295908554502,640,20
indicators_only,error_model_gaussian,0.07032269651450411,0.027773609717010997,0.131470433897049,0.0005,2000,0.04028295908554502,640,20
indicators_only,onset_20,-0.42824268374819685,-0.6519452894517821,-0.2345693318236292,0.0005,2000,0.04028295908554502,640,20
magnitude_only,const,0.6062974318005602,0.2895524644806442,0.9964906466954487,0.0005,2000,0.15763881730772666,640,20
magnitude_only,log_noise,0.36991363935820387,0.14716408197025607,0.6589137669435582,0.0005,2000,0.15763881730772666,640,20
magnitude_only,error_model_bias,0.08634624015067077,0.03577756446329042,0.15703777252642928,0.0005,2000,0.15763881730772666,640,20
magnitude_only,error_model_drift,0.07111032849595622,0.035122595895427496,0.11415477800610854,0.0005,2000,0.15763881730772666,640,20
magnitude_only,error_model_gaussian,0.07032269651450371,0.027773609717010844,0.13147043389704843,0.0005,2000,0.15763881730772666,640,20
magnitude_only,onset_20,-0.42824268374819785,-0.6519452894517818,-0.23456933182362955,0.0005,2000,0.15763881730772666,640,20
mediator_only,const,0.6062974318005594,0.3275617064387128,0.8879613769931374,0.0005,2000,0.5197427501995016,640,20
mediator_only,frag_at_c,0.747694272435236,0.3240197015672037,0.8925952825931386,0.0005,2000,0.5197427501995016,640,20
mediator_only,error_model_bias,0.0863462401506713,0.03577756446329056,0.15703777252643042,0.0005,2000,0.5197427501995016,640,20
mediator_only,error_model_drift,0.07111032849595658,0.03512259589542758,0.11415477800611006,0.0005,2000,0.5197427501995016,640,20
mediator_only,error_model_gaussian,0.07032269651450421,0.02777360971701097,0.13147043389704938,0.0005,2000,0.5197427501995016,640,20
mediator_only,onset_20,-0.4282426837481971,-0.6519452894517817,-0.2345693318236295,0.0005,2000,0.5197427501995016,640,20
descriptors_only,const,0.6062974318005598,0.36935996229456647,0.7228960856928416,0.0005,2000,0.5258782458232505,640,20
descriptors_only,log_noise,0.3699136393582033,0.1471640819702559,0.6589137669435575,0.0005,2000,0.5258782458232505,640,20
descriptors_only,dim,-0.025119677567616905,-0.2588690137844284,0.12121260390507015,0.768,2000,0.5258782458232505,640,20
descriptors_only,log_opt_z,0.6356920121538564,0.2433785237834289,0.7425559187681028,0.0005,2000,0.5258782458232505,640,20
descriptors_only,ruggedness,-0.09126985706575147,-0.3833749501947582,0.11769325946042447,0.415,2000,0.5258782458232505,640,20
descriptors_only,log_tail_ratio,0.19870679169065494,0.02893095155521031,0.3311118855072945,0.005,2000,0.5258782458232505,640,20
descriptors_only,error_model_bias,0.0863462401506708,0.03577756446329043,0.15703777252642906,0.0005,2000,0.5258782458232505,640,20
descriptors_only,error_model_drift,0.07111032849595648,0.03512259589542778,0.11415477800610851,0.0005,2000,0.5258782458232505,640,20
descriptors_only,error_model_gaussian,0.07032269651450382,0.027773609717011174,0.13147043389704827,0.0005,2000,0.5258782458232505,640,20
descriptors_only,onset_20,-0.42824268374819796,-0.6519452894517791,-0.23456933182362977,0.0005,2000,0.5258782458232505,640,20
both,const,0.6062974318005585,0.3704146917453809,0.7244712478559934,0.0005,2000,0.7012474704515308,640,20
both,frag_at_c,0.6628018956968533,0.28180495651976,0.7368001989442555,0.0005,2000,0.7012474704515308,640,20
both,log_noise,-0.06819122299635472,-0.12166065165039487,0.08088087329211774,0.44,2000,0.7012474704515308,640,20
both,dim,-0.02652699660346651,-0.26243406250605783,0.1246395899166377,0.735,2000,0.7012474704515308,640,20
both,log_opt_z,0.4198014855867579,0.11825830263382142,0.5233428256418032,0.005,2000,0.7012474704515308,640,20
both,ruggedness,-0.06490935517144736,-0.3372040899636725,0.14556426294245906,0.456,2000,0.7012474704515308,640,20
both,log_tail_ratio,0.1988918308466636,0.022642958032091716,0.3400910195469904,0.004,2000,0.7012474704515308,640,20
both,error_model_bias,0.0863462401506714,0.03577756446329057,0.15703777252643047,0.0005,2000,0.7012474704515308,640,20
both,error_model_drift,0.07111032849595633,0.03512259589542778,0.11415477800610921,0.0005,2000,0.7012474704515308,640,20
both,error_model_gaussian,0.07032269651450407,0.027773609717011434,0.13147043389704954,0.0005,2000,0.7012474704515308,640,20
both,onset_20,-0.42824268374819835,-0.6519452894517854,-0.23456933182362982,0.0005,2000,0.7012474704515308,640,20
descriptors_interaction,const,0.6062974318005595,0.3693599622945665,0.7228960856928421,0.0005,2000,0.7785891129427779,640,20
descriptors_interaction,log_noise,0.3699136393582043,0.20535399139137311,0.4818217689670986,0.0005,2000,0.7785891129427779,640,20
descriptors_interaction,dim,-0.025119677567617092,-0.2588690137844284,0.12121260390506258,0.768,2000,0.7785891129427779,640,20
descriptors_interaction,log_opt_z,0.6356920121538565,0.2433785237834293,0.7425559187681033,0.0005,2000,0.7785891129427779,640,20
descriptors_interaction,ruggedness,-0.09126985706575132,-0.38337495019475787,0.11769325946042429,0.415,2000,0.7785891129427779,640,20
descriptors_interaction,log_tail_ratio,0.1987067916906549,0.028930951555210225,0.33111188550729476,0.005,2000,0.7785891129427779,640,20
descriptors_interaction,noise_x_opt_z,0.5384759864792311,0.17177147282624805,0.6840075305683856,0.0005,2000,0.7785891129427779,640,20
descriptors_interaction,log_noise_sq,0.06857620231462672,0.016179468309924463,0.13705382373823888,0.0005,2000,0.7785891129427779,640,20
descriptors_interaction,error_model_bias,0.08634624015067055,0.03577756446329036,0.15703777252642917,0.0005,2000,0.7785891129427779,640,20
descriptors_interaction,error_model_drift,0.07111032849595786,0.03512259589542771,0.11415477800610865,0.0005,2000,0.7785891129427779,640,20
descriptors_interaction,error_model_gaussian,0.07032269651450371,0.027773609717010893,0.13147043389704852,0.0005,2000,0.7785891129427779,640,20
descriptors_interaction,onset_20,-0.42824268374819735,-0.6519452894517828,-0.23456933182362935,0.0005,2000,0.7785891129427779,640,20
both_interaction,const,0.6062974318005568,0.3705479227008128,0.7247175212752671,0.0005,2000,0.7916560218005609,640,20
both_interaction,frag_at_c,0.3050642815888546,0.1777162133098234,0.4477167710159094,0.0005,2000,0.7916560218005609,640,20
both_interaction,log_noise,0.1682694588534676,0.0012333381902041,0.3073744604644721,0.046,2000,0.7916560218005609,640,20
both_interaction,dim,-0.025767416769066312,-0.2626546138367813,0.12349769144205008,0.745,2000,0.7916560218005609,640,20
both_interaction,log_opt_z,0.5363252348156786,0.14411995884023202,0.6675824730445081,0.002,2000,0.7916560218005609,640,20
both_interaction,ruggedness,-0.07913704992546242,-0.36472677432167927,0.13458237907333975,0.444,2000,0.7916560218005609,640,20
both_interaction,log_tail_ratio,0.1987919586727659,0.02296172283142719,0.33553808580780187,0.004,2000,0.7916560218005609,640,20
both_interaction,noise_x_opt_z,0.40487307013282486,0.07096777486960532,0.5713459910287855,0.0005,2000,0.7916560218005609,640,20
both_interaction,log_noise_sq,-0.032576911263256465,-0.06311367606069902,0.016547935083357498,0.17,2000,0.7916560218005609,640,20
both_interaction,error_model_bias,0.08634624015067312,0.0357775644632906,0.1570377725264298,0.0005,2000,0.7916560218005609,640,20
both_interaction,error_model_drift,0.07111032849595836,0.035122595895427565,0.11415477800610895,0.0005,2000,0.7916560218005609,640,20
both_interaction,error_model_gaussian,0.0703226965145066,0.027773609717011143,0.13147043389704954,0.0005,2000,0.7916560218005609,640,20
both_interaction,onset_20,-0.4282426837481946,-0.6519452894517823,-0.23456933182362927,0.0005,2000,0.7916560218005609,640,20
