error_model,jitter_std,jitter_iteration,acquisition,mean_rank_fragility,mean_fragility,median_fragility,mean_absolute_loss,n_benchmarks
ar1,0.05,0,ei,3.95,-0.0005123218829333481,-0.0006058508171283854,0.2634068287408305,20
ar1,0.05,0,qucb,3.95,-0.0031467440044744,-0.0005705729500187282,0.29089146710392944,20
ar1,0.05,0,qnei,4.15,-0.0019391980392960688,0.0009643564293487717,0.2574421229476355,20
ar1,0.05,0,qei,4.2,-0.00018977178249655942,1.986621598782901e-05,0.2592583129094229,20
ar1,0.05,0,logei,4.6,-0.00289558590455053,-0.00030281097600995817,0.2604082569921455,20
ar1,0.05,0,ucb,5.55,0.007947665772930143,0.003839029443459127,0.2935196631410381,20
ar1,0.05,0,qpi,6.3,0.007155054708793069,0.007896087212500336,0.2946273103076344,20
ar1,0.05,0,pi,7.05,0.010370885887979917,0.0057742418833974865,0.29191561761201246,20
ar1,0.05,0,logpi,7.5,0.017654886082246204,0.015423896712576789,0.29836060168169476,20
ar1,0.05,0,greedy,7.75,0.015849006146212753,0.018372397667257276,0.31162116862435113,20
ar1,0.05,20,ucb,4.45,-0.0018191844589456059,0.00015246559683294682,0.16580901265049003,20
ar1,0.05,20,logei,4.7,-0.0022354777527496344,2.310613229267467e-05,0.1492402702622017,20
ar1,0.05,20,qucb,4.7,0.0005686768130371599,0.00022991595707427242,0.18091706585519732,20
ar1,0.05,20,qnei,4.75,0.001301155079771135,0.0,0.14746700506079227,20
ar1,0.05,20,qei,4.8,0.002054449356499244,0.00031369816248568187,0.14619420391656596,20
ar1,0.05,20,ei,5.1,0.0006598987718870452,0.0005137574653474113,0.15188583778311268,20
ar1,0.05,20,qpi,6.35,0.0038974189931471727,0.002476809830268837,0.1779917273423406,20
ar1,0.05,20,greedy,6.4,0.0035376512410666373,0.00495694398417291,0.19512546108712345,20
ar1,0.05,20,logpi,6.45,0.005257579167354308,0.0018530681156779763,0.1672357726574458,20
ar1,0.05,20,pi,7.3,0.007305358401943907,0.004223194287329635,0.17077975597383724,20
ar1,0.25,0,ucb,2.9,0.004366247810124898,0.0007139963886854844,0.28993824517823286,20
ar1,0.25,0,qucb,3.6,0.006842303870265183,0.0030541456934502853,0.30088051497866897,20
ar1,0.25,0,logei,3.7,0.008346281981227659,0.009811713515168527,0.2716501248779236,20
ar1,0.25,0,ei,4.0,0.01288588363349169,0.00964011734555463,0.2768050342572555,20
ar1,0.25,0,qnei,4.15,0.011102509387943979,0.007732635795865469,0.2704838303748756,20
ar1,0.25,0,qei,4.6,0.020249204234936143,0.011860807168859011,0.27969728892685564,20
ar1,0.25,0,greedy,7.45,0.07240708160895634,0.07144450301559353,0.36817924408709474,20
ar1,0.25,0,qpi,7.85,0.07755260860519833,0.06107267052905973,0.3650248642040397,20
ar1,0.25,0,logpi,8.25,0.08970677707977907,0.07673014882194705,0.3704124926792276,20
ar1,0.25,0,pi,8.5,0.08601844268453437,0.07593657550778285,0.36756317440856695,20
ar1,0.25,20,logei,3.75,-0.0022134628911342677,0.0,0.1492622851238171,20
ar1,0.25,20,qucb,4.0,0.0005419277240958191,0.00021902754025288204,0.18089031676625594,20
ar1,0.25,20,ucb,4.55,0.004615669368951506,0.0011590221434181608,0.17224386647838713,20
ar1,0.25,20,qnei,4.775,0.004053950859252815,0.00036088032795591573,0.15021980084027395,20
ar1,0.25,20,ei,5.1,0.0032583407472128343,0.002343723962286,0.15448427975843848,20
ar1,0.25,20,qei,5.125,0.005056037203744867,0.002754436929653423,0.14919579176381162,20
ar1,0.25,20,greedy,5.925,0.013301062548872578,0.0050045219719844925,0.20488887239492942,20
ar1,0.25,20,qpi,6.5,0.013634096504369234,0.005591240174493546,0.18772840485356268,20
ar1,0.25,20,logpi,7.125,0.020111484761083775,0.0075233132634733016,0.18208967825117522,20
ar1,0.25,20,pi,8.15,0.026148613558631812,0.022679503639428937,0.18962301113052513,20
ar1,1.0,0,qucb,2.6,0.050521959602740626,0.03766584067226986,0.3445601707111445,20
ar1,1.0,0,ucb,3.0,0.0618968110459112,0.06056777467082554,0.34746880841401906,20
ar1,1.0,0,qnei,3.6,0.06710709529272724,0.06255004730371652,0.3264884162796589,20
ar1,1.0,0,ei,4.85,0.08723248251727797,0.06474499872050583,0.3511516331410418,20
ar1,1.0,0,qei,5.15,0.09627910651929646,0.08113872488743276,0.3557271912112158,20
ar1,1.0,0,logei,5.2,0.09270720261111928,0.07204449971032129,0.35601104550781526,20
ar1,1.0,0,greedy,6.6,0.1527005713752596,0.17461078846689915,0.4484727338533981,20
ar1,1.0,0,qpi,7.3,0.16309908952144545,0.13991937285712103,0.4505713451202869,20
ar1,1.0,0,pi,8.25,0.188522566948388,0.19295093791349796,0.47006729867242053,20
ar1,1.0,0,logpi,8.45,0.19326222308982524,0.16730531816957356,0.4739679386892738,20
ar1,1.0,20,ucb,4.1,0.00696472083628371,0.003042102759762361,0.17459291794571935,20
ar1,1.0,20,qucb,4.25,0.010996539782295516,0.0013268229696462195,0.19134492882445567,20
ar1,1.0,20,logei,4.5,0.010620186716841734,0.004732917058862409,0.16209593473179312,20
ar1,1.0,20,qnei,4.575,0.014159948846179984,0.005631707938672941,0.16032579882720116,20
ar1,1.0,20,ei,4.775,0.015061761062610502,0.006482437511934882,0.1662877000738362,20
ar1,1.0,20,qei,4.925,0.01792629421724449,0.0073030969895815,0.16206604877731126,20
ar1,1.0,20,greedy,5.825,0.03140789054560437,0.020554916667048874,0.22299570039166125,20
ar1,1.0,20,qpi,6.2,0.03462254160468615,0.02630304287449045,0.20871684995387957,20
ar1,1.0,20,logpi,7.7,0.04827088339429324,0.038415256714802004,0.2102490768843847,20
ar1,1.0,20,pi,8.15,0.052282644265423436,0.043823332285944996,0.21575704183731675,20
ar1,5.0,0,qucb,2.45,0.1629121641716332,0.1431566198538667,0.45695037528003696,20
ar1,5.0,0,ucb,3.7,0.17178998843898025,0.16252256545336835,0.45736198580708826,20
ar1,5.0,0,qei,5.3,0.20738307653180507,0.21269345978996562,0.4668311612237246,20
ar1,5.0,0,qnei,5.4,0.20077312240365747,0.18941905362870465,0.46015444339058914,20
ar1,5.0,0,logei,5.45,0.2019846499966394,0.18189778442221435,0.46528849289333546,20
ar1,5.0,0,ei,5.7,0.21147805354190394,0.197648626173994,0.47539720416566766,20
ar1,5.0,0,qpi,6.05,0.22471102361137954,0.196515982051566,0.512183279210221,20
ar1,5.0,0,logpi,6.75,0.2259510943192334,0.1935060501235769,0.5066568099186819,20
ar1,5.0,0,greedy,6.8,0.22799074096346178,0.18543924751227742,0.5237629034416004,20
ar1,5.0,0,pi,7.4,0.24286662469405548,0.2318639065914359,0.5244113564180879,20
ar1,5.0,20,qnei,4.175,0.030940682636053173,0.010982826991545,0.1771065326170743,20
ar1,5.0,20,logei,4.425,0.03181897192285997,0.009186595343877812,0.18329471993781135,20
ar1,5.0,20,qpi,5.05,0.04394347033460392,0.034724549713104985,0.21803777868379734,20
ar1,5.0,20,greedy,5.1,0.04087024251350894,0.040924317637990884,0.2324580523595657,20
ar1,5.0,20,qei,5.475,0.042096544269969574,0.027565180576070818,0.18623629883003634,20
ar1,5.0,20,ei,5.475,0.04103184281114435,0.01812686949353031,0.19225778182237002,20
ar1,5.0,20,ucb,5.775,0.0553004538016061,0.0461385020185936,0.2229286509110417,20
ar1,5.0,20,qucb,5.825,0.0522461665189725,0.02884988002856506,0.23259455556113268,20
ar1,5.0,20,pi,6.75,0.06203660584431768,0.05530227311325904,0.22551100341621105,20
ar1,5.0,20,logpi,6.95,0.059152656161287544,0.04677316709899902,0.22113084965137908,20
bias,0.05,0,logei,3.7,-0.004500287509526159,-0.0005636291494544281,0.25880355538716987,20
bias,0.05,0,ei,4.0,0.0019790067798857876,-0.00014556577584186737,0.26589815740364964,20
bias,0.05,0,qnei,4.2,0.0037388277168286647,0.0003157994573400063,0.2631201487037603,20
bias,0.05,0,qucb,4.45,0.0008549125124240692,0.0019112040939482644,0.29489312362082787,20
bias,0.05,0,qei,4.5,0.0027827892834508304,0.004365382148101397,0.26223087397537026,20
bias,0.05,0,ucb,5.5,0.015246128400725412,0.006623043515588885,0.3008181257688333,20
bias,0.05,0,qpi,6.6,0.02138140164572836,0.01373250850773857,0.30885365724456976,20
bias,0.05,0,logpi,7.0,0.0244112004713274,0.02232840494766277,0.30511691607077596,20
