acquisition,mean_rank,mean_fragility,mean_absolute_loss,conditions
qucb,3.94765625,0.0413796315752736,0.2785729316505556,32
qnei,4.3359375,0.04893790062884268,0.25171148611281907,32
ucb,4.40859375,0.04731437679444683,0.2739144740332186,32
logei,4.61484375,0.05212852031288078,0.25951831576870443,32
qei,4.72890625,0.05366472026455767,0.2554586398905508,32
ei,4.97578125,0.05423070581459586,0.2618032506320906,32
qpi,6.2859375,0.07904484090915594,0.30982812288317335,32
greedy,6.56484375,0.08105585540178294,0.3247358415638806,32
logpi,7.47578125,0.09190960927896137,0.31325156382373137,32
pi,7.66171875,0.09442984787874677,0.3169394125267097,32
