error_model,variant,jitter_std,jitter_iteration,k,tolerance,budget,n_runs,n_landscapes,mean_extra,ci_low,ci_high,median_extra,mean_extra_reached,mean_multiplier,censored_fraction
ar1,,0.05,0,10,0.01,50,600,20,1.6433333333333333,0.9582916666666665,2.538333333333333,0.0,1.5100334448160535,1.1643333333333334,0.0033333333333333335
ar1,,0.05,0,25,0.01,50,600,20,4.248333333333333,2.979583333333333,5.533624999999999,0.0,2.287253141831239,1.1699333333333335,0.07166666666666667
ar1,,0.05,20,10,0.01,50,600,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,0.05,20,25,0.01,50,600,20,0.7549999999999999,0.45158333333333334,1.07,0.0,0.5805369127516778,1.0302000000000002,0.006666666666666667
ar1,,0.25,0,10,0.01,50,600,20,3.8083333333333327,3.081666666666667,4.566749999999999,0.0,2.907849829351536,1.3808333333333334,0.023333333333333334
ar1,,0.25,0,25,0.01,50,600,20,9.415000000000001,7.458166666666667,11.495041666666667,5.0,4.332644628099174,1.3766,0.19333333333333333
ar1,,0.25,20,10,0.01,50,600,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,0.25,20,25,0.01,50,600,20,1.765,1.0766666666666667,2.595124999999999,0.0,0.697391304347826,1.0705999999999998,0.041666666666666664
ar1,,1.0,0,10,0.01,50,600,20,10.02,8.366541666666665,11.846958333333331,2.0,5.0926640926640925,2.0020000000000002,0.13666666666666666
ar1,,1.0,0,25,0.01,50,600,20,18.345,16.126208333333334,20.502041666666663,25.0,5.996794871794871,1.7338000000000002,0.48
ar1,,1.0,20,10,0.01,50,600,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,1.0,20,25,0.01,50,600,20,3.5366666666666666,2.3332916666666663,4.791833333333332,0.0,0.9814471243042672,1.1414666666666666,0.10166666666666667
ar1,,5.0,0,10,0.01,50,600,20,20.89,17.218500000000002,24.790041666666667,18.5,7.094707520891365,3.089,0.40166666666666667
ar1,,5.0,0,25,0.01,50,600,20,26.131666666666668,23.635999999999996,28.70341666666667,29.0,6.084507042253521,2.0452666666666666,0.7633333333333333
ar1,,5.0,20,10,0.01,50,600,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,5.0,20,25,0.01,50,600,20,5.581666666666665,3.5715416666666666,7.7191249999999965,0.0,0.6322314049586777,1.2232666666666667,0.19333333333333333
bias,bias0.05,0.05,0,10,0.01,50,600,20,2.0416666666666665,1.3633333333333335,2.798416666666666,0.0,1.911371237458194,1.2041666666666666,0.0033333333333333335
bias,bias0.05,0.05,0,25,0.01,50,600,20,5.098333333333334,3.394916666666667,6.758416666666667,1.0,2.403703703703704,1.2039333333333335,0.1
bias,bias0.05,0.05,20,10,0.01,50,600,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bias,bias0.05,0.05,20,25,0.01,50,600,20,0.7950000000000002,0.32499999999999996,1.3749999999999998,0.0,0.4527027027027027,1.0317999999999998,0.013333333333333334
bias,bias0.25,0.25,0,10,0.01,50,600,20,5.935,4.801541666666668,7.110291666666664,1.0,3.7398230088495574,1.5935,0.058333333333333334
bias,bias0.25,0.25,0,25,0.01,50,600,20,11.205,9.223125,13.070166666666664,6.0,4.503340757238307,1.4482000000000002,0.25166666666666665
bias,bias0.25,0.25,20,10,0.01,50,600,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bias,bias0.25,0.25,20,25,0.01,50,600,20,1.8133333333333332,1.1481249999999998,2.5634583333333327,0.0,0.8422876949740035,1.0725333333333333,0.03833333333333333
