policy,mean_regret,gain_vs_standard,gain_lo,gain_hi,n_landscapes
standard,0.34173838015675345,0.0,0.0,0.0,20
derived,0.346653697930218,-0.004915317773464592,-0.021531239558479926,0.010966443396772246,20
oracle,0.20361062879122716,0.1381277513655263,0.11158143019244232,0.1630444525918915,20
always_pm,0.35482678921868127,-0.013088409061927856,-0.03128500622409423,0.004097793667946989,20
always_lcb,0.34094618835089435,0.0007921918058590674,-0.01750194884332266,0.017756523468975525,20
fixed_k2.0,0.33175422929741694,0.009984150859336504,-0.0025163519797882722,0.021781988702911932,20
fixed_k3.0,0.32698904553561614,0.014749334621137308,0.0042442394414036935,0.0256585063496705,20
fixed_k5.0,0.3218675202157183,0.019870859941035122,0.007645297223398229,0.032309125096886784,20
fixed_k8.0,0.3199696236700279,0.021768756486725487,0.008364861783001028,0.03409533265320318,20
fixed_k12.0,0.32100053818971996,0.020737841967033453,0.00616116831215758,0.03420624786945757,20
fixed_k16.0,0.32007169195766816,0.02166668819908526,0.0017884826476495153,0.041060798598358525,20
fixed_k20.0,0.33319003579032486,0.008548344366428588,-0.014709414282839764,0.030469253191634172,20
fixed_k25.0,0.363284059831023,-0.021545679674269597,-0.049077582623860964,0.0033801476999899926,20
fixed_k30.0,0.39557137175654294,-0.05383299159978951,-0.08843438635574676,-0.02478290137109983,20
