arm,jitter_std,jitter_iteration,k,tolerance,median_extra_arm,never_arm,mean_extra_arm,median_extra_ref,never_ref,mean_extra_ref
incumbent,0.05,0,10,0.01,0.0,0.0042857142857142,2.01,0.0,0.0071428571428571,2.37
incumbent,0.05,0,25,0.01,0.0,0.08,4.212857142857142,1.0,0.1057142857142857,5.511428571428572
incumbent,0.05,20,10,0.01,0.0,0.0014285714285714,0.9614285714285714,0.0,0.0,0.0
incumbent,0.05,20,25,0.01,0.0,0.0585714285714285,2.29,0.0,0.0171428571428571,0.91
incumbent,0.25,0,10,0.01,1.0,0.0157142857142857,4.61,1.0,0.0585714285714285,6.298571428571429
incumbent,0.25,0,25,0.01,7.0,0.2242857142857142,10.874285714285715,10.0,0.3142857142857143,13.05
incumbent,0.25,20,10,0.01,0.0,0.0028571428571428,0.9757142857142856,0.0,0.0,0.0
incumbent,0.25,20,25,0.01,0.0,0.0828571428571428,3.188571428571428,0.0,0.0571428571428571,2.4857142857142858
incumbent,1.0,0,10,0.01,6.0,0.1285714285714285,12.481428571428571,8.0,0.2085714285714285,14.725714285714286
incumbent,1.0,0,25,0.01,25.5,0.4971428571428571,20.62,26.0,0.5985714285714285,22.624285714285712
incumbent,1.0,20,10,0.01,0.0,0.0071428571428571,1.0914285714285714,0.0,0.0,0.0
incumbent,1.0,20,25,0.01,0.0,0.1557142857142857,4.875714285714285,0.0,0.1171428571428571,3.968571428571429
incumbent,5.0,0,10,0.01,20.5,0.3885714285714285,21.45714285714286,35.5,0.48,23.855714285714285
incumbent,5.0,0,25,0.01,29.0,0.7442857142857143,26.67428571428572,30.0,0.8185714285714286,27.74
incumbent,5.0,20,10,0.01,0.0,0.0171428571428571,1.2614285714285711,0.0,0.0,0.0
incumbent,5.0,20,25,0.01,0.0,0.2728571428571428,7.395714285714286,0.0,0.2328571428571428,6.557142857142857
knownnoise,0.05,0,10,0.01,0.0,0.0083333333333333,2.295,0.0,0.005,2.208333333333333
knownnoise,0.05,0,25,0.01,1.0,0.085,4.873333333333333,1.0,0.0833333333333333,4.91
knownnoise,0.05,20,10,0.01,0.0,0.0066666666666666,1.8333333333333333,0.0,0.0,0.0
knownnoise,0.05,20,25,0.01,0.0,0.0733333333333333,3.5650000000000004,0.0,0.0133333333333333,0.7949999999999999
knownnoise,0.25,0,10,0.01,1.0,0.0566666666666666,5.241666666666667,0.0,0.0283333333333333,4.816666666666666
knownnoise,0.25,0,25,0.01,5.0,0.235,10.64,7.0,0.2483333333333333,11.393333333333333
knownnoise,0.25,20,10,0.01,0.0,0.0083333333333333,1.8633333333333333,0.0,0.0,0.0
knownnoise,0.25,20,25,0.01,0.0,0.1,4.323333333333333,0.0,0.04,1.923333333333333
knownnoise,1.0,0,10,0.01,5.0,0.1933333333333333,12.783333333333331,5.0,0.16,12.835
knownnoise,1.0,0,25,0.01,25.0,0.5316666666666666,20.28833333333333,26.0,0.5283333333333333,21.12333333333333
knownnoise,1.0,20,10,0.01,0.0,0.0116666666666666,1.9666666666666668,0.0,0.0,0.0
knownnoise,1.0,20,25,0.01,0.0,0.16,5.855,0.0,0.0966666666666666,3.331666666666666
knownnoise,5.0,0,10,0.01,21.5,0.43,21.46833333333333,25.0,0.4266666666666667,21.758333333333333
knownnoise,5.0,0,25,0.01,29.0,0.7833333333333333,26.69333333333334,29.0,0.7783333333333333,27.126666666666672
knownnoise,5.0,20,10,0.01,0.0,0.0216666666666666,2.206666666666666,0.0,0.0,0.0
knownnoise,5.0,20,25,0.01,1.0,0.2716666666666666,7.788333333333332,0.0,0.22,6.256666666666666
rep10,0.05,0,10,0.01,2.0,0.01,5.14,0.0,0.01,2.5249999999999995
rep10,0.05,0,25,0.01,9.0,0.115,10.925,1.0,0.1,5.85
rep10,0.05,20,10,0.01,3.0,0.01,4.805,0.0,0.0,0.0
rep10,0.05,20,25,0.01,8.0,0.13,10.82,0.0,0.01,0.53
rep10,0.25,0,10,0.01,4.0,0.05,9.04,1.0,0.025,5.334999999999999
rep10,0.25,0,25,0.01,14.0,0.225,16.305,6.5,0.235,10.81
rep10,0.25,20,10,0.01,3.0,0.015,4.9350000000000005,0.0,0.0,0.0
rep10,0.25,20,25,0.01,9.0,0.19,12.72,0.0,0.04,1.33
rep10,1.0,0,10,0.01,8.0,0.17,14.114999999999998,6.0,0.175,13.66
rep10,1.0,0,25,0.01,27.0,0.53,21.915,27.0,0.54,22.205
rep10,1.0,20,10,0.01,3.0,0.015,4.83,0.0,0.0,0.0
rep10,1.0,20,25,0.01,11.0,0.33,15.070000000000002,0.0,0.05,2.02
rep10,5.0,0,10,0.01,31.0,0.465,24.485,24.5,0.425,21.995
rep10,5.0,0,25,0.01,30.0,0.8,28.94,30.0,0.805,27.754999999999995
