model,term,coefficient,ci_low,ci_high,p_bootstrap,bootstrap_reps_used,r_squared,n_cells,n_clusters,p_fdr
primary,const,0.6062974318005598,0.36935996229456647,0.7228960856928416,0.0005,2000,0.5258782458232505,640,20,
primary,log_noise,0.3699136393582033,0.1471640819702559,0.6589137669435575,0.0005,2000,0.5258782458232505,640,20,0.00125
primary,dim,-0.025119677567616905,-0.2588690137844284,0.12121260390507015,0.768,2000,0.5258782458232505,640,20,0.768
primary,log_opt_z,0.6356920121538564,0.2433785237834289,0.7425559187681028,0.0005,2000,0.5258782458232505,640,20,0.00125
primary,ruggedness,-0.09126985706575147,-0.3833749501947582,0.11769325946042447,0.415,2000,0.5258782458232505,640,20,0.5187499999999999
primary,log_tail_ratio,0.19870679169065494,0.02893095155521031,0.3311118855072945,0.005,2000,0.5258782458232505,640,20,0.008333333333333333
primary,error_model_bias,0.0863462401506708,0.03577756446329043,0.15703777252642906,0.0005,2000,0.5258782458232505,640,20,
primary,error_model_drift,0.07111032849595648,0.03512259589542778,0.11415477800610851,0.0005,2000,0.5258782458232505,640,20,
primary,error_model_gaussian,0.07032269651450382,0.027773609717011174,0.13147043389704827,0.0005,2000,0.5258782458232505,640,20,
primary,onset_20,-0.42824268374819796,-0.6519452894517791,-0.23456933182362977,0.0005,2000,0.5258782458232505,640,20,
sensitivity,const,0.6062974318005601,0.3589865027138179,0.7384438897081723,0.0005,2000,0.5418594737015608,640,20,
sensitivity,log_noise,0.369913639358204,0.1471640819702561,0.6589137669435581,0.0005,2000,0.5418594737015608,640,20,0.0035
sensitivity,dim,-0.01626553427857276,-0.14351231820888566,0.17263145175830003,0.901,2000,0.5418594737015608,640,20,0.901
sensitivity,log_opt_z,0.9364584924461417,0.046492267633818835,1.313718574085666,0.037,2000,0.5418594737015608,640,20,0.09800000000000002
sensitivity,ruggedness,-0.061078503807655456,-0.264171562322174,0.10739278752026657,0.38,2000,0.5418594737015608,640,20,0.532
sensitivity,log_tail_ratio,0.14895523331842836,0.010055380100338442,0.30930056033806846,0.042,2000,0.5418594737015608,640,20,0.09800000000000002
sensitivity,log_sparsity,0.3214212781601988,-0.10383162087592496,0.6063931530535556,0.203,2000,0.5418594737015608,640,20,0.35525000000000007
sensitivity,skew,-0.02578135076296803,-0.40844646895568065,0.3687500707653286,0.855,2000,0.5418594737015608,640,20,0.901
sensitivity,error_model_bias,0.08634624015067147,0.03577756446329051,0.15703777252642895,0.0005,2000,0.5418594737015608,640,20,
sensitivity,error_model_drift,0.07111032849595658,0.03512259589542748,0.11415477800610849,0.0005,2000,0.5418594737015608,640,20,
sensitivity,error_model_gaussian,0.07032269651450374,0.027773609717010737,0.13147043389704932,0.0005,2000,0.5418594737015608,640,20,
sensitivity,onset_20,-0.42824268374819796,-0.6519452894517814,-0.2345693318236292,0.0005,2000,0.5418594737015608,640,20,
