error_model,jitter_std,jitter_iteration,acquisition,mean_absolute_loss,mean_fragility
ar1,0.05,0,random,0.44736951116683477,0.0
ar1,0.05,0,sobol,0.43794946216970576,0.0
ar1,0.05,20,random,0.38282236624830523,0.0
ar1,0.05,20,sobol,0.3738377633609008,0.0
ar1,0.25,0,random,0.44736951116683477,0.0
ar1,0.25,0,sobol,0.43794946216970576,0.0
ar1,0.25,20,random,0.38282236624830523,0.0
ar1,0.25,20,sobol,0.3738377633609008,0.0
ar1,1.0,0,random,0.44736951116683477,0.0
ar1,1.0,0,sobol,0.43794946216970576,0.0
ar1,1.0,20,random,0.38282236624830523,0.0
ar1,1.0,20,sobol,0.3738377633609008,0.0
ar1,5.0,0,random,0.44736951116683477,0.0
ar1,5.0,0,sobol,0.43794946216970576,0.0
ar1,5.0,20,random,0.38282236624830523,0.0
ar1,5.0,20,sobol,0.3738377633609008,0.0
bias,0.05,0,random,0.44736951116683477,0.0
bias,0.05,0,sobol,0.43794946216970576,0.0
bias,0.05,20,random,0.38282236624830523,0.0
bias,0.05,20,sobol,0.3738377633609008,0.0
bias,0.25,0,random,0.44736951116683477,0.0
bias,0.25,0,sobol,0.43794946216970576,0.0
bias,0.25,20,random,0.38282236624830523,0.0
bias,0.25,20,sobol,0.3738377633609008,0.0
bias,1.0,0,random,0.44736951116683477,0.0
bias,1.0,0,sobol,0.43794946216970576,0.0
bias,1.0,20,random,0.38282236624830523,0.0
bias,1.0,20,sobol,0.3738377633609008,0.0
bias,5.0,0,random,0.44736951116683477,0.0
bias,5.0,0,sobol,0.43794946216970576,0.0
bias,5.0,20,random,0.38282236624830523,0.0
bias,5.0,20,sobol,0.3738377633609008,0.0
drift,0.05,0,random,0.44736951116683477,0.0
drift,0.05,0,sobol,0.43794946216970576,0.0
drift,0.05,20,random,0.38282236624830523,0.0
drift,0.05,20,sobol,0.3738377633609008,0.0
drift,0.25,0,random,0.44736951116683477,0.0
drift,0.25,0,sobol,0.43794946216970576,0.0
drift,0.25,20,random,0.38282236624830523,0.0
drift,0.25,20,sobol,0.3738377633609008,0.0
drift,1.0,0,random,0.44736951116683477,0.0
drift,1.0,0,sobol,0.43794946216970576,0.0
drift,1.0,20,random,0.38282236624830523,0.0
drift,1.0,20,sobol,0.3738377633609008,0.0
drift,5.0,0,random,0.44736951116683477,0.0
drift,5.0,0,sobol,0.43794946216970576,0.0
drift,5.0,20,random,0.38282236624830523,0.0
drift,5.0,20,sobol,0.3738377633609008,0.0
gaussian,0.05,0,random,0.44736951116683477,0.0
gaussian,0.05,0,sobol,0.43794946216970576,0.0
gaussian,0.05,20,random,0.38282236624830523,0.0
gaussian,0.05,20,sobol,0.3738377633609008,0.0
gaussian,0.25,0,random,0.44736951116683477,0.0
gaussian,0.25,0,sobol,0.43794946216970576,0.0
gaussian,0.25,20,random,0.38282236624830523,0.0
gaussian,0.25,20,sobol,0.3738377633609008,0.0
gaussian,1.0,0,random,0.44736951116683477,0.0
gaussian,1.0,0,sobol,0.43794946216970576,0.0
gaussian,1.0,20,random,0.38282236624830523,0.0
gaussian,1.0,20,sobol,0.3738377633609008,0.0
gaussian,5.0,0,random,0.44736951116683477,0.0
gaussian,5.0,0,sobol,0.43794946216970576,0.0
gaussian,5.0,20,random,0.38282236624830523,0.0
gaussian,5.0,20,sobol,0.3738377633609008,0.0
