dataset,dim,error_model,jitter_std,jitter_iteration,seed,n_observations,noisy_fraction,injected_marginal_sd,empirical_error_sd,fitted_noise_sd_default_prior,fitted_noise_sd_flat_prior,ratio_default,ratio_flat
ackley,4,gaussian,0.05,0,10,8,1.0,0.05,0.06017371465862994,0.0249685412143851,0.003060233702500396,0.49937082428770196,0.061204674050007915
ackley,4,gaussian,0.05,0,10,15,1.0,0.05,0.05009229548472351,0.20395721285379959,0.2771401753779678,4.079144257075991,5.542803507559356
ackley,4,gaussian,0.05,0,10,25,1.0,0.05,0.04697486230110654,0.09585103003527415,0.28610145166809203,1.9170206007054829,5.72202903336184
ackley,4,gaussian,0.05,0,10,50,1.0,0.05,0.04925481568550798,0.5433770567579764,0.5605959024066742,10.867541135159527,11.211918048133484
ackley,4,gaussian,0.05,0,11,8,1.0,0.05,0.07219997269812889,0.05535152265046162,0.00719451206847481,1.1070304530092323,0.14389024136949619
ackley,4,gaussian,0.05,0,11,15,1.0,0.05,0.06006722600175343,0.05307432019525279,0.12963184729421837,1.0614864039050558,2.592636945884367
ackley,4,gaussian,0.05,0,11,25,1.0,0.05,0.05430671055999949,0.12827282726229022,0.19372502618673085,2.5654565452458042,3.874500523734617
ackley,4,gaussian,0.05,0,11,50,1.0,0.05,0.049881630973293484,0.6653698472135334,0.6964305429415589,13.307396944270668,13.928610858831178
ackley,4,gaussian,0.05,0,12,8,1.0,0.05,0.055126118899593006,0.03244962238735625,0.003955820911329331,0.648992447747125,0.07911641822658662
ackley,4,gaussian,0.05,0,12,15,1.0,0.05,0.05492941402040553,0.11999231018371163,0.16337105635322813,2.3998462036742327,3.2674211270645626
ackley,4,gaussian,0.05,0,12,25,1.0,0.05,0.04878184633315209,0.3501615917261372,0.36627257435106914,7.003231834522744,7.3254514870213825
ackley,4,gaussian,0.05,0,12,50,1.0,0.05,0.04800952738766171,0.8200424663179349,1.3992818555417497,16.400849326358696,27.985637110834993
ackley,4,gaussian,0.25,0,10,8,1.0,0.25,0.2378696005090653,0.032391937707825474,0.003957297509425582,0.1295677508313019,0.015829190037702327
ackley,4,gaussian,0.25,0,10,15,1.0,0.25,0.24397088254581237,0.23885234706404013,0.35154483768759665,0.9554093882561605,1.4061793507503866
ackley,4,gaussian,0.25,0,10,25,1.0,0.25,0.2509342867727719,0.3940345777696016,0.5147602888897157,1.5761383110784064,2.059041155558863
ackley,4,gaussian,0.25,0,10,50,1.0,0.25,0.24662796216933366,0.6433472811165479,0.740670530372314,2.5733891244661917,2.962682121489256
ackley,4,gaussian,0.25,0,11,8,1.0,0.25,0.1694755679324124,0.058602255271727334,0.0072437565904720945,0.23440902108690934,0.028975026361888378
ackley,4,gaussian,0.25,0,11,15,1.0,0.25,0.202996731728187,0.08814950115378073,0.012007102629746589,0.3525980046151229,0.048028410518986354
ackley,4,gaussian,0.25,0,11,25,1.0,0.25,0.2109258342070385,0.26730633100167417,1.0124506952772028,1.0692253240066967,4.049802781108811
ackley,4,gaussian,0.25,0,11,50,1.0,0.25,0.23086561218466184,0.6904626152838242,0.7520098779865638,2.761850461135297,3.0080395119462553
ackley,4,gaussian,0.25,0,12,8,1.0,0.25,0.21498492035625572,0.05052103480291414,0.006180729561415946,0.20208413921165655,0.024722918245663784
ackley,4,gaussian,0.25,0,12,15,1.0,0.25,0.24320248048434273,0.08137582512192246,0.623818733152038,0.32550330048768983,2.495274932608152
ackley,4,gaussian,0.25,0,12,25,1.0,0.25,0.2292096485316363,0.2780811637400003,0.36776447419891134,1.1123246549600012,1.4710578967956454
ackley,4,gaussian,0.25,0,12,50,1.0,0.25,0.2210209741856158,1.289926052440108,1.4267621619294706,5.159704209760432,5.707048647717882
ackley,4,gaussian,1.0,0,10,8,1.0,1.0,1.1768195505647954,0.08405799443499361,0.010276813264474091,0.08405799443499361,0.010276813264474091
ackley,4,gaussian,1.0,0,10,15,1.0,1.0,1.0223410643021547,0.0843528926829221,0.5799007461896245,0.0843528926829221,0.5799007461896245
ackley,4,gaussian,1.0,0,10,25,1.0,1.0,1.2979120001945181,0.8702683579646749,1.0479553335154024,0.8702683579646749,1.0479553335154024
ackley,4,gaussian,1.0,0,10,50,1.0,1.0,1.060730553904013,0.8816196490799904,0.9700021170643218,0.8816196490799904,0.9700021170643218
ackley,4,gaussian,1.0,0,11,8,1.0,1.0,0.49512072001728646,0.1278051417346057,0.01608547199605059,0.1278051417346057,0.01608547199605059
ackley,4,gaussian,1.0,0,11,15,1.0,1.0,0.8130218764132123,0.11963794862790189,1.2213439832879642,0.11963794862790189,1.2213439832879642
ackley,4,gaussian,1.0,0,11,25,1.0,1.0,0.6822400012801563,0.10982451867310056,0.016783329161287462,0.10982451867310056,0.016783329161287462
ackley,4,gaussian,1.0,0,11,50,1.0,1.0,0.8384738936011775,0.647488887435773,0.7382356632839878,0.647488887435773,0.7382356632839878
ackley,4,gaussian,1.0,0,12,8,1.0,1.0,1.4155746002435527,0.15603564456980812,0.019255829367495748,0.15603564456980812,0.019255829367495748
ackley,4,gaussian,1.0,0,12,15,1.0,1.0,1.2246423713783718,0.15562919310920734,0.019967848173528847,0.15562919310920734,0.019967848173528847
ackley,4,gaussian,1.0,0,12,25,1.0,1.0,1.251972956158779,1.0665910676874846,1.284321377011517,1.0665910676874846,1.284321377011517
ackley,4,gaussian,1.0,0,12,50,1.0,1.0,1.0612472419587267,0.9909500724955936,1.1340108633479997,0.9909500724955936,1.1340108633479997
ackley,4,gaussian,5.0,0,10,8,1.0,5.0,4.632014894564288,0.3921600099781318,0.04847294724885884,0.07843200199562636,0.009694589449771768
ackley,4,gaussian,5.0,0,10,15,1.0,5.0,4.686866387080812,0.39478310915621045,4.85954949364485,0.0789566218312421,0.9719098987289699
ackley,4,gaussian,5.0,0,10,25,1.0,5.0,4.678355466811062,3.8100255280688615,4.552458028116354,0.7620051056137723,0.9104916056232708
ackley,4,gaussian,5.0,0,10,50,1.0,5.0,4.429695054475543,4.080707736344737,4.483487798752153,0.8161415472689473,0.8966975597504305
ackley,4,gaussian,5.0,0,11,8,1.0,5.0,6.79896059130164,0.5174180133433216,0.06469359290675866,0.10348360266866433,0.012938718581351732
ackley,4,gaussian,5.0,0,11,15,1.0,5.0,6.581182916022841,0.5133902359204586,0.06400633569364544,0.10267804718409172,0.012801267138729089
ackley,4,gaussian,5.0,0,11,25,1.0,5.0,5.821283939553867,3.1334078037759245,5.232937082580022,0.6266815607551849,1.0465874165160043
ackley,4,gaussian,5.0,0,11,50,1.0,5.0,5.373135309016146,4.537150931817477,5.054005706424582,0.9074301863634954,1.0108011412849165
ackley,4,gaussian,5.0,0,12,8,1.0,5.0,7.088747336581543,0.6063835217779084,6.886510566244942,0.12127670435558169,1.3773021132489884
ackley,4,gaussian,5.0,0,12,15,1.0,5.0,6.328400669382824,0.5081254785431297,0.06483335176711097,0.10162509570862595,0.012966670353422194
ackley,4,gaussian,5.0,0,12,25,1.0,5.0,6.024143724087277,0.49757198037688555,5.264446586041054,0.09951439607537711,1.0528893172082108
ackley,4,gaussian,5.0,0,12,50,1.0,5.0,5.388144913415446,4.772277940021403,5.260068755579763,0.9544555880042805,1.0520137511159526
ackley,4,gaussian,0.05,20,10,25,0.2,0.022360679774997897,0.01892730230763264,0.20637970544016926,0.030948372581529285,9.229581010812032,1.3840532977058027
ackley,4,gaussian,0.05,20,10,50,0.6,0.038729833462074176,0.04048378399096399,0.7371370089094735,0.7973677911585276,19.032795729196923,20.587947839727804
ackley,4,gaussian,0.05,20,11,25,0.2,0.022360679774997897,0.01680004276021278,0.3345650073759838,0.39719954240416094,14.962201987708367,17.763303548950283
ackley,4,gaussian,0.05,20,11,50,0.6,0.038729833462074176,0.03581876937390418,0.41987959999021107,0.4261455886488144,10.84124465449546,11.003031785977429
ackley,4,gaussian,0.05,20,12,25,0.2,0.022360679774997897,0.02299088005571,0.2611310514105272,0.03795552274184255,11.678135639798624,1.697422579445983
ackley,4,gaussian,0.05,20,12,50,0.6,0.038729833462074176,0.04156688709339838,0.5417194583245648,0.5523454975515908,13.987136269383614,14.261499422466402
ackley,4,gaussian,0.25,20,10,25,0.2,0.11180339887498948,0.07877226461305362,0.20570478565220465,0.4911446053072336,1.8398795360614122,4.392930896997113
ackley,4,gaussian,0.25,20,10,50,0.6,0.19364916731037085,0.23089447031449398,0.8824937117886803,0.9543750606709913,4.557177931853769,4.92837162135259
ackley,4,gaussian,0.25,20,11,25,0.2,0.11180339887498948,0.06419575798877997,0.33101068981701176,0.4134794568299895,2.9606496148397428,3.698272691086185
ackley,4,gaussian,0.25,20,11,50,0.6,0.19364916731037085,0.1449543642367315,1.2072170590066764,0.48793841960712137,6.234042086387139,2.5197031641508634
ackley,4,gaussian,0.25,20,12,25,0.2,0.11180339887498948,0.1563914557676008,0.22660597787155215,0.03292590155195612,2.0268254825144147,0.29449821636255885
ackley,4,gaussian,0.25,20,12,50,0.6,0.19364916731037085,0.2136388673864788,0.604058679951582,0.64481223197855,3.1193456101126844,3.32979604784501
ackley,4,gaussian,1.0,20,10,25,0.2,0.4472135954999579,0.3482715599121704,0.27667998721020715,0.27763788068625345,0.6186752594157956,0.6208171743434386
ackley,4,gaussian,1.0,20,10,50,0.6,0.7745966692414834,0.891889660990252,1.0254818490314535,1.1166065382497994,1.3238913743789358,1.441532842302596
ackley,4,gaussian,1.0,20,11,25,0.2,0.4472135954999579,0.3328025846655853,0.4648411688547481,0.5864125372501667,1.0394164522996747,1.3112582961495005
ackley,4,gaussian,1.0,20,11,50,0.6,0.7745966692414834,1.081426973872561,1.2610468481704245,1.3621895775722963,1.6280044805838023,1.7585791827716066
