dataset,acquisition,error_model,jitter_std,jitter_iteration,n_seeds
ackley,ei,ar1,0.05,0,10
ackley,ei,ar1,0.05,20,10
ackley,ei,ar1,0.25,0,10
ackley,ei,ar1,0.25,20,10
ackley,ei,ar1,1.0,0,10
ackley,ei,ar1,1.0,20,10
ackley,ei,ar1,5.0,0,10
ackley,ei,ar1,5.0,20,10
ackley,ei,bias,0.05,0,10
ackley,ei,bias,0.05,20,10
ackley,ei,bias,0.25,0,10
ackley,ei,bias,0.25,20,10
ackley,ei,bias,1.0,0,10
ackley,ei,bias,1.0,20,10
ackley,ei,bias,5.0,0,10
ackley,ei,bias,5.0,20,10
ackley,ei,drift,0.05,0,10
ackley,ei,drift,0.05,20,10
ackley,ei,drift,0.25,0,10
ackley,ei,drift,0.25,20,10
ackley,ei,drift,1.0,0,10
ackley,ei,drift,1.0,20,10
ackley,ei,drift,5.0,0,10
ackley,ei,drift,5.0,20,10
ackley,ei,gaussian,0.05,0,10
ackley,ei,gaussian,0.05,20,10
ackley,ei,gaussian,0.25,0,10
ackley,ei,gaussian,0.25,20,10
ackley,ei,gaussian,1.0,0,10
ackley,ei,gaussian,1.0,20,10
ackley,ei,gaussian,5.0,0,10
ackley,ei,gaussian,5.0,20,10
ackley,greedy,ar1,0.05,0,10
ackley,greedy,ar1,0.05,20,10
ackley,greedy,ar1,0.25,0,10
ackley,greedy,ar1,0.25,20,10
ackley,greedy,ar1,1.0,0,10
ackley,greedy,ar1,1.0,20,10
ackley,greedy,ar1,5.0,0,10
ackley,greedy,ar1,5.0,20,10
ackley,greedy,bias,0.05,0,10
ackley,greedy,bias,0.05,20,10
ackley,greedy,bias,0.25,0,10
ackley,greedy,bias,0.25,20,10
ackley,greedy,bias,1.0,0,10
ackley,greedy,bias,1.0,20,10
ackley,greedy,bias,5.0,0,10
ackley,greedy,bias,5.0,20,10
ackley,greedy,drift,0.05,0,10
ackley,greedy,drift,0.05,20,10
ackley,greedy,drift,0.25,0,10
ackley,greedy,drift,0.25,20,10
ackley,greedy,drift,1.0,0,10
ackley,greedy,drift,1.0,20,10
ackley,greedy,drift,5.0,0,10
ackley,greedy,drift,5.0,20,10
ackley,greedy,gaussian,0.05,0,10
ackley,greedy,gaussian,0.05,20,10
ackley,greedy,gaussian,0.25,0,10
ackley,greedy,gaussian,0.25,20,10
ackley,greedy,gaussian,1.0,0,10
ackley,greedy,gaussian,1.0,20,10
ackley,greedy,gaussian,5.0,0,10
ackley,greedy,gaussian,5.0,20,10
ackley,logei,ar1,0.05,0,10
ackley,logei,ar1,0.05,20,10
ackley,logei,ar1,0.25,0,10
ackley,logei,ar1,0.25,20,10
ackley,logei,ar1,1.0,0,10
ackley,logei,ar1,1.0,20,10
ackley,logei,ar1,5.0,0,10
ackley,logei,ar1,5.0,20,10
ackley,logei,bias,0.05,0,10
ackley,logei,bias,0.05,20,10
ackley,logei,bias,0.25,0,10
ackley,logei,bias,0.25,20,10
ackley,logei,bias,1.0,0,10
ackley,logei,bias,1.0,20,10
ackley,logei,bias,5.0,0,10
ackley,logei,bias,5.0,20,10
ackley,logei,drift,0.05,0,10
ackley,logei,drift,0.05,20,10
ackley,logei,drift,0.25,0,10
ackley,logei,drift,0.25,20,10
ackley,logei,drift,1.0,0,10
ackley,logei,drift,1.0,20,10
ackley,logei,drift,5.0,0,10
ackley,logei,drift,5.0,20,10
ackley,logei,gaussian,0.05,0,10
ackley,logei,gaussian,0.05,20,10
ackley,logei,gaussian,0.25,0,10
ackley,logei,gaussian,0.25,20,10
ackley,logei,gaussian,1.0,0,10
ackley,logei,gaussian,1.0,20,10
ackley,logei,gaussian,5.0,0,10
ackley,logei,gaussian,5.0,20,10
ackley,logpi,ar1,0.05,0,10
ackley,logpi,ar1,0.05,20,10
ackley,logpi,ar1,0.25,0,10
ackley,logpi,ar1,0.25,20,10
ackley,logpi,ar1,1.0,0,10
ackley,logpi,ar1,1.0,20,10
ackley,logpi,ar1,5.0,0,10
ackley,logpi,ar1,5.0,20,10
ackley,logpi,bias,0.05,0,10
ackley,logpi,bias,0.05,20,10
ackley,logpi,bias,0.25,0,10
ackley,logpi,bias,0.25,20,10
ackley,logpi,bias,1.0,0,10
ackley,logpi,bias,1.0,20,10
ackley,logpi,bias,5.0,0,10
ackley,logpi,bias,5.0,20,10
ackley,logpi,drift,0.05,0,10
ackley,logpi,drift,0.05,20,10
ackley,logpi,drift,0.25,0,10
ackley,logpi,drift,0.25,20,10
ackley,logpi,drift,1.0,0,10
ackley,logpi,drift,1.0,20,10
ackley,logpi,drift,5.0,0,10
ackley,logpi,drift,5.0,20,10
ackley,logpi,gaussian,0.05,0,10
ackley,logpi,gaussian,0.05,20,10
ackley,logpi,gaussian,0.25,0,10
ackley,logpi,gaussian,0.25,20,10
ackley,logpi,gaussian,1.0,0,10
ackley,logpi,gaussian,1.0,20,10
ackley,logpi,gaussian,5.0,0,10
ackley,logpi,gaussian,5.0,20,10
ackley,pi,ar1,0.05,0,10
ackley,pi,ar1,0.05,20,10
ackley,pi,ar1,0.25,0,10
ackley,pi,ar1,0.25,20,10
ackley,pi,ar1,1.0,0,10
ackley,pi,ar1,1.0,20,10
ackley,pi,ar1,5.0,0,10
ackley,pi,ar1,5.0,20,10
ackley,pi,bias,0.05,0,10
ackley,pi,bias,0.05,20,10
ackley,pi,bias,0.25,0,10
ackley,pi,bias,0.25,20,10
ackley,pi,bias,1.0,0,10
ackley,pi,bias,1.0,20,10
ackley,pi,bias,5.0,0,10
ackley,pi,bias,5.0,20,10
ackley,pi,drift,0.05,0,10
