error_model,variant,jitter_std,jitter_iteration,k,tolerance,budget,n_runs,n_landscapes,mean_extra,ci_low,ci_high,median_extra,mean_extra_reached,mean_multiplier,censored_fraction
ar1,,0.05,0,10,0.0,50,200,20,2.335,1.5298749999999999,3.3,0.0,2.14070351758794,1.2335,0.005
ar1,,0.05,0,10,0.01,50,200,20,1.5549999999999997,0.88975,2.3151249999999997,0.0,1.35678391959799,1.1555,0.005
ar1,,0.05,0,25,0.0,50,200,20,9.16,6.15,12.397249999999987,3.0,2.2533333333333334,1.3664,0.25
ar1,,0.05,0,25,0.01,50,200,20,4.04,2.495,5.64,0.0,1.8486486486486486,1.1616000000000002,0.075
ar1,,0.05,20,10,0.0,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,0.05,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,0.05,20,25,0.0,50,200,20,3.255,1.839875,5.085249999999998,0.0,1.266304347826087,1.1301999999999999,0.08
ar1,,0.05,20,25,0.01,50,200,20,0.505,0.15499999999999997,0.93,0.0,0.36683417085427134,1.0202,0.005
ar1,,0.25,0,10,0.0,50,200,20,6.065000000000001,4.164875000000001,8.490374999999997,1.0,3.8297872340425534,1.6064999999999998,0.06
ar1,,0.25,0,10,0.01,50,200,20,4.415000000000001,3.0048749999999997,6.145125,1.0,3.0673575129533677,1.4415,0.035
ar1,,0.25,0,25,0.0,50,200,20,14.635000000000002,10.404750000000002,18.965374999999998,14.0,4.131147540983607,1.5854000000000001,0.39
ar1,,0.25,0,25,0.01,50,200,20,9.970000000000002,7.179500000000002,12.975874999999998,6.0,5.146341463414634,1.3988,0.18
ar1,,0.25,20,10,0.0,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,0.25,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,0.25,20,25,0.0,50,200,20,4.194999999999999,2.304875,6.520249999999999,0.0,0.815028901734104,1.1678,0.135
ar1,,0.25,20,25,0.01,50,200,20,1.285,0.44000000000000006,2.225249999999998,0.0,0.36787564766839376,1.0514000000000001,0.035
ar1,,1.0,0,10,0.0,50,200,20,12.675,10.594875,14.659999999999997,3.0,5.782608695652174,2.2675,0.195
ar1,,1.0,0,10,0.01,50,200,20,11.325000000000001,9.204875000000001,13.540125000000002,3.0,5.85207100591716,2.1325,0.155
ar1,,1.0,0,25,0.0,50,200,20,21.44,18.684749999999998,24.1755,26.0,7.283950617283951,1.8576,0.595
ar1,,1.0,0,25,0.01,50,200,20,19.77,17.21,22.355374999999995,26.0,7.509615384615385,1.7908,0.48
ar1,,1.0,20,10,0.0,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,1.0,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,1.0,20,25,0.0,50,200,20,5.54,3.67975,7.675499999999997,0.0,1.2303030303030302,1.2216,0.175
ar1,,1.0,20,25,0.01,50,200,20,2.1149999999999998,1.09,3.3851249999999995,0.0,0.6984126984126984,1.0846,0.055
ar1,,5.0,0,10,0.0,50,200,20,23.240000000000002,19.469749999999998,26.625749999999996,35.5,7.7407407407407405,3.3240000000000003,0.46
ar1,,5.0,0,10,0.01,50,200,20,22.104999999999997,18.524874999999998,25.74162499999999,26.0,7.482456140350878,3.2105,0.43
ar1,,5.0,0,25,0.0,50,200,20,27.97,25.744749999999996,30.110500000000002,29.0,4.88,2.1188,0.875
ar1,,5.0,0,25,0.01,50,200,20,27.169999999999998,24.634999999999998,29.640249999999995,30.0,5.390243902439025,2.0868,0.795
ar1,,5.0,20,10,0.0,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,5.0,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,5.0,20,25,0.0,50,200,20,7.659999999999999,5.344875000000001,10.125124999999997,0.0,0.3356643356643357,1.3063999999999998,0.285
ar1,,5.0,20,25,0.01,50,200,20,3.9249999999999994,2.3,5.600124999999999,0.0,0.3930635838150289,1.157,0.135
bias,bias0.05,0.05,0,10,0.0,50,200,20,3.0999999999999996,2.0546249999999997,4.239999999999999,0.0,2.717171717171717,1.31,0.01
bias,bias0.05,0.05,0,10,0.01,50,200,20,2.0799999999999996,1.22975,3.0751249999999994,0.0,1.6868686868686869,1.2080000000000002,0.01
bias,bias0.05,0.05,0,25,0.0,50,200,20,10.145,7.019124999999999,13.285250000000001,5.5,3.973684210526316,1.4058,0.24
bias,bias0.05,0.05,0,25,0.01,50,200,20,5.0649999999999995,2.999875,7.1305,1.0,1.9157303370786516,1.2026,0.11
bias,bias0.05,0.05,20,10,0.0,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bias,bias0.05,0.05,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bias,bias0.05,0.05,20,25,0.0,50,200,20,3.15,1.8348749999999998,4.779999999999999,0.0,1.446236559139785,1.1260000000000001,0.07
bias,bias0.05,0.05,20,25,0.01,50,200,20,0.7499999999999999,0.18987500000000002,1.410124999999999,0.0,0.37055837563451777,1.03,0.015
bias,bias0.25,0.25,0,10,0.0,50,200,20,5.75,4.135,7.605125,1.0,4.0732984293193715,1.575,0.045
bias,bias0.25,0.25,0,10,0.01,50,200,20,5.084999999999999,3.59475,6.665249999999998,1.0,3.578125,1.5085,0.04
bias,bias0.25,0.25,0,25,0.0,50,200,20,15.189999999999998,11.849625,18.46025,17.0,4.567796610169491,1.6076,0.41
bias,bias0.25,0.25,0,25,0.01,50,200,20,10.145,7.480000000000001,12.88525,5.0,3.7254901960784315,1.4058,0.235
bias,bias0.25,0.25,20,10,0.0,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bias,bias0.25,0.25,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bias,bias0.25,0.25,20,25,0.0,50,200,20,4.545000000000001,2.58,6.775,0.0,0.9532163742690059,1.1818,0.145
bias,bias0.25,0.25,20,25,0.01,50,200,20,1.075,0.334875,2.025124999999999,0.0,0.4153846153846154,1.0430000000000001,0.025
bias,bias1,1.0,0,10,0.0,50,200,20,13.11,10.329875000000001,16.010374999999996,8.0,7.9171597633136095,2.311,0.155
bias,bias1,1.0,0,10,0.01,50,200,20,11.865,9.3045,14.535124999999999,6.0,7.617142857142857,2.1865,0.125
bias,bias1,1.0,0,25,0.0,50,200,20,22.105,19.204749999999997,25.049999999999997,26.0,8.822784810126583,1.8842,0.605
bias,bias1,1.0,0,25,0.01,50,200,20,20.5,17.410000000000004,23.495125,26.0,8.94059405940594,1.82,0.495
bias,bias1,1.0,20,10,0.0,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bias,bias1,1.0,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bias,bias1,1.0,20,25,0.0,50,200,20,6.529999999999999,4.365,8.760374999999996,0.0,0.8838709677419355,1.2612,0.225
bias,bias1,1.0,20,25,0.01,50,200,20,3.3649999999999998,1.894875,4.990125,0.0,0.7555555555555555,1.1346,0.1
bias,bias5,5.0,0,10,0.0,50,200,20,23.175000000000004,18.849625,27.446374999999993,28.0,8.558558558558559,3.3175,0.445
bias,bias5,5.0,0,10,0.01,50,200,20,21.85,17.493999999999996,25.79,24.0,8.211864406779661,3.185,0.41
bias,bias5,5.0,0,25,0.0,50,200,20,27.919999999999998,25.755000000000003,30.000249999999998,29.0,10.1,2.1168,0.85
bias,bias5,5.0,0,25,0.01,50,200,20,27.014999999999997,24.229749999999996,29.58075,30.0,8.666666666666666,2.0806,0.76
bias,bias5,5.0,20,10,0.0,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bias,bias5,5.0,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bias,bias5,5.0,20,25,0.0,50,200,20,8.43,6.01,10.745249999999999,0.0,0.6834532374100719,1.3371999999999997,0.305
bias,bias5,5.0,20,25,0.01,50,200,20,5.23,3.02475,7.369999999999999,0.0,0.5304878048780488,1.2092,0.18
drift,,0.05,0,10,0.0,50,200,20,4.245000000000001,2.6600000000000006,5.990125,0.0,3.118556701030928,1.4244999999999999,0.03
drift,,0.05,0,10,0.01,50,200,20,2.685,1.5298749999999999,3.9753749999999983,0.0,2.297979797979798,1.2685,0.01
drift,,0.05,0,25,0.0,50,200,20,12.42,9.275,15.760374999999994,11.0,4.125,1.4968000000000001,0.32
drift,,0.05,0,25,0.01,50,200,20,5.68,3.9799999999999995,7.385499999999997,1.0,2.278409090909091,1.2272,0.12
drift,,0.05,20,10,0.0,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
drift,,0.05,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
drift,,0.05,20,25,0.0,50,200,20,2.39,1.1,3.980624999999997,0.0,1.037037037037037,1.0956000000000001,0.055
drift,,0.05,20,25,0.01,50,200,20,0.445,0.075,0.8699999999999999,0.0,0.3165829145728643,1.0178,0.005
drift,,0.25,0,10,0.0,50,200,20,6.390000000000001,4.574875000000001,8.280249999999997,1.0,4.7434554973821985,1.639,0.045
drift,,0.25,0,10,0.01,50,200,20,5.1850000000000005,3.665,6.865249999999999,0.5,3.8704663212435233,1.5185,0.035
drift,,0.25,0,25,0.0,50,200,20,15.060000000000002,11.164124999999999,18.805249999999997,16.5,4.711864406779661,1.6024,0.41
drift,,0.25,0,25,0.01,50,200,20,10.5,7.889624999999999,13.460374999999997,6.5,4.8471337579617835,1.42,0.215
drift,,0.25,20,10,0.0,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
drift,,0.25,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
drift,,0.25,20,25,0.0,50,200,20,4.075,2.375,5.904999999999999,0.0,1.2598870056497176,1.163,0.115
drift,,0.25,20,25,0.01,50,200,20,0.9999999999999998,0.41,1.6350000000000002,0.0,0.7373737373737373,1.04,0.01
drift,,1.0,0,10,0.0,50,200,20,14.209999999999999,10.184874999999998,18.53599999999999,6.0,7.987730061349693,2.4210000000000003,0.185
drift,,1.0,0,10,0.01,50,200,20,13.309999999999999,9.634,18.055125,5.0,7.054878048780488,2.3310000000000004,0.18
drift,,1.0,0,25,0.0,50,200,20,22.889999999999997,19.879875000000002,25.905125,26.0,8.4,1.9156,0.65
drift,,1.0,0,25,0.01,50,200,20,21.33,18.124875,24.764999999999997,26.0,8.948453608247423,1.8532,0.515
drift,,1.0,20,10,0.0,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
drift,,1.0,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
drift,,1.0,20,25,0.0,50,200,20,6.779999999999999,4.679374999999999,8.930249999999997,0.0,1.238709677419355,1.2712,0.225
drift,,1.0,20,25,0.01,50,200,20,2.88,1.4648750000000001,4.405125,0.0,0.5494505494505495,1.1152000000000002,0.09
drift,,5.0,0,10,0.0,50,200,20,23.43,18.989625000000004,27.506499999999996,33.5,6.769230769230769,3.343,0.48
