rule,jitter_std,n_studies,n_large,mean_deployed_cost,lo,hi,gain_vs_flat
flat,0.05,20,7,0.015843217686982262,0.010396542778716565,0.02116376516869771,0.0
by_frag,0.05,20,7,0.010205615341234375,0.0029163447529256866,0.017187407811784537,0.005637602345747887
oracle,0.05,20,7,0.0022206578394110086,-0.004206752848994177,0.00761135187782184,0.013622559847571254
random,0.05,20,7,0.009079279088799654,0.005609745500053013,0.012606438666008928,0.006763938598182608
flat,0.25,20,7,0.09694057601641855,0.08189988431833456,0.11212052258534139,0.0
by_frag,0.25,20,7,0.0738089962749193,0.059767581083673964,0.08919437530264447,0.02313157974149925
oracle,0.25,20,7,0.05752102847244395,0.044040459823167746,0.06982224000089016,0.0394195475439746
random,0.25,20,7,0.07306861073009047,0.06388394676180911,0.08171946229746785,0.02387196528632808
flat,1.0,20,7,0.30219155616248644,0.27289026819036005,0.3337752636774461,0.0
by_frag,1.0,20,7,0.2761610046015949,0.2247201826677501,0.32946376793006427,0.02603055156089157
oracle,1.0,20,7,0.2313324304673689,0.18878110945200482,0.27714266925131137,0.07085912569511754
random,1.0,20,7,0.2806956990636689,0.254482309561759,0.3086912343199431,0.021495857098817517
flat,5.0,20,7,0.7078236626435878,0.6448583437394265,0.7680855360426883,0.0
by_frag,5.0,20,7,0.7234998201019225,0.658499115053357,0.792484757285543,-0.015676157458334727
oracle,5.0,20,7,0.6084073791745436,0.529809275637784,0.6927888007434067,0.09941628346904419
random,5.0,20,7,0.6908693522482037,0.6480339832156171,0.7337192914031022,0.016954310395384087
