error_model,jitter_std,jitter_iteration,n_landscapes,n_runs,selection_share,selection_share_lo,selection_share_hi,mean_deployed,mean_search,mean_selection,excess_selection_share,excess_selection_share_lo,excess_selection_share_hi,mean_excess_deployed,mean_excess_search,mean_excess_selection,n_paired,best_mean_selection_recovered,best_mean_selection_recovered_lo,best_mean_selection_recovered_hi,pm_selection_recovered,pm_selection_recovered_lo,pm_selection_recovered_hi,lcb1_selection_recovered,lcb1_selection_recovered_lo,lcb1_selection_recovered_hi,lcb2_selection_recovered,lcb2_selection_recovered_lo,lcb2_selection_recovered_hi
ar1,0.05,0.0,20,2000,0.0316188102845539,0.013647246960810685,0.0836855661504276,0.14035994322260714,0.1359219288063008,0.004438014416306372,0.371778687640019,0.2323116468225131,0.5745940338079124,0.011937248056035838,0.0074992336397294666,0.004438014416306372,2000,-0.09389596115233668,-0.27424900499192,-0.0006659348984873714,-3.057637463009073,-7.915154519069774,-0.7205939662431858,-2.983238585247674,-8.202224863030237,-0.5622287665929206,-3.027405396540096,-8.090543167021893,-0.584638514260579
ar1,0.05,20.0,20,2000,0.027867275308458228,0.011817734323847664,0.07034138778975638,0.13372209245229322,0.12999562208710208,0.003726470365191159,0.7031875823372078,0.3395236757329593,2.498144677193845,0.005299397285721921,0.0015729269205307626,0.003726470365191159,2000,-0.05668238533542886,-0.166018779763763,0.0033619219852949584,-4.037586353826739,-11.027666850991274,-1.0582372164709641,-3.7685138446545197,-9.994697945334202,-0.8746355873874759,-3.668196637362579,-9.874606112729461,-0.779703873641205
ar1,0.25,0.0,20,2000,0.1432415904363601,0.07950383755729067,0.2552098577189533,0.2051886255180282,0.17579708045937517,0.029391545058653056,0.382872257576896,0.2815757556842273,0.48629729326868154,0.07676593035145687,0.04737438529280383,0.029391545058653056,2000,-0.06380087555687565,-0.1562102369866575,-0.004792968888454516,-0.24064705628072552,-0.9156627351326293,0.10322661583596665,-0.15740731989574333,-0.7427427157332254,0.17222907585005226,-0.141180638322087,-0.7121600068456478,0.1662044644108503
ar1,0.25,20.0,20,2000,0.13763331562549214,0.07143749932454836,0.27778803596538054,0.16311888070011138,0.14066828830823594,0.022450592391875426,0.6470622648179267,0.540021805603656,0.770623906093986,0.03469618553354008,0.012245593141664651,0.022450592391875426,2000,-0.07481388530911656,-0.20050403845024836,0.0010157475513988112,-0.5018014303073424,-1.2577745771529993,-0.01728520206837395,-0.3593392846445474,-1.059075026599238,0.0838302010014496,-0.3224085054952493,-1.0596829330957058,0.11731418925125327
ar1,1.0,0.0,20,2000,0.3132136758635902,0.21690141586335904,0.42342093152670945,0.4008883293965715,0.2753246221354575,0.12556370726111393,0.4608423650049022,0.3813137213822024,0.5385137223417437,0.2724656342300002,0.1469019269688862,0.12556370726111393,2000,-0.019286805562675667,-0.0499360271110659,0.00096125496535558,-0.00542113733382314,-0.10930921285134608,0.09364394214999948,0.056867047234281834,-0.03929557617478309,0.13507258510390255,0.060782916678315924,-0.03485739374759079,0.14095760467456708
ar1,1.0,20.0,20,2000,0.3611061994222183,0.23046023169680457,0.5364957144844678,0.2578463386597988,0.1647364272714246,0.09310991138837413,0.7194196429282758,0.6167192054872472,0.8109966900598133,0.1294236434932274,0.03631373210485329,0.09310991138837413,2000,-0.04885224476178048,-0.10576059481875891,-0.009311166772976921,-0.04709145326723764,-0.19352293546879365,0.08662125443928664,0.054402324115618364,-0.071617803399496,0.16091279337134468,0.07676448955335115,-0.039389934517557394,0.17181992618520625
ar1,5.0,0.0,20,2000,0.5214912578367334,0.4163060470856555,0.6264314176448,0.8279828899223427,0.39619705118944654,0.4317858387328961,0.6172247105678162,0.525060418442199,0.7003692566562216,0.6995601947557712,0.2677743560228752,0.4317858387328961,2000,-0.013077767076344525,-0.03714201146029946,0.006446994900300136,-0.00420000633610484,-0.04345969095572621,0.044246617734341485,0.038296698848878666,-0.005887931111768651,0.08250495813869983,0.0517982313078777,0.011590007693829273,0.08858837981204744
ar1,5.0,20.0,20,2000,0.6178508074117902,0.4873836848753967,0.7649939330859425,0.5188717009193023,0.19828640156318236,0.3205852993561199,0.8210682947907024,0.7476108341640387,0.888324255679815,0.3904490057527309,0.06986370639661106,0.3205852993561199,2000,-0.020051471918781847,-0.0607468606278862,0.010631710493734802,-0.05884302219696037,-0.10703499377339888,-0.007375256128257612,0.04550940445553395,0.0026026693787711826,0.09181956045391468,0.08350834308535536,0.0321369916481155,0.1297445824460145
bias,0.05,0.0,20,2000,0.03042862731764826,0.013376743126531638,0.07694824061987447,0.14359560792163523,0.13922619068373668,0.004369417237898579,0.2879748475743589,0.1868446365244942,0.4274095297064825,0.015172912755063921,0.010803495517165343,0.004369417237898579,2000,-0.13763957175536937,-0.34300865004885134,-0.01215365370701332,-3.2510621603041177,-8.357727984234671,-0.7830223918918028,-3.0553308399676666,-7.468253571743425,-0.7115051498831164,-2.9266379602094132,-7.5625494695805875,-0.5780529612030438
bias,0.05,20.0,20,2000,0.03569954033777254,0.01503883240296231,0.0901432989001352,0.13722640242879786,0.13232748293988356,0.004898919488914277,0.5564609707019381,0.3594167866210631,0.8545601094540458,0.00880370726222653,0.003904787773312253,0.004898919488914277,2000,-0.05893411180122115,-0.14898985360381167,0.0021080558178362676,-3.3436336288338984,-8.665021559056491,-0.7052976075795573,-2.9179221221371967,-7.407204957241869,-0.5379006087264685,-2.6343846257318466,-6.845756042142664,-0.4107624260456685
bias,0.25,0.0,20,2000,0.12682358703850888,0.07498654117555496,0.21022616137900366,0.22222926663403259,0.1940453538945674,0.028183912739465227,0.3004471040628681,0.2191316727217524,0.3894858066193751,0.09380657146746132,0.06562265872799608,0.028183912739465227,2000,-0.10538674010290573,-0.24717300396567946,-0.011396884457277977,-0.21655854886604767,-0.7393658528195142,0.1227472244853099,-0.14351400719378946,-0.6221943193286342,0.14802433423790567,-0.13527264292785643,-0.577001888231339,0.16041939776303726
bias,0.25,20.0,20,2000,0.1576130704848288,0.08671076197443675,0.30192843307134215,0.17382009640445145,0.14642377729817688,0.027396319106274547,0.6034776960628032,0.4880026365214608,0.7348735971730569,0.04539740123788012,0.018001082131605582,0.027396319106274547,2000,-0.06807486200037334,-0.16893201204843936,-0.006093593890291075,-0.32248151397390074,-0.857749160728598,0.05713776300105169,-0.25326955814737,-0.803633279945914,0.10401827744506137,-0.22956179665135737,-0.7638648549279502,0.12198252322631163
bias,1.0,0.0,20,2000,0.2926227548819062,0.20804247705908677,0.39372463371222194,0.4372718748129075,0.30931617417277846,0.127955700640129,0.41429833417932765,0.33373489379815635,0.5001239174547547,0.30884917964633624,0.18089347900620717,0.127955700640129,2000,-0.051730638881735,-0.10228557266554203,-0.013035625971999134,0.14765633642522893,0.038104839149881935,0.2344275129323363,0.16595819725645897,0.05777967349183344,0.24659815798631743,0.17052567852130507,0.07369035557405659,0.2538238314331435
bias,1.0,20.0,20,2000,0.37084387320491424,0.24666797425960144,0.5412064489195961,0.27891077619486593,0.1754784236721728,0.10343235252269307,0.6873125885846461,0.5849391358444521,0.7929532785443333,0.15048808102829453,0.047055728505601475,0.10343235252269307,2000,-0.04506849055042554,-0.11691429398415353,0.0017300397499138652,-0.06756317674186112,-0.15597163953593707,0.016436297372651485,0.011433320812437033,-0.07544637495408561,0.08875687856105989,0.032119326843753085,-0.04429853984507791,0.10613161731181134
bias,5.0,0.0,20,2000,0.5063191068459609,0.41173314018406476,0.605516242246089,0.8428486567845115,0.4160982776750596,0.42675037910945174,0.5973332466012325,0.5121402146609101,0.6828146912917296,0.7144259616179401,0.2876755825084883,0.42675037910945174,2000,0.0064520590743039055,-0.018144284000122225,0.02718360830634624,0.0034119434135204693,-0.05318917563545141,0.06076374240355313,0.1020319478620811,0.05554147146051425,0.14714963111082446,0.1505588608242823,0.0927314652903999,0.2115654628397973
bias,5.0,20.0,20,2000,0.6533944651837391,0.5194615657275211,0.7890213982913075,0.606294338353797,0.21014497340118896,0.39614936495260816,0.8289869687819085,0.7477270131488232,0.8977760819640973,0.4778716431872259,0.08172227823461765,0.39614936495260816,2000,-0.015334726509341713,-0.04931577233109923,0.015927802367070497,-0.2012990621333656,-0.26363626195216533,-0.1324191205462386,-0.1298042062724646,-0.18621387058976716,-0.06838827958275244,-0.09319285134965116,-0.1421673701373991,-0.03961278376615833
drift,0.05,0.0,20,2000,0.031388803725408886,0.013758927397684145,0.07527957431846806,0.14408652400198224,0.1395638203806076,0.004522703621374637,0.2887355108956659,0.18048888865909635,0.43811635391138337,0.015663828835410926,0.011141125214036287,0.004522703621374637,2000,-0.11104941960473888,-0.3062582102798719,-0.003061016986455872,-3.4834078224362863,-8.70008597885134,-0.8079997101434575,-3.1224828897329413,-7.832783846808445,-0.7386308299186057,-2.947269101174152,-7.426738516455916,-0.6187447349762639
drift,0.05,20.0,20,2000,0.030639983739694756,0.01357484530541501,0.07882037374219145,0.13649919933907104,0.1323168660908406,0.00418233324823049,0.5178395452912914,0.3497169087190852,0.8139667625448879,0.008076504172499754,0.003894170924269265,0.00418233324823049,2000,-0.08198666943578188,-0.2327897901711601,-2.748032925463264e-05,-3.9671966256843088,-9.452858211961738,-1.059678710084457,-3.0860574373310317,-7.76168297868151,-0.7391675426261789,-3.208658495831749,-8.116203075575909,-0.7766459730597133
