error_model,variant,jitter_std,jitter_iteration,k,tolerance,budget,n_runs,n_landscapes,mean_extra,ci_low,ci_high,median_extra,mean_extra_reached,mean_multiplier,censored_fraction
ar1,,0.05,0,10,0.01,50,200,20,1.92,1.089875,2.9501249999999994,0.0,1.7135678391959799,1.192,0.005
ar1,,0.05,0,25,0.01,50,200,20,3.8200000000000003,1.809875,6.005125,0.0,2.154255319148936,1.1528,0.06
ar1,,0.05,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,0.05,20,25,0.01,50,200,20,1.125,0.54,1.9051249999999993,0.0,0.6173469387755102,1.045,0.02
ar1,,0.25,0,10,0.01,50,200,20,2.8950000000000005,2.05,3.7951249999999996,0.0,2.693467336683417,1.2894999999999999,0.005
ar1,,0.25,0,25,0.01,50,200,20,6.470000000000001,4.505000000000001,8.630124999999998,2.0,2.4825581395348837,1.2588000000000001,0.14
ar1,,0.25,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,0.25,20,25,0.01,50,200,20,1.7399999999999998,1.0,2.6149999999999998,0.0,1.087179487179487,1.0696,0.025
ar1,,1.0,0,10,0.01,50,200,20,10.49,8.0095,13.13025,4.0,6.12,2.049,0.125
ar1,,1.0,0,25,0.01,50,200,20,17.2,14.129874999999998,20.245249999999995,17.5,6.8429752066115705,1.6880000000000002,0.395
ar1,,1.0,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,1.0,20,25,0.01,50,200,20,3.325,2.2648749999999995,4.365125,0.0,1.4432432432432432,1.133,0.075
ar1,,5.0,0,10,0.01,50,200,20,22.229999999999997,18.069875,26.230874999999997,22.0,8.957627118644067,3.2229999999999994,0.41
ar1,,5.0,0,25,0.01,50,200,20,26.355,23.759874999999997,28.955375,29.0,8.510204081632653,2.0542000000000002,0.755
ar1,,5.0,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ar1,,5.0,20,25,0.01,50,200,20,5.9300000000000015,3.9447499999999995,7.8950000000000005,0.0,0.9440993788819876,1.2372,0.195
bias,bias0.05,0.05,0,10,0.01,50,200,20,1.78,1.11,2.4951249999999994,0.0,1.5879396984924623,1.1780000000000002,0.005
