dataset,dim,seed,k,sigma_e,frag_k,frag_exact,gp_mean_rank_corr,gp_mean_max,exact_max,fit_warnings,fit_seconds
schwefel,4,9,10,0.5,0.29863008482822406,0.2863173315505017,0.09396386472877086,2.1650454221787223,2.5182576706943074,0,0.20104539999738336
schwefel,4,9,10,1.0,1.0668263841041634,0.6890733988458259,0.09396386472877086,2.1650454221787223,2.5182576706943074,0,0.20104539999738336
schwefel,4,9,10,2.0,1.947458063882416,1.33199676314086,0.09396386472877086,2.1650454221787223,2.5182576706943074,0,0.20104539999738336
schwefel,4,9,10,5.0,2.2812440104772307,1.989714335790385,0.09396386472877086,2.1650454221787223,2.5182576706943074,0,0.20104539999738336
schwefel,4,9,20,0.05,0.0,0.011334035540908928,0.07562013618677041,2.562663315659248,2.5182576706943074,0,0.30732669998542406
schwefel,4,9,20,0.25,0.01039238308902672,0.10687609843290914,0.07562013618677041,2.562663315659248,2.5182576706943074,0,0.30732669998542406
schwefel,4,9,20,0.5,0.09957648214067456,0.2863173315505017,0.07562013618677041,2.562663315659248,2.5182576706943074,0,0.30732669998542406
schwefel,4,9,20,1.0,1.2474312729894295,0.6890733988458259,0.07562013618677041,2.562663315659248,2.5182576706943074,0,0.30732669998542406
schwefel,4,9,20,2.0,2.462502076483673,1.33199676314086,0.07562013618677041,2.562663315659248,2.5182576706943074,0,0.30732669998542406
schwefel,4,9,20,5.0,2.73849839992524,1.989714335790385,0.07562013618677041,2.562663315659248,2.5182576706943074,0,0.30732669998542406
schwefel,4,9,50,0.05,0.0,0.011334035540908928,0.03573543717097734,1.2815724596294085,2.5182576706943074,0,0.2660430000105407
schwefel,4,9,50,0.25,0.0033249150925304875,0.10687609843290914,0.03573543717097734,1.2815724596294085,2.5182576706943074,0,0.2660430000105407
schwefel,4,9,50,0.5,0.40946296634072615,0.2863173315505017,0.03573543717097734,1.2815724596294085,2.5182576706943074,0,0.2660430000105407
schwefel,4,9,50,1.0,1.4565880355975518,0.6890733988458259,0.03573543717097734,1.2815724596294085,2.5182576706943074,0,0.2660430000105407
schwefel,4,9,50,2.0,1.7446045726009243,1.33199676314086,0.03573543717097734,1.2815724596294085,2.5182576706943074,0,0.2660430000105407
schwefel,4,9,50,5.0,1.8079535738877812,1.989714335790385,0.03573543717097734,1.2815724596294085,2.5182576706943074,0,0.2660430000105407
schwefel,4,10,10,0.05,0.0,0.011334035540908928,0.11173251888303959,1.3775317950652408,2.5182576706943074,0,0.30177150000235997
schwefel,4,10,10,0.25,0.12319333626610805,0.10687609843290914,0.11173251888303959,1.3775317950652408,2.5182576706943074,0,0.30177150000235997
schwefel,4,10,10,0.5,0.7068656017065216,0.2863173315505017,0.11173251888303959,1.3775317950652408,2.5182576706943074,0,0.30177150000235997
schwefel,4,10,10,1.0,1.002014233360927,0.6890733988458259,0.11173251888303959,1.3775317950652408,2.5182576706943074,0,0.30177150000235997
schwefel,4,10,10,2.0,1.079570693877276,1.33199676314086,0.11173251888303959,1.3775317950652408,2.5182576706943074,0,0.30177150000235997
schwefel,4,10,10,5.0,1.1000821295624024,1.989714335790385,0.11173251888303959,1.3775317950652408,2.5182576706943074,0,0.30177150000235997
schwefel,4,10,20,0.05,0.00045386150639450186,0.011334035540908928,0.09483076791027693,1.3560659004827358,2.5182576706943074,0,0.22891299999901094
schwefel,4,10,20,0.25,0.12563769088257457,0.10687609843290914,0.09483076791027693,1.3560659004827358,2.5182576706943074,0,0.22891299999901094
schwefel,4,10,20,0.5,0.6663830678348223,0.2863173315505017,0.09483076791027693,1.3560659004827358,2.5182576706943074,0,0.22891299999901094
schwefel,4,10,20,1.0,0.937367802903064,0.6890733988458259,0.09483076791027693,1.3560659004827358,2.5182576706943074,0,0.22891299999901094
schwefel,4,10,20,2.0,0.9862329893234955,1.33199676314086,0.09483076791027693,1.3560659004827358,2.5182576706943074,0,0.22891299999901094
schwefel,4,10,20,5.0,1.0053942078165852,1.989714335790385,0.09483076791027693,1.3560659004827358,2.5182576706943074,0,0.22891299999901094
schwefel,4,10,50,0.05,0.0,0.011334035540908928,-0.012623632147039423,1.832448297050606,2.5182576706943074,0,0.28183130000252277
schwefel,4,10,50,0.25,0.06481518632021402,0.10687609843290914,-0.012623632147039423,1.832448297050606,2.5182576706943074,0,0.28183130000252277
schwefel,4,10,50,0.5,0.7989000546229396,0.2863173315505017,-0.012623632147039423,1.832448297050606,2.5182576706943074,0,0.28183130000252277
schwefel,4,10,50,1.0,1.0611425859961725,0.6890733988458259,-0.012623632147039423,1.832448297050606,2.5182576706943074,0,0.28183130000252277
schwefel,4,10,50,2.0,1.1165363614206472,1.33199676314086,-0.012623632147039423,1.832448297050606,2.5182576706943074,0,0.28183130000252277
schwefel,4,10,50,5.0,1.1246951196439983,1.989714335790385,-0.012623632147039423,1.832448297050606,2.5182576706943074,0,0.28183130000252277
schwefel,4,11,10,0.05,0.00975059677566595,0.011334035540908928,0.1336447127489128,1.166300658223619,2.5182576706943074,0,0.3079621000215411
schwefel,4,11,10,0.25,0.11961506834467883,0.10687609843290914,0.1336447127489128,1.166300658223619,2.5182576706943074,0,0.3079621000215411
schwefel,4,11,10,0.5,0.22634964149410208,0.2863173315505017,0.1336447127489128,1.166300658223619,2.5182576706943074,0,0.3079621000215411
schwefel,4,11,10,1.0,0.5087308519345217,0.6890733988458259,0.1336447127489128,1.166300658223619,2.5182576706943074,0,0.3079621000215411
schwefel,4,11,10,2.0,0.9943453473527115,1.33199676314086,0.1336447127489128,1.166300658223619,2.5182576706943074,0,0.3079621000215411
schwefel,4,11,10,5.0,1.343744206246006,1.989714335790385,0.1336447127489128,1.166300658223619,2.5182576706943074,0,0.3079621000215411
schwefel,4,11,20,0.05,0.002960662775231923,0.011334035540908928,0.3677100022888532,1.8004011766712693,2.5182576706943074,0,0.23052179999649525
schwefel,4,11,20,0.25,0.12426020128536516,0.10687609843290914,0.3677100022888532,1.8004011766712693,2.5182576706943074,0,0.23052179999649525
schwefel,4,11,20,0.5,0.33518482253842496,0.2863173315505017,0.3677100022888532,1.8004011766712693,2.5182576706943074,0,0.23052179999649525
schwefel,4,11,20,1.0,0.8150932334203741,0.6890733988458259,0.3677100022888532,1.8004011766712693,2.5182576706943074,0,0.23052179999649525
schwefel,4,11,20,2.0,1.5139694956851981,1.33199676314086,0.3677100022888532,1.8004011766712693,2.5182576706943074,0,0.23052179999649525
schwefel,4,11,20,5.0,1.8651798983100212,1.989714335790385,0.3677100022888532,1.8004011766712693,2.5182576706943074,0,0.23052179999649525
schwefel,4,11,50,0.05,0.012957266279176736,0.011334035540908928,0.1191362439917601,1.8199445248432224,2.5182576706943074,0,0.23291719998815097
schwefel,4,11,50,0.25,0.10633332653368731,0.10687609843290914,0.1191362439917601,1.8199445248432224,2.5182576706943074,0,0.23291719998815097
schwefel,4,11,50,0.5,0.26792463619028933,0.2863173315505017,0.1191362439917601,1.8199445248432224,2.5182576706943074,0,0.23291719998815097
schwefel,4,11,50,1.0,0.7281117557423754,0.6890733988458259,0.1191362439917601,1.8199445248432224,2.5182576706943074,0,0.23291719998815097
schwefel,4,11,50,2.0,1.3331696044335821,1.33199676314086,0.1191362439917601,1.8199445248432224,2.5182576706943074,0,0.23291719998815097
schwefel,4,11,50,5.0,1.7889362011123378,1.989714335790385,0.1191362439917601,1.8199445248432224,2.5182576706943074,0,0.23291719998815097
schwefel,4,12,10,0.05,0.012070644707699588,0.011334035540908928,0.07532830739299609,2.1982457664282133,2.5182576706943074,0,0.22198370000114664
schwefel,4,12,10,0.25,0.0680388746848578,0.10687609843290914,0.07532830739299609,2.1982457664282133,2.5182576706943074,0,0.22198370000114664
schwefel,4,12,10,0.5,0.24016980045954406,0.2863173315505017,0.07532830739299609,2.1982457664282133,2.5182576706943074,0,0.22198370000114664
schwefel,4,12,10,1.0,0.9855559284396854,0.6890733988458259,0.07532830739299609,2.1982457664282133,2.5182576706943074,0,0.22198370000114664
schwefel,4,12,10,2.0,1.6247421965944173,1.33199676314086,0.07532830739299609,2.1982457664282133,2.5182576706943074,0,0.22198370000114664
schwefel,4,12,10,5.0,1.850146699027679,1.989714335790385,0.07532830739299609,2.1982457664282133,2.5182576706943074,0,0.22198370000114664
schwefel,4,12,20,0.05,6.122219356498975e-05,0.011334035540908928,0.0807364385442893,1.6257402942538692,2.5182576706943074,0,0.20657199999550357
schwefel,4,12,20,0.25,0.12932151485372043,0.10687609843290914,0.0807364385442893,1.6257402942538692,2.5182576706943074,0,0.20657199999550357
schwefel,4,12,20,0.5,0.3995157959449673,0.2863173315505017,0.0807364385442893,1.6257402942538692,2.5182576706943074,0,0.20657199999550357
schwefel,4,12,20,1.0,1.0837962888419852,0.6890733988458259,0.0807364385442893,1.6257402942538692,2.5182576706943074,0,0.20657199999550357
schwefel,4,12,20,2.0,1.3924539631176909,1.33199676314086,0.0807364385442893,1.6257402942538692,2.5182576706943074,0,0.20657199999550357
schwefel,4,12,20,5.0,1.5012620103028034,1.989714335790385,0.0807364385442893,1.6257402942538692,2.5182576706943074,0,0.20657199999550357
schwefel,4,12,50,0.05,0.006330024735417512,0.011334035540908928,0.0668616960402838,1.8293914438327212,2.5182576706943074,0,0.2304397000116296
schwefel,4,12,50,0.25,0.10932590007777021,0.10687609843290914,0.0668616960402838,1.8293914438327212,2.5182576706943074,0,0.2304397000116296
schwefel,4,12,50,0.5,0.3222571303175843,0.2863173315505017,0.0668616960402838,1.8293914438327212,2.5182576706943074,0,0.2304397000116296
schwefel,4,12,50,1.0,0.9755460091610103,0.6890733988458259,0.0668616960402838,1.8293914438327212,2.5182576706943074,0,0.2304397000116296
schwefel,4,12,50,2.0,1.4674681646944332,1.33199676314086,0.0668616960402838,1.8293914438327212,2.5182576706943074,0,0.2304397000116296
schwefel,4,12,50,5.0,1.6647177582558483,1.989714335790385,0.0668616960402838,1.8293914438327212,2.5182576706943074,0,0.2304397000116296
schwefel,4,13,10,0.05,0.005719754079736809,0.011334035540908928,0.03920734149691004,1.63532020300811,2.5182576706943074,0,0.18165939999744296
schwefel,4,13,10,0.25,0.10361487403576729,0.10687609843290914,0.03920734149691004,1.63532020300811,2.5182576706943074,0,0.18165939999744296
schwefel,4,13,10,0.5,0.34473922856879785,0.2863173315505017,0.03920734149691004,1.63532020300811,2.5182576706943074,0,0.18165939999744296
schwefel,4,13,10,1.0,0.7492481607777551,0.6890733988458259,0.03920734149691004,1.63532020300811,2.5182576706943074,0,0.18165939999744296
schwefel,4,13,10,2.0,1.4428000416769784,1.33199676314086,0.03920734149691004,1.63532020300811,2.5182576706943074,0,0.18165939999744296
schwefel,4,13,10,5.0,2.1329752257409527,1.989714335790385,0.03920734149691004,1.63532020300811,2.5182576706943074,0,0.18165939999744296
schwefel,4,13,20,0.05,0.002463583285336014,0.011334035540908928,-0.03046320668345159,1.498286792972253,2.5182576706943074,0,0.15767989997402765
schwefel,4,13,20,0.25,0.14085493896835016,0.10687609843290914,-0.03046320668345159,1.498286792972253,2.5182576706943074,0,0.15767989997402765
schwefel,4,13,20,0.5,0.3459946914270421,0.2863173315505017,-0.03046320668345159,1.498286792972253,2.5182576706943074,0,0.15767989997402765
schwefel,4,13,20,1.0,0.7257484700514326,0.6890733988458259,-0.03046320668345159,1.498286792972253,2.5182576706943074,0,0.15767989997402765
schwefel,4,13,20,2.0,1.3019245655921636,1.33199676314086,-0.03046320668345159,1.498286792972253,2.5182576706943074,0,0.15767989997402765
schwefel,4,13,20,5.0,1.8412888447019067,1.989714335790385,-0.03046320668345159,1.498286792972253,2.5182576706943074,0,0.15767989997402765
schwefel,4,13,50,0.05,0.005717167662446018,0.011334035540908928,-0.07040155069810024,1.2178590502378486,2.5182576706943074,0,0.22250209999037907
schwefel,4,13,50,0.25,0.1449668115349275,0.10687609843290914,-0.07040155069810024,1.2178590502378486,2.5182576706943074,0,0.22250209999037907
schwefel,4,13,50,0.5,0.3617072349001536,0.2863173315505017,-0.07040155069810024,1.2178590502378486,2.5182576706943074,0,0.22250209999037907
schwefel,4,13,50,1.0,0.7368656619114031,0.6890733988458259,-0.07040155069810024,1.2178590502378486,2.5182576706943074,0,0.22250209999037907
schwefel,4,13,50,2.0,1.2164162044340219,1.33199676314086,-0.07040155069810024,1.2178590502378486,2.5182576706943074,0,0.22250209999037907
schwefel,4,13,50,5.0,1.582868003950244,1.989714335790385,-0.07040155069810024,1.2178590502378486,2.5182576706943074,0,0.22250209999037907
schwefel,4,14,10,0.05,0.02011170224476775,0.011334035540908928,0.06124971389333943,0.7421599478198484,2.5182576706943074,0,0.2895088999939617
schwefel,4,14,10,0.25,0.1825787059370835,0.10687609843290914,0.06124971389333943,0.7421599478198484,2.5182576706943074,0,0.2895088999939617
schwefel,4,14,10,0.5,0.4459556637778672,0.2863173315505017,0.06124971389333943,0.7421599478198484,2.5182576706943074,0,0.2895088999939617
schwefel,4,14,10,1.0,0.5953981892910291,0.6890733988458259,0.06124971389333943,0.7421599478198484,2.5182576706943074,0,0.2895088999939617
schwefel,4,14,10,2.0,0.6561018237541101,1.33199676314086,0.06124971389333943,0.7421599478198484,2.5182576706943074,0,0.2895088999939617
schwefel,4,14,10,5.0,0.6877445037103294,1.989714335790385,0.06124971389333943,0.7421599478198484,2.5182576706943074,0,0.2895088999939617
schwefel,4,14,20,0.05,0.01001128315689121,0.011334035540908928,0.13277137216754403,0.7332207773150352,2.5182576706943074,0,0.3425144999928307
schwefel,4,14,20,0.25,0.24613609014352142,0.10687609843290914,0.13277137216754403,0.7332207773150352,2.5182576706943074,0,0.3425144999928307
schwefel,4,14,20,0.5,0.5150454940896866,0.2863173315505017,0.13277137216754403,0.7332207773150352,2.5182576706943074,0,0.3425144999928307
schwefel,4,14,20,1.0,0.5972626334853961,0.6890733988458259,0.13277137216754403,0.7332207773150352,2.5182576706943074,0,0.3425144999928307
schwefel,4,14,20,2.0,0.6218029952246433,1.33199676314086,0.13277137216754403,0.7332207773150352,2.5182576706943074,0,0.3425144999928307
schwefel,4,14,20,5.0,0.6378518319702678,1.989714335790385,0.13277137216754403,0.7332207773150352,2.5182576706943074,0,0.3425144999928307
schwefel,4,14,50,0.05,0.0,0.011334035540908928,-8.726821188039892e-05,1.7670123649490923,2.5182576706943074,0,0.3253209000104107
schwefel,4,14,50,0.25,0.0800709042393805,0.10687609843290914,-8.726821188039892e-05,1.7670123649490923,2.5182576706943074,0,0.3253209000104107
schwefel,4,14,50,0.5,0.5587695863108315,0.2863173315505017,-8.726821188039892e-05,1.7670123649490923,2.5182576706943074,0,0.3253209000104107
schwefel,4,14,50,1.0,1.2057602757044419,0.6890733988458259,-8.726821188039892e-05,1.7670123649490923,2.5182576706943074,0,0.3253209000104107
schwefel,4,14,50,2.0,1.3788612808966276,1.33199676314086,-8.726821188039892e-05,1.7670123649490923,2.5182576706943074,0,0.3253209000104107
schwefel,4,14,50,5.0,1.4312342935799889,1.989714335790385,-8.726821188039892e-05,1.7670123649490923,2.5182576706943074,0,0.3253209000104107
schwefel,4,15,10,0.05,0.001173142307683391,0.011334035540908928,-0.08593714236667428,1.2273378796238232,2.5182576706943074,0,0.32198509998852387
schwefel,4,15,10,0.25,0.11613115974643196,0.10687609843290914,-0.08593714236667428,1.2273378796238232,2.5182576706943074,0,0.32198509998852387
schwefel,4,15,10,0.5,0.522292428254359,0.2863173315505017,-0.08593714236667428,1.2273378796238232,2.5182576706943074,0,0.32198509998852387
schwefel,4,15,10,1.0,1.0205005192042675,0.6890733988458259,-0.08593714236667428,1.2273378796238232,2.5182576706943074,0,0.32198509998852387
schwefel,4,15,10,2.0,1.1621987042541895,1.33199676314086,-0.08593714236667428,1.2273378796238232,2.5182576706943074,0,0.32198509998852387
schwefel,4,15,10,5.0,1.2019517202956878,1.989714335790385,-0.08593714236667428,1.2273378796238232,2.5182576706943074,0,0.32198509998852387
schwefel,4,15,20,0.05,0.0013340072684313138,0.011334035540908928,-0.018616245136186767,0.7780061710247174,2.5182576706943074,0,0.4190879999950994
schwefel,4,15,20,0.25,0.3409685749974693,0.10687609843290914,-0.018616245136186767,0.7780061710247174,2.5182576706943074,0,0.4190879999950994
schwefel,4,15,20,0.5,0.5425888485803618,0.2863173315505017,-0.018616245136186767,0.7780061710247174,2.5182576706943074,0,0.4190879999950994
schwefel,4,15,20,1.0,0.5891607313292443,0.6890733988458259,-0.018616245136186767,0.7780061710247174,2.5182576706943074,0,0.4190879999950994
schwefel,4,15,20,2.0,0.6019814076283175,1.33199676314086,-0.018616245136186767,0.7780061710247174,2.5182576706943074,0,0.4190879999950994
schwefel,4,15,20,5.0,0.6076467792810543,1.989714335790385,-0.018616245136186767,0.7780061710247174,2.5182576706943074,0,0.4190879999950994
schwefel,4,15,50,0.05,0.0,0.011334035540908928,-0.09812243587187827,1.1482150266244502,2.5182576706943074,0,0.3178397000010591
schwefel,4,15,50,0.25,0.2565527832511718,0.10687609843290914,-0.09812243587187827,1.1482150266244502,2.5182576706943074,0,0.3178397000010591
schwefel,4,15,50,0.5,0.7102680947380007,0.2863173315505017,-0.09812243587187827,1.1482150266244502,2.5182576706943074,0,0.3178397000010591
schwefel,4,15,50,1.0,0.8077363050225456,0.6890733988458259,-0.09812243587187827,1.1482150266244502,2.5182576706943074,0,0.3178397000010591
schwefel,4,15,50,2.0,0.8243730258799398,1.33199676314086,-0.09812243587187827,1.1482150266244502,2.5182576706943074,0,0.3178397000010591
schwefel,4,15,50,5.0,0.8316092213569288,1.989714335790385,-0.09812243587187827,1.1482150266244502,2.5182576706943074,0,0.3178397000010591
schwefel,4,16,10,0.05,0.000117630833658914,0.011334035540908928,-0.03601081483176928,0.4421606572122372,2.5182576706943074,0,0.30805429999600165
schwefel,4,16,10,0.25,0.30579621132350304,0.10687609843290914,-0.03601081483176928,0.4421606572122372,2.5182576706943074,0,0.30805429999600165
schwefel,4,16,10,0.5,0.5659607439853827,0.2863173315505017,-0.03601081483176928,0.4421606572122372,2.5182576706943074,0,0.30805429999600165
schwefel,4,16,10,1.0,0.6491091341113302,0.6890733988458259,-0.03601081483176928,0.4421606572122372,2.5182576706943074,0,0.30805429999600165
schwefel,4,16,10,2.0,0.6806891475656317,1.33199676314086,-0.03601081483176928,0.4421606572122372,2.5182576706943074,0,0.30805429999600165
schwefel,4,16,10,5.0,0.6953439696505446,1.989714335790385,-0.03601081483176928,0.4421606572122372,2.5182576706943074,0,0.30805429999600165
schwefel,4,16,20,0.05,0.00027379679630040445,0.011334035540908928,-0.043758284929167716,0.1002082752719062,2.5182576706943074,0,0.29520510000293143
schwefel,4,16,20,0.25,0.3196727585083312,0.10687609843290914,-0.043758284929167716,0.1002082752719062,2.5182576706943074,0,0.29520510000293143
schwefel,4,16,20,0.5,0.3454683240711884,0.2863173315505017,-0.043758284929167716,0.1002082752719062,2.5182576706943074,0,0.29520510000293143
schwefel,4,16,20,1.0,0.351886995792491,0.6890733988458259,-0.043758284929167716,0.1002082752719062,2.5182576706943074,0,0.29520510000293143
schwefel,4,16,20,2.0,0.35596018841451915,1.33199676314086,-0.043758284929167716,0.1002082752719062,2.5182576706943074,0,0.29520510000293143
schwefel,4,16,20,5.0,0.35720156740519915,1.989714335790385,-0.043758284929167716,0.1002082752719062,2.5182576706943074,0,0.29520510000293143
schwefel,4,16,50,0.05,0.01202119659688939,0.011334035540908928,0.06322820215066711,0.5836055766976851,2.5182576706943074,0,0.3116864000039641
schwefel,4,16,50,0.25,0.300540874952715,0.10687609843290914,0.06322820215066711,0.5836055766976851,2.5182576706943074,0,0.3116864000039641
schwefel,4,16,50,0.5,0.4158870550647608,0.2863173315505017,0.06322820215066711,0.5836055766976851,2.5182576706943074,0,0.3116864000039641
schwefel,4,16,50,1.0,0.4444167146417606,0.6890733988458259,0.06322820215066711,0.5836055766976851,2.5182576706943074,0,0.3116864000039641
schwefel,4,16,50,2.0,0.4543514728153033,1.33199676314086,0.06322820215066711,0.5836055766976851,2.5182576706943074,0,0.3116864000039641
schwefel,4,16,50,5.0,0.4621846849991937,1.989714335790385,0.06322820215066711,0.5836055766976851,2.5182576706943074,0,0.3116864000039641
powell,4,7,10,0.05,0.024093023997125696,0.02133903767300327,0.3719615472648203,0.8306872905731952,0.7622031170735195,0,0.25696859997697175
powell,4,7,10,0.25,0.1139620821478227,0.07639541660612512,0.3719615472648203,0.8306872905731952,0.7622031170735195,0,0.25696859997697175
powell,4,7,10,0.5,0.2364891580982125,0.12023869261121149,0.3719615472648203,0.8306872905731952,0.7622031170735195,0,0.25696859997697175
powell,4,7,10,1.0,0.4523624377264974,0.1846919469087455,0.3719615472648203,0.8306872905731952,0.7622031170735195,0,0.25696859997697175
powell,4,7,10,2.0,0.7075327521170369,0.27398167633150594,0.3719615472648203,0.8306872905731952,0.7622031170735195,0,0.25696859997697175
powell,4,7,10,5.0,0.9697199064244092,0.4115761325777831,0.3719615472648203,0.8306872905731952,0.7622031170735195,0,0.25696859997697175
powell,4,7,20,0.05,0.022409099291338712,0.02133903767300327,0.6653160048065918,0.9684759271144452,0.7622031170735195,0,0.21653519998653792
powell,4,7,20,0.25,0.15047167486377025,0.07639541660612512,0.6653160048065918,0.9684759271144452,0.7622031170735195,0,0.21653519998653792
powell,4,7,20,0.5,0.28516889708001963,0.12023869261121149,0.6653160048065918,0.9684759271144452,0.7622031170735195,0,0.21653519998653792
powell,4,7,20,1.0,0.4804448279835087,0.1846919469087455,0.6653160048065918,0.9684759271144452,0.7622031170735195,0,0.21653519998653792
powell,4,7,20,2.0,0.6936550226728482,0.27398167633150594,0.6653160048065918,0.9684759271144452,0.7622031170735195,0,0.21653519998653792
powell,4,7,20,5.0,0.982256284873795,0.4115761325777831,0.6653160048065918,0.9684759271144452,0.7622031170735195,0,0.21653519998653792
powell,4,7,50,0.05,0.026331939308553074,0.02133903767300327,0.8708893625543601,0.7947753007924541,0.7622031170735195,0,0.19107390000135638
powell,4,7,50,0.25,0.12488435992965344,0.07639541660612512,0.8708893625543601,0.7947753007924541,0.7622031170735195,0,0.19107390000135638
powell,4,7,50,0.5,0.19812896806958313,0.12023869261121149,0.8708893625543601,0.7947753007924541,0.7622031170735195,0,0.19107390000135638
powell,4,7,50,1.0,0.3079485802642649,0.1846919469087455,0.8708893625543601,0.7947753007924541,0.7622031170735195,0,0.19107390000135638
