dataset,dim,seed,k,sigma_e,frag_k,frag_exact,gp_mean_rank_corr,gp_mean_max,exact_max,fit_warnings,fit_seconds
schwefel,4,7,10,0.05,0.013113229368502281,0.011334035540908928,-0.002431191348134584,0.276002267607347,2.5182576706943074,0,0.49238969999714755
schwefel,4,7,10,0.25,0.12486083459011578,0.10687609843290914,-0.002431191348134584,0.276002267607347,2.5182576706943074,0,0.49238969999714755
schwefel,4,7,10,0.5,0.40076957693464027,0.2863173315505017,-0.002431191348134584,0.276002267607347,2.5182576706943074,0,0.49238969999714755
schwefel,4,7,10,1.0,0.8264266109577847,0.6890733988458259,-0.002431191348134584,0.276002267607347,2.5182576706943074,0,0.49238969999714755
schwefel,4,7,10,2.0,1.0537165895777048,1.33199676314086,-0.002431191348134584,0.276002267607347,2.5182576706943074,0,0.49238969999714755
schwefel,4,7,10,5.0,1.1703025061508543,1.989714335790385,-0.002431191348134584,0.276002267607347,2.5182576706943074,0,0.49238969999714755
schwefel,4,7,20,0.05,0.0,0.011334035540908928,-0.06901536392767223,1.2169848056750407,2.5182576706943074,0,0.20680249997531064
schwefel,4,7,20,0.25,0.039971741441250985,0.10687609843290914,-0.06901536392767223,1.2169848056750407,2.5182576706943074,0,0.20680249997531064
schwefel,4,7,20,0.5,0.526692677385586,0.2863173315505017,-0.06901536392767223,1.2169848056750407,2.5182576706943074,0,0.20680249997531064
schwefel,4,7,20,1.0,1.2721862625220335,0.6890733988458259,-0.06901536392767223,1.2169848056750407,2.5182576706943074,0,0.20680249997531064
schwefel,4,7,20,2.0,1.5258778320427886,1.33199676314086,-0.06901536392767223,1.2169848056750407,2.5182576706943074,0,0.20680249997531064
schwefel,4,7,20,5.0,1.6288273165492624,1.989714335790385,-0.06901536392767223,1.2169848056750407,2.5182576706943074,0,0.20680249997531064
schwefel,4,7,50,0.05,0.0,0.011334035540908928,0.1678237296864271,1.7325361274164979,2.5182576706943074,0,0.2702193000004627
schwefel,4,7,50,0.25,0.08508361191774697,0.10687609843290914,0.1678237296864271,1.7325361274164979,2.5182576706943074,0,0.2702193000004627
schwefel,4,7,50,0.5,0.2986403073783813,0.2863173315505017,0.1678237296864271,1.7325361274164979,2.5182576706943074,0,0.2702193000004627
schwefel,4,7,50,1.0,1.0211890112379605,0.6890733988458259,0.1678237296864271,1.7325361274164979,2.5182576706943074,0,0.2702193000004627
schwefel,4,7,50,2.0,1.7641719516643461,1.33199676314086,0.1678237296864271,1.7325361274164979,2.5182576706943074,0,0.2702193000004627
schwefel,4,7,50,5.0,2.0885351684888276,1.989714335790385,0.1678237296864271,1.7325361274164979,2.5182576706943074,0,0.2702193000004627
schwefel,4,8,10,0.05,0.020658462686522185,0.011334035540908928,-0.053272344930189966,0.7089149955466635,2.5182576706943074,0,0.21233740000752732
schwefel,4,8,10,0.25,0.161187999867445,0.10687609843290914,-0.053272344930189966,0.7089149955466635,2.5182576706943074,0,0.21233740000752732
schwefel,4,8,10,0.5,0.3181380052172807,0.2863173315505017,-0.053272344930189966,0.7089149955466635,2.5182576706943074,0,0.21233740000752732
schwefel,4,8,10,1.0,0.5591345880237903,0.6890733988458259,-0.053272344930189966,0.7089149955466635,2.5182576706943074,0,0.21233740000752732
schwefel,4,8,10,2.0,0.77646394889248,1.33199676314086,-0.053272344930189966,0.7089149955466635,2.5182576706943074,0,0.21233740000752732
schwefel,4,8,10,5.0,0.9480583777585297,1.989714335790385,-0.053272344930189966,0.7089149955466635,2.5182576706943074,0,0.21233740000752732
schwefel,4,8,20,0.05,0.0028538495131291623,0.011334035540908928,0.1172171835660334,0.8871634133820672,2.5182576706943074,0,0.24260609998600557
schwefel,4,8,20,0.25,0.1202289847582725,0.10687609843290914,0.1172171835660334,0.8871634133820672,2.5182576706943074,0,0.24260609998600557
schwefel,4,8,20,0.5,0.5540331449127259,0.2863173315505017,0.1172171835660334,0.8871634133820672,2.5182576706943074,0,0.24260609998600557
schwefel,4,8,20,1.0,0.9798413371314512,0.6890733988458259,0.1172171835660334,0.8871634133820672,2.5182576706943074,0,0.24260609998600557
schwefel,4,8,20,2.0,1.119017444287944,1.33199676314086,0.1172171835660334,0.8871634133820672,2.5182576706943074,0,0.24260609998600557
schwefel,4,8,20,5.0,1.1802650378958397,1.989714335790385,0.1172171835660334,0.8871634133820672,2.5182576706943074,0,0.24260609998600557
schwefel,4,8,50,0.05,0.010899885148270597,0.011334035540908928,0.12562585831998166,0.7372977303853747,2.5182576706943074,0,0.19108499999856576
schwefel,4,8,50,0.25,0.14063200083675872,0.10687609843290914,0.12562585831998166,0.7372977303853747,2.5182576706943074,0,0.19108499999856576
schwefel,4,8,50,0.5,0.4771505319557757,0.2863173315505017,0.12562585831998166,0.7372977303853747,2.5182576706943074,0,0.19108499999856576
schwefel,4,8,50,1.0,0.8304091658710459,0.6890733988458259,0.12562585831998166,0.7372977303853747,2.5182576706943074,0,0.19108499999856576
schwefel,4,8,50,2.0,0.9586789538286727,1.33199676314086,0.12562585831998166,0.7372977303853747,2.5182576706943074,0,0.19108499999856576
schwefel,4,8,50,5.0,1.0293094323192977,1.989714335790385,0.12562585831998166,0.7372977303853747,2.5182576706943074,0,0.19108499999856576
schwefel,4,9,10,0.05,0.0,0.011334035540908928,0.09396386472877086,2.1650454221787223,2.5182576706943074,0,0.20104539999738336
schwefel,4,9,10,0.25,0.0680528134457976,0.10687609843290914,0.09396386472877086,2.1650454221787223,2.5182576706943074,0,0.20104539999738336
