dataset,jitter_std,variant,opt_z,cap_z,headroom_above_cap,frag,cost_capped,cost_uncapped,extra_cost
ackley,0.25,ceil0.9-anchored,20.102447153853433,1.2815515655446004,18.820895588308833,0.035845416935037094,0.13305594767566667,0.023851724487505627,0.10920422318816105
ackley,0.25,ceil0.9-fixed,20.102447153853433,1.2815515655446004,18.820895588308833,0.035845416935037094,0.7112615514746953,0.023851724487505627,0.6874098269871897
ackley,1.0,ceil0.9-anchored,20.102447153853433,1.2815515655446004,18.820895588308833,0.18350936234122667,0.736967371930914,0.30299981158743944,0.43396756034347456
ackley,1.0,ceil0.9-fixed,20.102447153853433,1.2815515655446004,18.820895588308833,0.18350936234122667,0.729130013106412,0.30299981158743944,0.4261302015189726
branin,0.25,ceil0.9-anchored,1.2500554659000687,1.2815515655446004,-0.031496099644531705,0.08322053513336496,0.08045436024311625,0.08793043267727267,-0.007476072434156419
branin,0.25,ceil0.9-fixed,1.2500554659000687,1.2815515655446004,-0.031496099644531705,0.08322053513336496,0.1648273136943914,0.08793043267727267,0.07689688101711874
branin,1.0,ceil0.9-anchored,1.2500554659000687,1.2815515655446004,-0.031496099644531705,0.3033223677000361,0.47194801075600246,0.22573218843336132,0.24621582232264114
branin,1.0,ceil0.9-fixed,1.2500554659000687,1.2815515655446004,-0.031496099644531705,0.3033223677000361,0.4317436531831559,0.22573218843336132,0.20601146474979457
eggholder,0.25,ceil0.9-anchored,3.2050455310550587,1.2815515655446004,1.9234939655104584,0.0666834343234975,0.10730934924928186,0.07985547191039427,0.027453877338887586
eggholder,0.25,ceil0.9-fixed,3.2050455310550587,1.2815515655446004,1.9234939655104584,0.0666834343234975,0.24975598950510153,0.07985547191039427,0.16990051759470726
eggholder,1.0,ceil0.9-anchored,3.2050455310550587,1.2815515655446004,1.9234939655104584,0.6808881332836413,0.5500139832576906,0.22984594410553877,0.3201680391521518
eggholder,1.0,ceil0.9-fixed,3.2050455310550587,1.2815515655446004,1.9234939655104584,0.6808881332836413,0.3251436104000508,0.22984594410553877,0.09529766629451203
griewank,0.25,ceil0.9-anchored,2.7538558156589708,1.2815515655446004,1.4723042501143704,0.1358854997392541,0.05456623737017968,0.141573684198161,-0.08700744682798131
griewank,0.25,ceil0.9-fixed,2.7538558156589708,1.2815515655446004,1.4723042501143704,0.1358854997392541,0.46911537750674687,0.141573684198161,0.32754169330858585
griewank,1.0,ceil0.9-anchored,2.7538558156589708,1.2815515655446004,1.4723042501143704,0.845765438608116,0.7062734146568068,0.37745144407832293,0.3288219705784839
