dataset,floor_auc_baseline,best_learner_auc_baseline,best_learner,headroom,ceiling_free
rosenbrock,3.5566590865115244,2.932106985635042,pi,0.17560077749511305,False
shekel,2635.764302529923,2141.3788277869508,greedy,0.18756816543438248,False
rastrigin,90.48790502250343,71.99012817823473,ei,0.2044226445475612,False
michalewicz,289.70588665899777,222.46300280259297,qei,0.23210741290719417,False
eggholder,67.1794846459068,51.41101239561374,qpi,0.2347215423489234,False
powell,2.2319571922888497,1.544036772167114,qpi,0.3082139847925489,False
schwefel,115.96660628327973,79.17091876667789,pi,0.31729554477707533,False
branin,5.2980506038564315,3.4530392638759446,ei,0.3482434347904322,False
levy_10,49.23981985436935,31.139543145122296,ei,0.367594291830881,False
moving_peaks,62.401177675625696,39.42521156189902,pi,0.3681976361593772,False
ackley,859.3648929033841,484.37635750813297,ucb,0.43635542770236246,False
hartmann_3,48.50454584001209,21.278929660094107,qei,0.5613003010010493,False
hartmann_6,258.32720460116536,102.65095146635508,qnei,0.6026320509880514,False
griewank,55.67976598042351,20.700816975065354,logei,0.6282165233535002,False
yerkes_dodson,81.3123129948709,29.75034194571407,qnei,0.6341225473737206,False
steering_law,12.920776140744376,4.265435418827388,qnei,0.6698777710901775,False
weber_fechner,31.805844167533966,9.517029996286503,qucb,0.7007773179621789,False
power_law_practice,30.520504414113375,6.874627785964559,qucb,0.7747537952621263,False
stevens,58.928971866153276,11.559962492315986,ucb,0.8038322725437601,False
hicks_law,173.9241336093412,28.512387070877004,qucb,0.8360642282403432,False
