error_model,jitter_std,jitter_iteration,n_observations,injected,empirical,fitted_default,fitted_flat,ratio_default,ratio_flat,runs
gaussian,0.05,0,8,0.05,0.06249993541878395,0.07126687065474184,0.011327784822289515,1.4253374130948369,0.22655569644579027,60
gaussian,0.05,0,15,0.05,0.055029645168960827,0.07516646875825195,0.023702767086107662,1.5033293751650387,0.4740553417221532,60
gaussian,0.05,0,25,0.05,0.050021139731419396,0.0682551183527226,0.04514016104533626,1.365102367054452,0.9028032209067252,60
gaussian,0.05,0,50,0.05,0.04904865801548773,0.06187797973889764,0.05308775458350655,1.2375595947779527,1.0617550916701308,60
gaussian,0.05,20,25,0.022360679774997897,0.019572741707851782,0.06509317836930588,0.031594459034116035,2.9110554341057373,1.4129471622523162,60
gaussian,0.05,20,50,0.038729833462074176,0.03928981348608882,0.06035246353246887,0.04988312550396826,1.558293907758949,1.2879767622242901,60
gaussian,0.25,0,8,0.25,0.20744336293257779,0.07611619941720801,0.01117503451675458,0.30446479766883205,0.04470013806701832,60
gaussian,0.25,0,15,0.25,0.23005669825278072,0.1017828696605686,0.20379088929974964,0.4071314786422744,0.8151635571989986,60
gaussian,0.25,0,25,0.25,0.2303565898371489,0.1801933824414374,0.22465531794431198,0.7207735297657496,0.8986212717772479,60
gaussian,0.25,0,50,0.25,0.23283818284653712,0.22102945748265534,0.24025221517589007,0.8841178299306214,0.9610088607035603,60
gaussian,0.25,20,25,0.11180339887498948,0.0997864927898114,0.11405222651519147,0.11747933525588525,1.0201141258926882,1.0507671183345884,60
gaussian,0.25,20,50,0.19364916731037088,0.19649590064590142,0.2286706005985994,0.24225840062714443,1.1808499038474976,1.251017001477033,60
gaussian,1.0,0,8,1.0,1.0291716236085449,0.12053083256208016,0.017482091492156324,0.12053083256208016,0.017482091492156324,60
gaussian,1.0,0,15,1.0,1.020001770697913,0.13827832919961353,0.5512707290839348,0.13827832919961353,0.5512707290839348,60
gaussian,1.0,0,25,1.0,1.0773749858778179,0.6563004010301288,0.9068021610471695,0.6563004010301288,0.9068021610471695,60
gaussian,1.0,0,50,1.0,0.9868172298213057,0.8294560505867397,0.9311175306978114,0.8294560505867397,0.9311175306978114,60
gaussian,1.0,20,25,0.4472135954999579,0.3412442940750487,0.3127190197059632,0.3791572522389596,0.6992609859196302,0.847821390168348,60
gaussian,1.0,20,50,0.7745966692414835,0.9400679159541628,0.8971240367007824,0.9948555767745054,1.1581821512081674,1.2843530269097445,60
gaussian,5.0,0,8,5.0,6.173240940815824,0.5425650818647642,0.07294587092958645,0.10851301637295283,0.014589174185917288,60
gaussian,5.0,0,15,5.0,5.865483324162159,0.5205777217169245,3.179712702384468,0.1041155443433849,0.6359425404768935,60
gaussian,5.0,0,25,5.0,5.507927710150735,2.822124467594655,4.441469720061852,0.5644248935189311,0.8882939440123703,60
gaussian,5.0,0,50,5.0,5.063658425635712,4.46115809338845,5.040957581148936,0.8922316186776901,1.0081915162297872,60
gaussian,5.0,20,25,2.2360679774997902,3.0727423802422416,1.273122908003618,1.7631051866569094,0.5693578732016601,0.7884846097694609,60
gaussian,5.0,20,50,3.872983346207417,3.761751831476978,3.0824225936024074,3.4816768394415893,0.7958780913997063,0.8989650944022233,60
