file,k_hat,gp_failed,sitting_sd_used,scores
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_ar1_jit0_std0.05.csv,pm,False,0.10797654461837242,"{""pm"": 4.823573955070825, ""lcb"": 4.823573955070825, ""2"": 4.615392204633531, ""3"": 4.504586928044159, ""5"": 4.253168453607202, ""8"": 3.872454536963102, ""12"": 3.367665112992354, ""16"": 2.8641371631464034, ""20"": 2.356588420641388, ""25"": 1.7246998672809961, ""30"": 1.0929411633230506}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_ar1_jit0_std0.25.csv,pm,False,0.09968016297804155,"{""pm"": 0.8903290465916244, ""lcb"": 0.8903290465916244, ""2"": 0.8512827840495583, ""3"": 0.8275735320711152, ""5"": 0.7739891091924338, ""8"": 0.6856111480952088, ""12"": 0.5495745026223916, ""16"": 0.41162431028857377, ""20"": 0.2754732802130693, ""25"": 0.1019436708158672, ""30"": -0.06945298957429827}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_ar1_jit0_std1.0.csv,pm,False,0.260410425685309,"{""pm"": 2.5724234435059956, ""lcb"": 2.550783019219642, ""2"": 2.5113800366039976, ""3"": 2.5119765026511827, ""5"": 2.3502322739654584, ""8"": 2.1021029420248833, ""12"": 1.7989347840729617, ""16"": 1.4806905034845241, ""20"": 1.1722368946980695, ""25"": 0.7839851326418026, ""30"": 0.39499948569574167}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_ar1_jit0_std5.0.csv,pm,False,0.7245190584922411,"{""pm"": 11.599518823002967, ""lcb"": 11.374033571596266, ""2"": 10.921931488334888, ""3"": 10.691492440425003, ""5"": 10.180651021988075, ""8"": 9.574532234273521, ""12"": 8.489001639709354, ""16"": 7.388287248507984, ""20"": 6.247863348186162, ""25"": 4.84762974949657, ""30"": 3.434533262376556}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_ar1_jit20_std0.05.csv,pm,False,0.11084441315422176,"{""pm"": 30.549536062009192, ""lcb"": 30.549536062009192, ""2"": 29.03547471666205, ""3"": 28.268009126147792, ""5"": 26.747678864662237, ""8"": 24.47529860445943, ""12"": 21.431280713756703, ""16"": 18.398258793864905, ""20"": 15.352607213126984, ""25"": 11.552510180198931, ""30"": 7.748268765426057}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_ar1_jit20_std0.25.csv,pm,False,0.11084441315422176,"{""pm"": 30.549536062009192, ""lcb"": 30.549536062009192, ""2"": 29.033246957215514, ""3"": 28.26664389439508, ""5"": 26.7501424219422, ""8"": 24.471449738894385, ""12"": 21.423833702399087, ""16"": 18.39380125156892, ""20"": 15.353867060900981, ""25"": 11.553192455003305, ""30"": 7.751379766272159}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_ar1_jit20_std1.0.csv,pm,False,0.11084441315422176,"{""pm"": 30.549536062009192, ""lcb"": 30.549536062009192, ""2"": 29.03276914493624, ""3"": 28.275509749625257, ""5"": 26.748885177281835, ""8"": 24.469685473617666, ""12"": 21.424746194666884, ""16"": 18.39659306962643, ""20"": 15.355216829901366, ""25"": 11.557172496469663, ""30"": 7.7510236631852125}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_ar1_jit20_std5.0.csv,pm,False,0.11084441315422176,"{""pm"": 30.549536062009192, ""lcb"": 30.549536062009192, ""2"": 29.030642884795206, ""3"": 28.265221177745076, ""5"": 26.75194577741383, ""8"": 24.473104942292828, ""12"": 21.42877952686781, ""16"": 18.388450298464612, ""20"": 15.344942328340593, ""25"": 11.549091944197867, ""30"": 7.75288073258832}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_bias_jit0_std0.05_bias0.05.csv,pm,False,0.09181478097268651,"{""pm"": 11.103860913710106, ""lcb"": 11.103860913710106, ""2"": 10.55040896523425, ""3"": 10.27244733317035, ""5"": 9.720430148617476, ""8"": 8.885446149820666, ""12"": 7.781393093774736, ""16"": 6.673403631078996, ""20"": 5.570051257727075, ""25"": 4.182925017272383, ""30"": 2.8019192218332005}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_bias_jit0_std0.25_bias0.25.csv,pm,False,0.06995136431262677,"{""pm"": 1.2732696039279285, ""lcb"": 1.2732696039279285, ""2"": 1.240660844010588, ""3"": 1.211367122932492, ""5"": 1.1445755590963156, ""8"": 1.0495782523395378, ""12"": 0.9250304713303203, ""16"": 0.7977112203239632, ""20"": 0.6698436360696159, ""25"": 0.5143957034258084, ""30"": 0.3583425265526453}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_bias_jit0_std1.0_bias1.csv,pm,False,0.061703323766567474,"{""pm"": 12.701453247811529, ""lcb"": 12.701453247811529, ""2"": 12.201569200541808, ""3"": 11.95389548024509, ""5"": 11.45349952953108, ""8"": 10.706032644894947, ""12"": 9.708379159273635, ""16"": 8.710186234327185, ""20"": 7.719306459275984, ""25"": 6.464482884895342, ""30"": 5.219940777912854}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_bias_jit0_std5.0_bias5.csv,20,False,1.3205064402277522,"{""pm"": 9.782859873797754, ""lcb"": 9.782859873797754, ""2"": 10.38303213546614, ""3"": 10.674815985298697, ""5"": 10.657331290472266, ""8"": 10.712062678896373, ""12"": 10.656962519631977, ""16"": 10.672258143896924, ""20"": 10.752486352430715, ""25"": 10.640692591160317, ""30"": 10.65890250604405}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_bias_jit20_std0.05_bias0.05.csv,pm,False,0.11084441315422176,"{""pm"": 30.549536062009192, ""lcb"": 30.549536062009192, ""2"": 29.02855029690369, ""3"": 28.27272581456672, ""5"": 26.754462929226317, ""8"": 24.47615740861722, ""12"": 21.432516141595492, ""16"": 18.39738837671629, ""20"": 15.351387724655282, ""25"": 11.548409668433605, ""30"": 7.758383720258485}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_bias_jit20_std0.25_bias0.25.csv,pm,False,0.11084441315422176,"{""pm"": 30.549536062009192, ""lcb"": 30.549536062009192, ""2"": 29.033750832238013, ""3"": 28.26774473315868, ""5"": 26.749024092964852, ""8"": 24.472699861457972, ""12"": 21.424829017779025, ""16"": 18.39359250564238, ""20"": 15.350246621780519, ""25"": 11.551280995655489, ""30"": 7.756086968723777}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_bias_jit20_std1.0_bias1.csv,pm,False,0.11084441315422176,"{""pm"": 30.549536062009192, ""lcb"": 30.549536062009192, ""2"": 29.030062917476137, ""3"": 28.26988330179864, ""5"": 26.75441174593096, ""8"": 24.469091746795755, ""12"": 21.427444879193374, ""16"": 18.397910786192806, ""20"": 15.34865436738137, ""25"": 11.556548338045932, ""30"": 7.750128312958205}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_bias_jit20_std5.0_bias5.csv,pm,False,0.11084441315422176,"{""pm"": 30.549536062009192, ""lcb"": 30.549536062009192, ""2"": 29.028668220498478, ""3"": 28.27226904675485, ""5"": 26.74649498018078, ""8"": 24.462705619856393, ""12"": 21.428582234115197, ""16"": 18.384567574114904, ""20"": 15.352066801843243, ""25"": 11.555191873662567, ""30"": 7.7551838735733725}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_drift_jit0_std0.05.csv,pm,False,0.24035962596032742,"{""pm"": 22.875654436806318, ""lcb"": 22.875654436806318, ""2"": 21.7486103992801, ""3"": 21.201452646667903, ""5"": 20.07439124871918, ""8"": 18.395543582025557, ""12"": 16.156162275387068, ""16"": 13.923230061553253, ""20"": 11.68951438799806, ""25"": 8.901271770233492, ""30"": 6.094062906898872}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_drift_jit0_std0.25.csv,pm,False,0.10154756528492036,"{""pm"": 0.9345946269191843, ""lcb"": 0.9345946269191843, ""2"": 0.8761297814484507, ""3"": 0.8496151193405932, ""5"": 0.7852975488829914, ""8"": 0.6906713684007475, ""12"": 0.5745820679590596, ""16"": 0.449043729039013, ""20"": 0.32875554027970866, ""25"": 0.1768880241551821, ""30"": 0.022011310978458484}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_drift_jit0_std1.0.csv,pm,False,0.06459387927033514,"{""pm"": 11.141628978682993, ""lcb"": 11.141628978682993, ""2"": 10.642246053178265, ""3"": 10.384531540839127, ""5"": 9.874991871774565, ""8"": 9.107058408426397, ""12"": 8.091411430442813, ""16"": 7.069270823058465, ""20"": 6.052343183262238, ""25"": 4.779668221377802, ""30"": 3.502466124402881}"
bo_sensor_error_ackley_value_logei_seed10_jittered_exact_drift_jit0_std5.0.csv,pm,False,1.7136009056650472,"{""pm"": 14.378101442254147, ""lcb"": 14.378101442254147, ""2"": 14.141914107696373, ""3"": 13.882252202070434, ""5"": 13.45977394698457, ""8"": 12.546302118661789, ""12"": 11.435045721381488, ""16"": 10.228588277151847, ""20"": 9.169862619480892, ""25"": 7.697900092302041, ""30"": 6.302729340961936}"
