dataset,dim,opt_z,sigma_e,frag_exact,frag_k10_mean,frag_k20_mean,frag_k50_mean,frag_k10_sd,frag_k20_sd,frag_k50_sd,n_seeds,cost_measured,cost_cells,cost_acquisitions,cost_error_models
rastrigin,4,3.638939073438052,0.05,6.269370232712879e-05,0.014291485216372468,0.003251830518293445,0.0031240582442741997,0.007364613291441157,0.003397398777189772,0.005003428661407634,10,0.00241246665493632,40.0,10.0,4.0
michalewicz,5,8.047721166688978,0.05,0.0,0.007870206000947753,0.007943456831591759,0.0036176394597453782,0.005674970889899619,0.009519227484441962,0.0083092871488752,10,0.00418744352975673,40.0,10.0,4.0
yerkes_dodson,4,3.5354125437868587,0.05,0.011460019535180032,0.009807816373766536,0.004064684475343262,0.0025784129554100796,0.006960093462307441,0.004746740576409539,0.003382606636996528,10,-0.0022733015215816474,40.0,10.0,4.0
stevens,4,3.0593887562558817,0.05,0.0073150649579449755,0.008967753845147308,0.008366099596748345,0.007014804663271708,0.002808881795444923,0.0037711418988011286,0.0044540272648340455,10,0.002166498255607467,40.0,10.0,4.0
hicks_law,4,5.402837764670362,0.05,0.0,0.0003424755036117178,0.0,0.0,0.0010830026342262503,0.0,0.0,10,0.004085417989566888,40.0,10.0,4.0
weber_fechner,4,2.153305282720616,0.05,0.004479539535305579,0.009937954307465793,0.00665882784757686,0.007305482964632416,0.006173120269900222,0.00377213972234059,0.004116706952521313,10,0.022928087940220852,40.0,10.0,4.0
moving_peaks,4,2.9574997815819173,0.05,0.008028023140813504,0.011813773226970827,0.006604682905583465,0.005125948980341062,0.008198757994044579,0.008098334378845943,0.0056681637007138,10,0.002655389694369255,40.0,10.0,4.0
power_law_practice,4,1.7175746997911816,0.05,0.009093038879925153,0.021039790769771798,0.012352657197565887,0.010552636450047203,0.00685500153154103,0.003531723352939497,0.0036637416744100316,10,0.011850578637716621,40.0,10.0,4.0
steering_law,4,1.290375177799024,0.05,0.013836599576287991,0.020859499391742038,0.01763719112270969,0.017048184489048785,0.006709027744237233,0.0063230997970929025,0.0042919043821738325,10,0.010959204151095775,40.0,10.0,4.0
levy_10,11,2.6244803317786123,0.05,0.004496716141874559,0.006427585415392836,0.0032078877318340764,0.0015106534656131264,0.005852039698496376,0.004458930666045601,0.001944568839257445,10,0.00487400460585638,40.0,10.0,4.0
schwefel,4,4.328390371778852,0.25,0.10687609843290914,0.13730698782417888,0.15974448789278822,0.12916463147569024,0.06900349583014717,0.10944331255328407,0.08895905855755816,10,0.04085491804354901,40.0,10.0,4.0
powell,4,0.7642238834584598,0.25,0.07639541660612512,0.14154078865206454,0.1301730941351259,0.12253184026258249,0.02924814959362187,0.02760733281576305,0.010937374514503563,10,0.024473018532751776,40.0,10.0,4.0
eggholder,2,3.2050455310550587,0.25,0.0666834343234975,0.11529389955658158,0.10671652104190354,0.07137102332773061,0.04582091747370031,0.0698382924884745,0.03707316439000836,10,0.01765175737469616,40.0,10.0,4.0
ackley,4,20.102447153853433,0.25,0.035845416935037094,0.1234436686888101,0.03404596342250315,0.017448288106506296,0.05633112978167658,0.0255946641446081,0.02222532218331039,10,0.020749475187326866,40.0,10.0,4.0
shekel,4,56.774074038018384,0.25,0.0,0.10417497705555792,0.04198753028574081,0.030045903728463247,0.06730486852750787,0.11747873101756698,0.08998220945970493,10,0.031016532075563825,40.0,10.0,4.0
griewank,6,2.7538558156589708,0.25,0.1358854997392541,0.13029311025445178,0.12079694151252325,0.11595063722657657,0.02980184985306092,0.020038449166999154,0.013351329214017523,10,0.09042166058391203,40.0,10.0,4.0
hartmann_3,3,3.0549009421557276,0.25,0.06754518815447472,0.1260191622105587,0.08763853188447195,0.07476207543678348,0.047262858124896716,0.009953350563035156,0.016795942417651512,10,0.08428667370844306,40.0,10.0,4.0
hartmann_6,6,7.967163963291937,0.25,0.08171905806744945,0.09881382428249853,0.05621938673340197,0.05921038241761941,0.03736756560336827,0.025821471852049874,0.02914295320822265,10,0.13328242082808,40.0,10.0,4.0
branin,2,1.2500554659000687,0.25,0.08322053513336496,0.11673611543694688,0.10827169128051606,0.08372479003490521,0.022175666627260157,0.0281651774023485,0.001523284584703027,10,0.03566518089289657,40.0,10.0,4.0
rosenbrock,4,1.0256232505714238,0.25,0.06164620082994463,0.14448079192671234,0.11736325597877709,0.08623731826091177,0.025159221146650385,0.024822250928573823,0.013281710699200212,10,0.015082352736243898,40.0,10.0,4.0
rastrigin,4,3.638939073438052,0.25,0.16496761522669745,0.1312707134874859,0.12472388303803608,0.13976671187137943,0.041524488563614924,0.04498605600115437,0.09453967382569882,10,0.037634393005721696,40.0,10.0,4.0
michalewicz,5,8.047721166688978,0.25,0.03866181772773246,0.1345191894223994,0.12577403328252484,0.10314760276895947,0.07964559998921035,0.11312403259449387,0.09682315495003214,10,0.0212718203752374,40.0,10.0,4.0
yerkes_dodson,4,3.5354125437868587,0.25,0.06128919333134297,0.11905315741200144,0.0920374523834021,0.10822805099526964,0.0277901760941031,0.02334415211291876,0.022885249742014304,10,0.06515654719749323,40.0,10.0,4.0
stevens,4,3.0593887562558817,0.25,0.062158871888970825,0.06935857590096864,0.05662760762348686,0.059968292406180713,0.027280824819168877,0.008455005768696575,0.010500823689752026,10,0.06589065059780039,40.0,10.0,4.0
hicks_law,4,5.402837764670362,0.25,0.0,0.020898576476000106,0.005329050519646278,0.0003629002246138131,0.035935072526274654,0.008136769741318314,0.0006631439501006675,10,0.0716222253504182,40.0,10.0,4.0
weber_fechner,4,2.153305282720616,0.25,0.1376557113527145,0.12492749250335536,0.12067866003156627,0.14407104576390128,0.016651164770949814,0.018879292366457277,0.011209541098629797,10,0.08918911955443305,40.0,10.0,4.0
moving_peaks,4,2.9574997815819173,0.25,0.074214542726949,0.14124066474211375,0.12828297574101252,0.09824063527150508,0.04388325252153533,0.036526046828931506,0.0338846885022822,10,0.043607681817668345,40.0,10.0,4.0
power_law_practice,4,1.7175746997911816,0.25,0.15786019245216681,0.15179604254831097,0.1734248564236188,0.17439800917792583,0.018168014719551998,0.014931287367216387,0.014210933694978752,10,0.09398778250080561,40.0,10.0,4.0
steering_law,4,1.290375177799024,0.25,0.1356905161867082,0.13081996659414105,0.15262416325266112,0.1401956063056483,0.027136173299868047,0.019592551693535035,0.009372074257872558,10,0.05061830363829215,40.0,10.0,4.0
levy_10,11,2.6244803317786123,0.25,0.12100895148497436,0.14981096444951653,0.0939264951862417,0.1519915120172715,0.04986077593331752,0.0484044999423477,0.03544981024922837,10,0.034243484276061484,40.0,10.0,4.0
schwefel,4,4.328390371778852,1.0,0.6890733988458259,0.7962944600205255,0.8599775028466901,0.9267765520886269,0.21230956790707803,0.30019192978861375,0.28275247192144914,10,0.09599677824557158,40.0,10.0,4.0
powell,4,0.7642238834584598,1.0,0.1846919469087455,0.4393145662615742,0.40458264974737557,0.31165053543827254,0.08495853318632321,0.08288883869576213,0.034296464242290346,10,0.03767305742040272,40.0,10.0,4.0
eggholder,2,3.2050455310550587,1.0,0.6808881332836413,0.7617076068713827,0.8192811087849462,0.9581432642521293,0.28072430832024653,0.27768973201636726,0.21129647448958147,10,0.038548908228197655,40.0,10.0,4.0
ackley,4,20.102447153853433,1.0,0.18350936234122667,0.7680518124136118,0.6201666060015502,0.26956108157982783,0.2677463325308025,0.38243163923138496,0.18945096602672407,10,0.14750182229634237,40.0,10.0,4.0
shekel,4,56.774074038018384,1.0,0.0,0.7101333333855961,0.42264951169238624,0.5388951249637635,0.23789742040073292,0.34915362147002593,0.697020161080533,10,0.09189913488208322,40.0,10.0,4.0
griewank,6,2.7538558156589708,1.0,0.845765438608116,0.7227040220288947,0.8431483274763674,0.881956706162659,0.09861415221362956,0.10186252707881104,0.0377808500106953,10,0.2166025783367147,40.0,10.0,4.0
hartmann_3,3,3.0549009421557276,1.0,0.5047620186595321,0.5561652837150348,0.4725755754421489,0.46408730320039854,0.12104485471586371,0.040761993445153646,0.020044232589155046,10,0.1925934879927052,40.0,10.0,4.0
hartmann_6,6,7.967163963291937,1.0,0.5349316680080478,0.81996707949209,0.5704031491070609,0.43156128568740176,0.273772725613439,0.12470035087301891,0.15722708409799496,10,0.3033654642245925,40.0,10.0,4.0
branin,2,1.2500554659000687,1.0,0.3033223677000361,0.40489413756604076,0.35253698491041496,0.3065440755175875,0.06984193114407701,0.04510774716479091,0.003172204180669759,10,0.06795725096598124,40.0,10.0,4.0
rosenbrock,4,1.0256232505714238,1.0,0.1811152595005517,0.4801151127836839,0.3779195641502916,0.25625174392166394,0.08366885483445918,0.059308017819708694,0.022794929767462974,10,0.038303010108434024,40.0,10.0,4.0
rastrigin,4,3.638939073438052,1.0,0.6932604581414473,0.7344098019484309,0.9184882841461937,0.8969230991495261,0.18721399068758784,0.1934691243153205,0.22233918003994985,10,0.09281834595851854,40.0,10.0,4.0
michalewicz,5,8.047721166688978,1.0,0.7996184290631166,0.8290662490095555,0.7719137470386533,0.6933367745616251,0.22568836216975552,0.35731668066961697,0.3823684727752462,10,0.09294384140772734,40.0,10.0,4.0
yerkes_dodson,4,3.5354125437868587,1.0,0.7285255101214255,0.6671333925281405,0.7983380378930597,0.6892747732338321,0.13564674020047834,0.1748620803160736,0.06403757402939568,10,0.2041579569179781,40.0,10.0,4.0
stevens,4,3.0593887562558817,1.0,0.7546756393570542,0.766153172210767,0.7672179975891944,0.750126599258155,0.04281880776708331,0.018691023884452714,0.016348324760261084,10,0.2106332284066564,40.0,10.0,4.0
hicks_law,4,5.402837764670362,1.0,0.996436594440587,0.8188228948718448,0.8053064988146517,0.914813035160639,0.06332543038922064,0.05933717351642907,0.06396062890279405,10,0.24142839948173198,40.0,10.0,4.0
weber_fechner,4,2.153305282720616,1.0,0.6393457384613391,0.7033149736131314,0.6897460565765353,0.5840510102612526,0.12470995668290129,0.06375402289161593,0.046914058391624686,10,0.18308465947805794,40.0,10.0,4.0
moving_peaks,4,2.9574997815819173,1.0,0.637619520809256,0.7055179682979772,0.876371634457208,0.9585635196682889,0.12970086875938455,0.1889139897551678,0.201329301588342,10,0.12790009109185735,40.0,10.0,4.0
power_law_practice,4,1.7175746997911816,1.0,0.6306054136813901,0.49184273545956636,0.5986719403168795,0.5807816252418644,0.12215640970180155,0.023451952095698465,0.033449812207703114,10,0.21905661999923934,40.0,10.0,4.0
steering_law,4,1.290375177799024,1.0,0.4300656292613189,0.4448474445101149,0.4775682285330758,0.4489560038548551,0.08965175120803415,0.06676388300260835,0.015031134470617878,10,0.12254131537008887,40.0,10.0,4.0
levy_10,11,2.6244803317786123,1.0,0.8044795234519234,0.7845934599089304,0.9308318245761207,0.8935552263155607,0.14569249616689428,0.22468922266012967,0.1512163501660739,10,0.09213589285325997,40.0,10.0,4.0
schwefel,4,4.328390371778852,5.0,1.989714335790385,1.3411593348620217,1.336341589415818,1.3812043457594447,0.5651993006983165,0.7245625012710701,0.5064590687594436,10,0.13905520139447236,40.0,10.0,4.0
powell,4,0.7642238834584598,5.0,0.4115761325777831,0.8435527201722041,0.7940328036153013,0.5957600300020618,0.3176263940153899,0.29812937474088713,0.1501849187911377,10,0.05656863031820995,40.0,10.0,4.0
eggholder,2,3.2050455310550587,5.0,2.082071517456817,1.431996885401135,1.6304185709836214,1.8630226264409706,0.658938082116836,0.6655292509262978,0.6559917855726003,10,0.049182597757877214,40.0,10.0,4.0
ackley,4,20.102447153853433,5.0,4.849024540972906,1.3995329962538494,3.716663025796086,5.410947393956496,0.5422683964879889,1.4042200544102967,1.1550509730062049,10,0.2765537928267221,40.0,10.0,4.0
shekel,4,56.774074038018384,5.0,7.604030788949067,2.194294975954287,4.533563487532931,4.835900508428773,1.1452129545984941,1.9457279783309471,2.873207251220794,10,0.13999963862544546,40.0,10.0,4.0
griewank,6,2.7538558156589708,5.0,1.884443910747623,1.6812754692074523,1.7715668354927048,1.9629341484706366,0.3261887813206453,0.1413896043629377,0.05785527478062219,10,0.3461068820281874,40.0,10.0,4.0
hartmann_3,3,3.0549009421557276,5.0,2.1611133230587036,1.757504265547513,2.2282093785498533,2.235232367112945,0.6412398695958861,0.06910791910853002,0.05598422758966829,10,0.3532239377532222,40.0,10.0,4.0
hartmann_6,6,7.967163963291937,5.0,3.739043914189764,1.8469333254330145,3.4462875344143007,3.664937407971389,0.8000509340202095,0.6033321438387738,0.6381565004638059,10,0.43838851074447166,40.0,10.0,4.0
branin,2,1.2500554659000687,5.0,0.8224486462283512,0.9183578405079647,0.8554692981209036,0.845056729362471,0.19722398260050747,0.0592949621878881,0.017652515677942366,10,0.10635795883244356,40.0,10.0,4.0
rosenbrock,4,1.0256232505714238,5.0,0.5711296453725638,1.0629132351798607,0.917746307297658,0.7183810186450963,0.25604338416080186,0.22290529033140008,0.06361880885800794,10,0.05947200669870147,40.0,10.0,4.0
rastrigin,4,3.638939073438052,5.0,1.950714872624159,1.196850649612871,1.3257252214031674,1.347800497679375,0.32324758437580625,0.22348806756858308,0.40398473062720563,10,0.166254767971818,40.0,10.0,4.0
michalewicz,5,8.047721166688978,5.0,3.144578502780049,1.3072896767757738,1.4417410426734718,1.9709539965168752,0.4607215358358413,1.0224715107204623,1.2657815609624739,10,0.1626475131309943,40.0,10.0,4.0
yerkes_dodson,4,3.5354125437868587,5.0,2.2766463273064743,1.5360097477871792,2.2483727848048978,2.4047108464466906,0.4655631654183101,0.23894919102919276,0.16398302365067297,10,0.3482714245856475,40.0,10.0,4.0
stevens,4,3.0593887562558817,5.0,1.9752686382851692,2.036528351737604,2.091255566322816,2.073118386773133,0.0920748715672689,0.04124387873836291,0.043742512158244394,10,0.30539706720267196,40.0,10.0,4.0
hicks_law,4,5.402837764670362,5.0,3.4282010561165888,3.435436567845266,3.718517432430052,3.5707020087083956,0.6019252884938724,0.19189006270732617,0.15076412309254503,10,0.4010131871808733,40.0,10.0,4.0
weber_fechner,4,2.153305282720616,5.0,1.4377060169142155,1.3784320705476627,1.7154982772245049,1.6113091079918085,0.21566093964827351,0.18210476461508548,0.07688905684777003,10,0.2322076277451086,40.0,10.0,4.0
moving_peaks,4,2.9574997815819173,5.0,1.520688512848556,1.2165884467522818,1.2865281211380906,1.394428553187908,0.3451508253472103,0.29808686693131947,0.38783600374029387,10,0.1994768125369335,40.0,10.0,4.0
power_law_practice,4,1.7175746997911816,5.0,1.0523631811378806,0.974027911274329,1.0956864007821479,0.9994429847060389,0.1781407416818266,0.0975938536489883,0.09648569684980222,10,0.26721708925039883,40.0,10.0,4.0
steering_law,4,1.290375177799024,5.0,0.9057164949571577,0.9657878763723241,1.0036795150149111,0.9782188587709314,0.12843584228452418,0.13401619101630693,0.05334817961129567,10,0.16475325731037366,40.0,10.0,4.0
levy_10,11,2.6244803317786123,5.0,1.612154307116297,1.2150499930143046,1.6583563114497821,1.3490589967391255,0.32875526719324977,0.5246104997385139,0.3831728894066429,10,0.1812505505307535,40.0,10.0,4.0
