dataset,dim,opt_z,sigma_e,frag_exact,frag_k10_mean,frag_k20_mean,frag_k50_mean,frag_k10_sd,frag_k20_sd,frag_k50_sd,n_seeds,cost_measured,cost_cells,cost_acquisitions,cost_error_models
schwefel,4,4.328390371778852,0.05,0.011334035540908928,0.008271516300423687,0.0020412266495279515,0.004792554042220025,0.008123422246146851,0.0030478267360695742,0.005520435671731862,10,0.014437840023452678,40.0,10.0,4.0
powell,4,0.7642238834584598,0.05,0.02133903767300327,0.019426083099780084,0.020224474380173548,0.02539887286462549,0.0062732220648224835,0.006840873729386127,0.004586452441660104,10,0.008585730231162037,40.0,10.0,4.0
eggholder,2,3.2050455310550587,0.05,0.01611961951213562,0.010463518190511868,0.006617082265134844,0.0024410964642824925,0.00875932593688533,0.006184324859799007,0.004600632997799841,10,0.006610660720655285,40.0,10.0,4.0
ackley,4,20.102447153853433,0.05,0.008921424584086252,0.009087310181733775,0.0030757164963213226,0.0,0.005992976519069341,0.005621189750145347,0.0,10,0.0031473552746374726,40.0,10.0,4.0
shekel,4,56.774074038018384,0.05,0.0,0.004778019616042494,0.0,0.001812845019762193,0.006568739213487437,0.0,0.003954880475437958,10,0.0030448669776649297,40.0,10.0,4.0
griewank,6,2.7538558156589708,0.05,0.0,0.006026779849980943,0.003215668744261613,0.0,0.005428686236023646,0.004535210336885755,0.0,10,0.016350753566176733,40.0,10.0,4.0
hartmann_3,3,3.0549009421557276,0.05,0.011765272374570526,0.010520729441499179,0.013831185526986626,0.0111762410224256,0.00570705885269427,0.004696544371235964,0.005136310807534753,10,0.016023355348697144,40.0,10.0,4.0
hartmann_6,6,7.967163963291937,0.05,0.0,0.006707435661000301,0.0028048844669330717,0.004227146588584547,0.011005575817203782,0.004826218820959281,0.004419568592898135,10,0.04212069491506358,40.0,10.0,4.0
branin,2,1.2500554659000687,0.05,0.020935815791868272,0.023726322048650873,0.02368723367428775,0.02124641522953783,0.00431141441054667,0.0050821850590699975,0.0009988647365162897,10,0.010354325381898205,40.0,10.0,4.0
rosenbrock,4,1.0256232505714238,0.05,0.017911593412356385,0.01979689537017194,0.024274114807272602,0.022135524608194505,0.0057535395130651045,0.009234709228222704,0.004381043048487101,10,0.0051537707318684055,40.0,10.0,4.0
