k,sigma_e,target,n,spearman,spearman_p,pearson,pearson_p,bias,mae
10,0.05,frag_exact,20,0.7697190579115638,7.235641259624079e-05,0.735633892573048,0.00021861103331001277,0.003153222772619802,0.004506054895601504
10,0.05,cost_measured,20,0.09624060150375939,0.6864870716570238,-0.04434166366544368,0.8527396316965844,,
10,0.25,frag_exact,20,0.4610756249345423,0.04074226764690632,0.555580443270003,0.010982209384923293,0.037123720441217055,0.043418941398196666
10,0.25,cost_measured,20,-0.20300751879699244,0.39066623935419637,-0.2630965894010135,0.26240240517625246,,
10,1,frag_exact,20,0.5669172932330826,0.009146270047598541,0.5393038832932027,0.014129701025298029,0.10911787281261558,0.16118947036322215
10,1,cost_measured,20,0.32481203007518794,0.16232315576999945,0.31236244755353904,0.17997883414114826,,
10,5,frag_exact,20,0.806015037593985,1.783458905419523e-05,0.5651521015538652,0.009414432483471423,-0.7839556162595807,0.8987792140873416
10,5,cost_measured,20,0.6075187969924812,0.004495101001748822,0.5989413028906931,0.0052632041429334165,,
10,pooled,frag_exact,80,0.9387650942718383,7.720779059421032e-38,0.8177593606753367,2.1198667502580146e-20,-0.15864020005828205,0.27697342018609045
10,pooled,cost_measured,80,0.8469760900140648,4.189073777588418e-23,0.8111855898331091,7.388018847019079e-20,,
20,0.05,frag_exact,20,0.7002834020419408,0.0005857412304437581,0.7888484269897619,3.576092263501426e-05,0.00013802054397789708,0.003724332666386266
20,0.05,cost_measured,20,0.1549454791786553,0.5142225295745038,-0.011296216646700538,0.9623007436078345,,
20,0.25,frag_exact,20,0.6393381422420243,0.0024045697163529458,0.7252461513774634,0.00029651668479552956,0.01835311605248176,0.0315753347672156
20,0.25,cost_measured,20,0.010526315789473682,0.9648685868194994,-0.09298403147607402,0.6966043699456599,,
20,1,frag_exact,20,0.7849624060150376,4.1498048299013316e-05,0.8212329006021187,9.07232627684414e-06,0.10775015897281112,0.13630733950921525
20,1,cost_measured,20,0.19849624060150375,0.40150360700389714,0.17732271293468724,0.4545160076869643,,
20,5,frag_exact,20,0.8766917293233082,3.967924075295941e-07,0.9068427984690633,3.5640403495712804e-08,-0.33014875804837446,0.5002261429526964
20,5,cost_measured,20,0.6616541353383457,0.0014862222546038798,0.5313480210189607,0.015912677500779557,,
20,pooled,frag_exact,80,0.9558794482998517,2.9986387293717865e-43,0.9521190105778373,6.78201071765165e-42,-0.05097686561977592,0.1679582874738784
20,pooled,cost_measured,80,0.8494892726896498,2.309002319651574e-23,0.7571341947246591,4.446875678672561e-16,,
50,0.05,frag_exact,20,0.6601032070808929,0.0015386662220587776,0.7765484669164623,5.6700226065981855e-05,-0.0007994988423285767,0.003680547577066453
50,0.05,cost_measured,20,0.30421721246890987,0.1922105153872627,0.06731717482504582,0.7779536985225433,,
50,0.25,frag_exact,20,0.7957879464612491,2.7205688923740183e-05,0.8648515053782801,8.657116748282312e-07,0.012074649824005556,0.020897864806920203
50,0.25,cost_measured,20,0.16842105263157892,0.4778286757964304,0.07670648063011488,0.7478864712316885,,
50,1,frag_exact,20,0.7473684210526315,0.000152313709661083,0.7944236493341076,2.873131479588552e-05,0.07665586444366744,0.1247427249623998
50,1,cost_measured,20,0.14736842105263157,0.5352473458918692,0.0921527407691094,0.6991949711853607,,
50,5,frag_exact,20,0.9338345864661652,1.8126865423587169e-09,0.9141166209022933,1.7619321717384983e-08,-0.21027569258799722,0.3785853089583102
50,5,cost_measured,20,0.6285714285714286,0.002993820807181272,0.47617726658634124,0.033803048910587344,,
50,pooled,frag_exact,80,0.9571744568172073,9.615653512356792e-44,0.9593926897156815,1.2599083715327387e-44,-0.030586169290663205,0.13197661157617419
50,pooled,cost_measured,80,0.853301765395378,9.159329429977504e-24,0.7160164703884725,8.304784371423364e-14,,
exact,0.05,frag_exact,20,1.0,0.0,1.0,0.0,0.0,0.0
exact,0.05,cost_measured,20,0.07727494479033416,0.7460768204549872,-0.155749616542421,0.5120145085358929,,
exact,0.25,frag_exact,20,0.9999999999999999,2.4335320021950716e-142,1.0,0.0,0.0,0.0
exact,0.25,cost_measured,20,0.42045884883916657,0.06490516017688291,0.2887577851069432,0.2169328026660537,,
exact,1,frag_exact,20,1.0,0.0,1.0,0.0,0.0,0.0
exact,1,cost_measured,20,0.41503759398496237,0.06880769728594094,0.4308473858413638,0.05789565989168254,,
exact,5,frag_exact,20,1.0,0.0,1.0,0.0,0.0,0.0
exact,5,cost_measured,20,0.4526315789473684,0.045075688783048344,0.26045748417510894,0.2673954523157392,,
exact,pooled,frag_exact,80,1.0,0.0,1.0,0.0,0.0,0.0
exact,pooled,cost_measured,80,0.8393842336998157,2.378245500350232e-22,0.6253484742513447,5.606324626811035e-10,,
