mode,arm,reference,rule,error_model,variant,reference_variant,pooled_acquisitions,cell,jitter_std,jitter_iteration,n_landscapes,n_cells,cost,gain,price,recovered,recovered_lo,recovered_hi,wilcoxon_p,wilcoxon_p_fdr
within,output-boba,output-boba,best_mean,ar1,,,False,condition,0.05,0.0,20,2000,0.01193724805603584,-0.00041671162922701327,8.673617379884036e-20,-0.03490851721191393,-0.1012047095751002,-0.00026758226276821847,0.043114446783075355,0.17245778713230142
within,output-boba,output-boba,best_mean,ar1,,,False,condition,0.05,20.0,20,2000,0.005299397285721911,-0.00021122522918082552,8.673617379884036e-20,-0.03985834950512704,-0.2186618045087408,0.0024132442448243376,0.22491588401596185,0.2998878453546158
within,output-boba,output-boba,best_mean,ar1,,,False,condition,0.25,0.0,20,2000,0.07676593035145687,-0.0018752063087114333,8.673617379884036e-20,-0.024427585259843666,-0.05615689676910659,-0.001722540802954478,0.07473549830588248,0.19929466214901995
within,output-boba,output-boba,best_mean,ar1,,,False,condition,0.25,20.0,20,2000,0.034696185533540064,-0.001679616044327492,8.673617379884036e-20,-0.048409242067945564,-0.1362391807791626,0.0004887401798509025,0.13801073756865956,0.2582871397873333
within,output-boba,output-boba,best_mean,ar1,,,False,condition,1.0,0.0,20,2000,0.2724656342300002,-0.002421722807673829,8.673617379884036e-20,-0.00888817708889315,-0.021879860288633857,0.000434222808477894,0.16142946236708333,0.2582871397873333
within,output-boba,output-boba,best_mean,ar1,,,False,condition,1.0,20.0,20,2000,0.12942364349322738,-0.004548628180892551,8.673617379884036e-20,-0.0351452644827649,-0.0789097956144943,-0.006600998238453042,0.043114446783075355,0.17245778713230142
within,output-boba,output-boba,best_mean,ar1,,,False,condition,5.0,0.0,20,2000,0.6995601947557712,-0.005646794625812873,8.673617379884036e-20,-0.008071920998570063,-0.022235309861265696,0.004669546119146314,0.44598168917699166,0.509693359059419
within,output-boba,output-boba,best_mean,ar1,,,False,condition,5.0,20.0,20,2000,0.3904490057527309,-0.00642820712761352,8.673617379884036e-20,-0.016463627856397888,-0.05352778317905082,0.008257424148836734,0.5829195472688132,0.5829195472688132
within,output-boba,output-boba,best_mean,ar1,,,False,pooled_std_ge_0.25,,0.0,20,6000,0.3495972531124094,-0.0033145745807327126,1.7347234759768072e-19,-0.009481123067254035,-0.022094833429530412,0.0015901368576571396,0.3719737719646685,
within,output-boba,output-boba,best_mean,ar1,,,False,pooled_std_ge_0.25,,20.0,20,6000,0.1848562782598328,-0.004218817117611185,1.7347234759768072e-19,-0.022822146790606932,-0.061040306975150296,0.0021965619503034246,0.5302845968336095,
within,output-boba,output-boba,best_mean,ar1,,,False,pooled_std_ge_0.25,,,20,12000,0.26722676568612114,-0.0037666958491719372,1.7347234759768072e-19,-0.014095503642760913,-0.0334523421264995,0.0006122129029093254,0.34910194464272437,
within,output-boba,output-boba,best_mean,ar1,,,False,pooled_std_lt_0.25,,0.0,20,2000,0.01193724805603584,-0.00041671162922701327,8.673617379884036e-20,-0.03490851721191393,-0.1012047095751002,-0.00026758226276821847,0.043114446783075355,
within,output-boba,output-boba,best_mean,ar1,,,False,pooled_std_lt_0.25,,20.0,20,2000,0.005299397285721911,-0.00021122522918082552,8.673617379884036e-20,-0.03985834950512704,-0.2186618045087408,0.0024132442448243376,0.22491588401596185,
within,output-boba,output-boba,best_mean,ar1,,,False,pooled_std_lt_0.25,,,20,4000,0.008618322670878874,-0.0003139684292039187,8.673617379884036e-20,-0.03643034047272461,-0.1000283084176351,0.0006001188660293916,0.17295491798842066,
within,output-boba,output-boba,best_mean,bias,bias0.05,bias0.05,False,condition,0.05,0.0,20,2000,0.015172912755063921,-0.0006014047174448877,8.673617379884036e-20,-0.03963673469645243,-0.09074324799768217,-0.004371725701573335,0.043114446783075355,0.08622889356615071
within,output-boba,output-boba,best_mean,bias,bias0.05,bias0.05,False,condition,0.05,20.0,20,2000,0.008803707262226524,-0.00028871346886485835,8.673617379884036e-20,-0.03279453306036445,-0.0914995425155496,0.0007708015317041776,0.13801073756865956,0.13801073756865956
within,output-boba,output-boba,best_mean,bias,bias0.05,bias0.05,False,pooled_std_lt_0.25,,0.0,20,2000,0.015172912755063921,-0.0006014047174448877,8.673617379884036e-20,-0.03963673469645243,-0.09074324799768217,-0.004371725701573335,0.043114446783075355,
within,output-boba,output-boba,best_mean,bias,bias0.05,bias0.05,False,pooled_std_lt_0.25,,20.0,20,2000,0.008803707262226524,-0.00028871346886485835,8.673617379884036e-20,-0.03279453306036445,-0.0914995425155496,0.0007708015317041776,0.13801073756865956,
within,output-boba,output-boba,best_mean,bias,bias0.05,bias0.05,False,pooled_std_lt_0.25,,,20,4000,0.011988310008645222,-0.0004450590931548731,8.673617379884036e-20,-0.03712442311167498,-0.08697984367288256,-0.002037419791476726,0.043114446783075355,
within,output-boba,output-boba,best_mean,bias,bias0.25,bias0.25,False,condition,0.25,0.0,20,2000,0.09380657146746131,-0.002970210686956997,8.673617379884036e-20,-0.03166314087054417,-0.07154748920703809,-0.003823098090966376,0.046399461870904594,0.06788915486182899
within,output-boba,output-boba,best_mean,bias,bias0.25,bias0.25,False,condition,0.25,20.0,20,2000,0.045397401237880115,-0.001865000642477823,8.673617379884036e-20,-0.0410816608797784,-0.10994297617107343,-0.00249264018010837,0.06788915486182899,0.06788915486182899
within,output-boba,output-boba,best_mean,bias,bias0.25,bias0.25,False,pooled_std_ge_0.25,,0.0,20,2000,0.09380657146746131,-0.002970210686956997,8.673617379884036e-20,-0.03166314087054417,-0.07154748920703809,-0.003823098090966376,0.046399461870904594,
within,output-boba,output-boba,best_mean,bias,bias0.25,bias0.25,False,pooled_std_ge_0.25,,20.0,20,2000,0.045397401237880115,-0.001865000642477823,8.673617379884036e-20,-0.0410816608797784,-0.10994297617107343,-0.00249264018010837,0.06788915486182899,
within,output-boba,output-boba,best_mean,bias,bias0.25,bias0.25,False,pooled_std_ge_0.25,,,20,4000,0.06960198635267069,-0.00241760566471741,8.673617379884036e-20,-0.03473472226018798,-0.08125142278994069,-0.003525420754452157,0.046399461870904594,
within,output-boba,output-boba,best_mean,bias,bias1,bias1,False,condition,1.0,0.0,20,2000,0.30884917964633624,-0.006619230142673892,8.673617379884036e-20,-0.021431917514735135,-0.04091890836162944,-0.006098339837107828,0.017960477526078766,0.03592095505215753
within,output-boba,output-boba,best_mean,bias,bias1,bias1,False,condition,1.0,20.0,20,2000,0.15048808102829453,-0.00466154000227728,8.673617379884036e-20,-0.030976140903815664,-0.08513090004631957,0.0004886774269613768,0.3139380937749148,0.3139380937749148
