arm,reference,response,jitter_std,jitter_iteration,n_landscapes,n_cells,cost,gain,price,recovered,bootstrap_draws_kept,recovered_lo,recovered_hi,wilcoxon_p,wilcoxon_p_fdr,pooled_recovered,pooled_recovered_lo,pooled_recovered_hi,pooled_price,pooled_cost,pooled_gain,pooled_wilcoxon_p,pooled_wilcoxon_p_fdr
bundle,output-boba,deployed,0.05,0,20,100,0.0130382917683517,-0.0179965151196378,0.0107910048437911,-1.380281668747539,0.815,,,0.0766179234116712,0.0875633410419099,-0.4419402225801713,-0.572012047981404,-0.3173976512987224,0.0107910048437911,0.2057319335362324,-0.0909212164988515,3.814697265625e-06,3.6875406901041664e-05
bundle,output-boba,deployed,0.05,20,20,100,-0.0003452980572262,-0.0206752510207459,0.0107910048437911,,0.519,,,0.6873736155096972,0.6873736155096972,-0.4419402225801713,-0.572012047981404,-0.3173976512987224,0.0107910048437911,0.2057319335362324,-0.0909212164988515,3.814697265625e-06,3.6875406901041664e-05
bundle,output-boba,deployed,0.25,0,20,100,0.0493046440515701,-0.0353923902873028,0.0107910048437911,-0.7178307635744047,1.0,-1.803501836400084,-0.1721410765775874,0.0048599243164062,0.0097198486328125,-0.4419402225801713,-0.572012047981404,-0.3173976512987224,0.0107910048437911,0.2057319335362324,-0.0909212164988515,3.814697265625e-06,3.6875406901041664e-05
bundle,output-boba,deployed,0.25,20,20,100,0.0371633578904948,-0.0356806681870314,0.0107910048437911,-0.9601034516893688,1.0,-2.911681492591127,-0.2994817078617236,0.0063896179199218,0.010223388671875,-0.4419402225801713,-0.572012047981404,-0.3173976512987224,0.0107910048437911,0.2057319335362324,-0.0909212164988515,3.814697265625e-06,3.6875406901041664e-05
bundle,output-boba,deployed,1.0,0,20,100,0.2562432071513519,-0.0634056813249419,0.0107910048437911,-0.2474433645668932,1.0,-0.5030053167327988,-0.0400633337384691,0.036233901977539,0.0483118693033854,-0.4419402225801713,-0.572012047981404,-0.3173976512987224,0.0107910048437911,0.2057319335362324,-0.0909212164988515,3.814697265625e-06,3.6875406901041664e-05
bundle,output-boba,deployed,1.0,20,20,100,0.1196834170530831,-0.1488926869546467,0.0107910048437911,-1.244054444807575,1.0,-1.8417676114445685,-0.8412729121758686,5.7220458984375e-06,4.57763671875e-05,-0.4419402225801713,-0.572012047981404,-0.3173976512987224,0.0107910048437911,0.2057319335362324,-0.0909212164988515,3.814697265625e-06,3.6875406901041664e-05
bundle,output-boba,deployed,5.0,0,20,100,0.6437950912812554,-0.2072254265380383,0.0107910048437911,-0.3218810291417825,1.0,-0.4951574930462488,-0.1785586670357232,6.29425048828125e-05,0.0002517700195312,-0.4419402225801713,-0.572012047981404,-0.3173976512987224,0.0107910048437911,0.2057319335362324,-0.0909212164988515,3.814697265625e-06,3.6875406901041664e-05
bundle,output-boba,deployed,5.0,20,20,100,0.5269727571509787,-0.1981011125584672,0.0107910048437911,-0.3759228724260425,1.0,-0.8103258907191643,0.0217426733516235,0.0008506774902343,0.0022684733072916,-0.4419402225801713,-0.572012047981404,-0.3173976512987224,0.0107910048437911,0.2057319335362324,-0.0909212164988515,3.814697265625e-06,3.6875406901041664e-05
bundle,output-boba,trajectory,0.05,0,20,100,0.0129938094121146,-0.0463700680892899,0.0497510184600551,-3.568627691741988,0.9285,,,1.9073486328125e-06,1.52587890625e-05,-0.9278490566817136,-1.2715600012139625,-0.5803064582986637,0.0465290299432191,0.0561500644036445,-0.052098784289539,0.0005855560302734,0.0024258749825612283
bundle,output-boba,trajectory,0.05,20,20,100,-0.0046688692438521,-0.046776298975812,0.0433070414263831,,0.024,,,0.0084187735958098,0.0112250314610797,-0.9278490566817136,-1.2715600012139625,-0.5803064582986637,0.0465290299432191,0.0561500644036445,-0.052098784289539,0.0005855560302734,0.0024258749825612283
