policy,mean_regret,gain_vs_standard,gain_lo,gain_hi,n_landscapes
standard,0.34173838015675345,0.0,0.0,0.0,20
derived,0.3372425712113142,0.004495808945439271,-0.012598488664417698,0.021288992717694227,20
oracle,0.19649827263111552,0.14524010752563793,0.11769641564110045,0.17075735638997325,20
always_pm,0.35482678921868127,-0.013088409061927856,-0.03128500622409423,0.004097793667946989,20
always_lcb,0.34094618835089435,0.0007921918058590674,-0.01750194884332266,0.017756523468975525,20
fixed_k2.0,0.32527422313768745,0.016464157019065912,0.004298056396980913,0.028494053286221788,20
fixed_k3.0,0.3174101006336427,0.02432827952311071,0.013433122816707676,0.03571280144965512,20
fixed_k5.0,0.30701084590401156,0.03472753425274187,0.021292638956215883,0.04795035227541446,20
fixed_k8.0,0.2999402094561956,0.04179817070055784,0.0265395361926982,0.056305616478898056,20
fixed_k12.0,0.2962081493604827,0.045530230796270776,0.027876713031169696,0.06174046237275067,20
fixed_k16.0,0.29078756229365343,0.05095081786310003,0.02836614442781994,0.07171547657731206,20
fixed_k20.0,0.29936059755239264,0.042377782604360814,0.015441612156954408,0.06685932714362701,20
fixed_k25.0,0.32001338474374214,0.02172499541301127,-0.011177548864553332,0.05068388635706461,20
fixed_k30.0,0.3498789525139227,-0.008140572357169244,-0.04864497014839911,0.026964239286873273,20
