dataset,objective,acquisition,mean_rank_normalized,mean_rank_absolute,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_wins,conditions
levy_10,value,logei,0.35,1.5875,0.10816728322357216,42.66033931290224,-0.4319333141606832,6,8
levy_10,value,qnei,0.65,1.4125,0.1527869811927,40.30038935506265,0.41174469956611637,2,8
