dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,acquisition,metric,n_pairs,mean_diff,median_diff,std_diff,cohens_dz,ci95_low,ci95_high,t_stat,p_value_t,wilcoxon_stat,p_value_wilcoxon,p_value_t_fdr_bh
ehmi,composite,extra_trees,bias,10,0.05,ei,auc_simple_regret_excess_true,20,0.11530117884243843,0.008690328884096266,1.1554609291323905,0.09978803777382199,-0.4254711820468544,0.6560735397317312,0.4462656716071655,0.6604496736414771,81.0,0.5731689736636651,0.7498077231422076
ehmi,composite,extra_trees,bias,10,0.05,greedy,auc_simple_regret_excess_true,20,2.6628772618501997,1.7704548611113775,4.4705528298416475,0.5956483153660712,0.5705941328230146,4.755160390877385,2.6638202476835353,0.01533883273858046,37.0,0.009435653686523438,0.05121551006733133
ehmi,composite,extra_trees,bias,10,0.05,logei,auc_simple_regret_excess_true,20,-0.20161753630630885,-0.03383830001017496,1.2370897291946188,-0.16297729384397017,-0.7805933516034949,0.37735827899087715,-0.7288566156481505,0.4749783912921366,79.0,0.34881019592285156,0.5978748981299622
ehmi,composite,extra_trees,bias,10,0.05,logpi,auc_simple_regret_excess_true,20,3.2754417384607684,1.985196271494722,3.772940567812789,0.868140295239152,1.50965119815827,5.041232278763267,3.8824414283229616,0.0010022049905842455,20.0,0.0007076263427734375,0.009371267444424115
ehmi,composite,extra_trees,bias,10,0.05,pi,auc_simple_regret_excess_true,20,1.6320671691472328,1.2374602761245193,3.482844217181643,0.46860182867091316,0.00204590018995221,3.2620884381045134,2.0956510865777433,0.049740806461603324,47.0,0.029575347900390625,0.11757187061841246
ehmi,composite,extra_trees,bias,10,0.05,qei,auc_simple_regret_excess_true,20,-0.5134817239130799,0.03701374007940594,1.78943104729818,-0.2869525063222603,-1.3509612333436944,0.3239977855175348,-1.2832906209010246,0.21482264637640694,95.0,0.7285060882568359,0.33334548575649353
ehmi,composite,extra_trees,bias,10,0.05,qnei,auc_simple_regret_excess_true,20,0.3676684505195228,0.037890889550276086,3.0602528903073365,0.12014315930687625,-1.0645739894324775,1.7999108904715229,0.5372965424835237,0.5972998271135364,104.0,0.9854354858398438,0.7018290869802786
ehmi,composite,extra_trees,bias,10,0.05,qpi,auc_simple_regret_excess_true,20,3.3538049589284062,2.168257543960017,4.202711056749979,0.7980098830591402,1.3868756383491747,5.320734279507638,3.5688086904737912,0.0020487506915095647,14.0,0.000209808349609375,0.012939478051639357
ehmi,composite,extra_trees,bias,10,0.05,qucb,auc_simple_regret_excess_true,20,0.48957019481705083,0.04123208724180483,1.511033127560712,0.3239969964175258,-0.21761507745909509,1.1967554670931968,1.4489586169906874,0.16365343184927392,71.0,0.21616744995117188,0.27097258031084837
ehmi,composite,extra_trees,bias,10,0.05,random,auc_simple_regret_excess_true,20,0.0,0.0,0.0,,,,,,,,
ehmi,composite,extra_trees,bias,10,0.05,sobol,auc_simple_regret_excess_true,20,0.0,0.0,0.0,,,,,,,,
ehmi,composite,extra_trees,bias,10,0.05,ucb,auc_simple_regret_excess_true,20,0.5917421353242274,0.02161454644863614,1.182414630161054,0.50045231193023,0.03835505404718498,1.1451292166012697,2.2380907779458465,0.03738680966395692,68.0,0.17685317993164062,0.09812229232247091
ehmi,composite,extra_trees,bias,10,0.5,ei,auc_simple_regret_excess_true,20,2.051694774810501,0.23086266534405264,4.090040733811884,0.5016318683208659,0.1374967885422811,3.965892761078721,2.243365914491359,0.03698859856854151,31.0,0.0042209625244140625,0.0981171487700485
ehmi,composite,extra_trees,bias,10,0.5,greedy,auc_simple_regret_excess_true,20,4.799317192824153,2.9698652777784984,5.704938958128039,0.841256537195089,2.1293235726740423,7.469310812974264,3.7622136073685986,0.001318718161949366,7.0,3.62396240234375e-05,0.010534161364818339
ehmi,composite,extra_trees,bias,10,0.5,logei,auc_simple_regret_excess_true,20,1.7781388099808275,0.5735553488758838,4.11439347378034,0.4321751969791694,-0.14745660942842753,3.703734229390083,1.9327462372695692,0.06831307288702337,34.0,0.014097354120504295,0.1459507788684179
ehmi,composite,extra_trees,bias,10,0.5,logpi,auc_simple_regret_excess_true,20,6.228042974996369,6.223347172619556,5.446486534992887,1.1434973601756098,3.6790088122476443,8.777077137745094,5.113875658888449,6.168676911742472e-05,7.0,3.62396240234375e-05,0.0024674707646969883
ehmi,composite,extra_trees,bias,10,0.5,pi,auc_simple_regret_excess_true,20,6.419680305884643,4.63813839285814,5.462142506662119,1.17530443375555,3.8633189228482143,8.976041688921072,5.256121216268617,4.5011741628834916e-05,1.0,3.814697265625e-06,0.0024674707646969883
ehmi,composite,extra_trees,bias,10,0.5,qei,auc_simple_regret_excess_true,20,1.375266194962555,0.3984973958337401,3.970617646625826,0.34636077239298946,-0.4830400660434484,3.2335724559685586,1.5489724636201136,0.13788458348917537,37.0,0.009435653686523438,0.23864639450049585
ehmi,composite,extra_trees,bias,10,0.5,qnei,auc_simple_regret_excess_true,20,1.3797395290334045,0.2757869378305,2.8839341016530495,0.4784226963586124,0.03001682229411773,2.729462235772691,2.1395713420731965,0.045584071746533915,45.0,0.023950576782226562,0.11396017936633478
ehmi,composite,extra_trees,bias,10,0.5,qpi,auc_simple_regret_excess_true,20,5.523228247563,3.4872455372178743,5.5448650429151485,0.9960978679941372,2.928151525824561,8.11830496930144,4.454685090155006,0.0002717531636384935,8.0,4.76837158203125e-05,0.004695950700993182
ehmi,composite,extra_trees,bias,10,0.5,qucb,auc_simple_regret_excess_true,20,0.8308987678556697,0.3525816208965098,1.4401916952318263,0.5769362305077872,0.15686830648086347,1.5049292292304761,2.5801372601958,0.018345673687250194,30.0,0.00365447998046875,0.05818892094634423
ehmi,composite,extra_trees,bias,10,0.5,random,auc_simple_regret_excess_true,20,0.0,0.0,0.0,,,,,,,,
ehmi,composite,extra_trees,bias,10,0.5,sobol,auc_simple_regret_excess_true,20,0.0,0.0,0.0,,,,,,,,
ehmi,composite,extra_trees,bias,10,0.5,ucb,auc_simple_regret_excess_true,20,0.9062590629394917,0.688623980880456,1.0053929967236688,0.9013978274095498,0.4357206563591299,1.3767974695198535,4.031173633716754,0.0007135315632252561,18.0,0.0004825592041015625,0.008058943649148715
