iteration,x0,x1,objective_true,objective_observed,objective_true_f0,objective_observed_f0,objective_true_f1,objective_observed_f1,error_applied,error_magnitude_l2,error_magnitude_f0,error_magnitude_f1,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.0,0.0,0.7550891376976424,1.020014259820049,-0.3491677773268531,-0.3186921267247287,True,0.2666722437960029,0.2649251221224066,0.030475650602124427,qlognehvi,0.0,False,9,cd26405d-f87d-4bd6-9c9d-0569786514d6,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,0.43708540178519006,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
2,0.6031481500515619,0.7775340829201788,0.0,0.0,-0.9664594915800657,0.1894941302253781,0.8755539999965812,1.582757165934487,True,1.3551254900110616,1.1559536218054438,0.7072031659379058,qlognehvi,0.0,False,9,cd26405d-f87d-4bd6-9c9d-0569786514d6,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,0.8741708035703801,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
3,0.7160746296035653,0.9153801204905075,0.0,0.0,-2.398545619008079,-1.896086918880135,1.1699916939770167,0.871314820194474,True,0.5845276899059411,0.5024587001279439,-0.2986768737825427,qlognehvi,0.0,False,9,cd26405d-f87d-4bd6-9c9d-0569786514d6,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,1.31125620535557,0.43708540178519006,0.43708540178519,0.0,0.43708540178519006,branincurrin
4,0.8603936491828846,0.9182376290487624,0.0,0.0,-2.0689038159404793,-2.2894009889196507,1.227880855142345,1.2533073122488505,True,0.2219583474726634,-0.22049717297917137,0.025426457106505485,qlognehvi,0.0,False,9,cd26405d-f87d-4bd6-9c9d-0569786514d6,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,1.7483416071407603,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
5,0.026587734467597213,0.4372480001295087,0.0,0.0,-0.8753367372193056,-0.36564954701971364,1.3971558589399364,1.1507732971416862,True,0.5661142981870566,0.509687190199592,-0.24638256179825024,qlognehvi,0.0,False,9,cd26405d-f87d-4bd6-9c9d-0569786514d6,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,2.1854270089259504,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
6,0.5719543481126304,0.6823114589966062,0.0,0.8136829868962937,-0.3022868169692669,1.2436138327131125,0.6553331147451981,2.1234332176403963,True,2.1319302828210156,1.5459006496823795,1.4681001028951983,qlognehvi,1.0119218000327237,False,9,cd26405d-f87d-4bd6-9c9d-0569786514d6,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,2.6225124107111406,0.43708540178519006,0.4370854017851901,0.0,0.43708540178519006,branincurrin
7,0.5696966730453845,0.5855713999831742,0.0,0.8136829868962937,0.13391605418595262,-0.6187990099473928,0.41938094653431107,-0.06470430251632264,True,0.894940498648754,-0.7527150641333454,-0.4840852490506337,qlognehvi,1.5993327000178397,False,9,cd26405d-f87d-4bd6-9c9d-0569786514d6,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,3.059597812496331,0.43708540178519006,0.4370854017851901,0.0,0.43708540178519006,branincurrin
8,0.3828913612242867,0.7040302744871948,0.0,0.8136829868962937,0.09881754256769454,-0.3158281299444851,0.4439397933523516,0.027257296714638335,True,0.5878395501642567,-0.41464567251217965,-0.4166824966377133,qlognehvi,1.6610650999937207,False,9,cd26405d-f87d-4bd6-9c9d-0569786514d6,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,3.496683214281521,0.43708540178519006,0.4370854017851901,0.0,0.43708540178519006,branincurrin
9,0.6286045220935415,0.6986929198502516,0.0,0.8136829868962937,-0.6619075807347534,-0.5597129775087046,0.7433796181630331,1.264770174196645,True,0.5313114424229621,0.10219460322604879,0.521390556033612,qlognehvi,2.0028668000013568,False,9,cd26405d-f87d-4bd6-9c9d-0569786514d6,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,3.933768616066711,0.43708540178519006,0.4370854017851901,0.0,0.43708540178519006,branincurrin
10,0.5578590605184515,0.7112036802302248,0.0,3.0697804974062533,-0.3835755163133312,1.9742531713130904,0.702593793395502,3.028202302773702,True,3.311768569674884,2.3578286876264216,2.3256085093782,qlognehvi,1.8193360000150278,False,9,cd26405d-f87d-4bd6-9c9d-0569786514d6,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,4.370854017851901,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
