dataset,objective,acquisition,mean_rank_normalized,mean_rank_absolute,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_wins,conditions
schwefel,value,logei,0.35,1.2999999999999998,0.01246069654946945,101.83962200735618,0.0,3,4
schwefel,value,ucb,0.65,1.7000000000000002,0.21475090745712563,116.4948300537751,0.0,1,4
