iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,noise_effort,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-445.7157566769605,-0.8665650718620554,121.79802914802895,-565.5731899536665,-422.48869850705285,513.8532275524435,-0.9762267742847551,-0.33933391846599326,True,0.6368928558187619,logei,0.0,False,0.75,11,03a1d20f-5818-4707-b507-b1934d29b6e1,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-0.9762267742847551,3.7300825899437258,3.7300825899437258,3.7300825899437258,3.7300825899437258,-0.9762267742847551,3.7300825899437258,griewank
2,-515.4953086149638,-444.2712607208424,537.9941439501301,146.26031135565938,-157.20825152425084,13.668026163915215,-0.2974490717811511,0.023662238357427257,True,0.32111131013857835,logei,0.0,False,0.75,11,03a1d20f-5818-4707-b507-b1934d29b6e1,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-0.2974490717811511,3.051304887440122,6.781387477383848,3.051304887440122,3.390693738691924,-0.2974490717811511,3.051304887440122,griewank
3,195.41154302015912,-269.6294210866448,-434.4383125596536,345.6475134047902,204.43270092298053,14.858776179792471,0.9791977447925131,0.6688816606996137,True,-0.31031608409289935,logei,0.0,False,0.75,11,03a1d20f-5818-4707-b507-b1934d29b6e1,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9791977447925131,1.7746580708664577,8.556045548250305,1.7746580708664577,2.8520151827501015,0.9791977447925131,1.7746580708664577,griewank
4,380.08372316358964,58.890322644031585,577.0963671567665,-354.58864640394614,64.47643543827337,-19.650363691934785,0.4139567988793983,-0.17268113415143027,True,-0.5866379330308286,logei,0.0,False,0.75,11,03a1d20f-5818-4707-b507-b1934d29b6e1,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9791977447925131,2.3398990167795723,10.895944565029877,1.7746580708664577,2.7239861412574693,0.9791977447925131,1.7746580708664577,griewank
5,-176.0701739274623,109.91436473885221,-317.63852199890334,362.64322053418016,440.8002622108977,-445.48839452657876,0.1984878307961768,0.1622847533600591,True,-0.0362030774361177,logei,0.0,False,0.75,11,03a1d20f-5818-4707-b507-b1934d29b6e1,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9791977447925131,2.555367984862794,13.451312549892672,1.7746580708664577,2.6902625099785342,0.9791977447925131,1.7746580708664577,griewank
6,355.5471524982821,-451.6284019028878,-588.1326912752521,482.7332317214841,189.6556073434295,121.3557309777348,-0.9166361308886207,-1.5019575682594737,True,-0.585321437370853,logei,0.294217899965588,False,0.75,11,03a1d20f-5818-4707-b507-b1934d29b6e1,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9791977447925131,3.6704919465475916,17.121804496440262,1.7746580708664577,2.8536340827400437,0.9791977447925131,1.7746580708664577,griewank
7,141.59844030242232,-213.8419374123957,-380.3274565189097,305.8039760564055,209.48787387405142,-21.08067500050129,1.410139506587269,1.2678043896052884,True,-0.14233511698198065,logei,0.4027139999670908,False,0.75,11,03a1d20f-5818-4707-b507-b1934d29b6e1,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.410139506587269,1.3437163090717017,18.465520805511964,1.3437163090717017,2.6379315436445663,1.410139506587269,1.3437163090717017,griewank
8,89.10558178602385,-146.93058219003365,-373.3458010619858,314.350060813822,260.3754527177624,-108.57423369724444,1.4156116376955183,2.408160345875264,True,0.9925487081797457,logei,0.3954898999654688,False,0.75,11,03a1d20f-5818-4707-b507-b1934d29b6e1,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.4156116376955183,1.3382441779634524,19.803764983475418,1.3382441779634524,2.475470622934427,1.4156116376955183,1.3382441779634524,griewank
9,105.65140692552704,-150.78160279230315,-548.7643613985482,414.0546970670046,332.14025120357826,-161.1244794279979,0.2906762077666706,1.0490300291687007,True,0.7583538214020301,logei,0.4850545999943279,False,0.75,11,03a1d20f-5818-4707-b507-b1934d29b6e1,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.4156116376955183,2.4631796078923003,22.266944591367718,1.3382441779634524,2.474104954596413,1.4156116376955183,1.3382441779634524,griewank
10,83.37573246965059,-123.02100480391483,-338.53796379549283,333.51517207439974,296.1092432700247,-168.05691273645363,1.355293871844191,2.0555794277887753,True,0.7002855559445844,logei,0.3280069999746047,False,0.75,11,03a1d20f-5818-4707-b507-b1934d29b6e1,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.4156116376955183,1.3985619438147798,23.665506535182498,1.3382441779634524,2.36655065351825,1.4156116376955183,1.3382441779634524,griewank
