iteration,x0,x1,x2,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.3071663307112894,1.1479584992374843,True,0.8407921685261949,qnei,0.0,False,0,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,0.3071663307112894,2.747734611444438,2.747734611444438,2.747734611444438,2.747734611444438,0.3071663307112894,2.747734611444438,hartmann_3
2,0.14928212308202027,0.5128046164365648,0.13591960402050662,-0.8703311095386822,-2.6914939066719583,True,-1.821162797133276,qnei,0.0,False,1,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.92523205169441,6.672966663138848,2.747734611444438,3.336483331569424,0.3071663307112894,2.747734611444438,hartmann_3
3,0.6890364797811311,0.841747724312279,0.4255089974049766,-0.2909134329371896,-1.2335920645147038,True,-0.9426786315775142,qnei,0.0,False,2,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.345814375092917,10.018781038231765,2.747734611444438,3.3395936794105885,0.3071663307112894,2.747734611444438,hartmann_3
4,0.9569260034533662,0.8253329063847983,0.338215312471576,-0.8973733195280779,1.665699283156964,True,2.563072602685042,qnei,0.0,False,3,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.9522742616838054,13.97105529991557,2.747734611444438,3.4927638249788924,-0.8973733195280779,3.9522742616838054,hartmann_3
5,0.5757605479445136,0.7533018647084769,0.8271039370247955,1.6562044985234257,1.727638304332447,True,0.07143380580902137,qnei,0.0,False,4,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.6562044985234257,1.398696443632302,15.369751743547871,1.398696443632302,3.073950348709574,1.6562044985234257,1.398696443632302,hartmann_3
6,0.6846014177934232,0.546138699117328,0.9136854271654568,2.5237642952708623,3.51950140750943,True,0.9957371122385679,qnei,0.4553930999827571,False,0,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.5237642952708623,0.5311366468848653,15.900888390432737,0.5311366468848653,2.650148065072123,2.5237642952708623,0.5311366468848653,hartmann_3
7,0.6322873883372158,0.35499249517474085,1.0,0.3727364465646998,-0.4014986689954138,True,-0.7742351155601136,qnei,0.2213664999580942,False,1,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.5237642952708623,2.682164495591028,18.583052886023765,0.5311366468848653,2.654721840860538,2.5237642952708623,0.5311366468848653,hartmann_3
8,0.7068503903176842,0.6251518110808821,0.9150696250488829,2.361422570057784,-0.21781128609635103,True,-2.5792338561541355,qnei,0.3168697999790311,False,2,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.5237642952708623,0.6934783720979434,19.276531258121707,0.5311366468848653,2.4095664072652134,2.5237642952708623,0.5311366468848653,hartmann_3
9,0.5664901935234746,0.24292430168843918,0.8283774967753307,0.6733737482681995,5.450499467095478,True,4.777125718827278,qnei,0.2238647000049241,False,3,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.5237642952708623,2.381527193887528,21.658058452009236,0.5311366468848653,2.4064509391121374,0.6733737482681995,2.381527193887528,hartmann_3
10,0.5153694273999742,0.22119296609787756,0.7900604033248739,0.44738237220506005,2.2713211118193106,True,1.8239387396142506,qnei,0.4506130999652669,False,4,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.5237642952708623,2.6075185699506678,24.265577021959903,0.5311366468848653,2.42655770219599,0.6733737482681995,2.381527193887528,hartmann_3
11,0.5984798489818443,0.24313221024422416,0.8328804619347648,0.6694188690856301,3.2875887085506106,True,2.6181698394649806,qnei,0.5485041000065394,False,0,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.5237642952708623,2.3854820730700976,26.65105909503,0.5311366468848653,2.4228235540936365,0.6733737482681995,2.381527193887528,hartmann_3
12,0.46891317120350356,0.3149341810876792,0.8700427961134073,1.3196289827593541,1.2000908590311825,True,-0.11953812372817163,qnei,0.2913601000327617,False,1,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.5237642952708623,1.7352719593963735,28.386331054426375,0.5311366468848653,2.3655275878688644,0.6733737482681995,2.381527193887528,hartmann_3
13,0.6723145813391527,0.19278134624406063,0.8128954426862494,0.2335000251179303,-0.41834704810871703,True,-0.6518470732266474,qnei,0.28931040002498776,False,2,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.5237642952708623,2.8214009170377974,31.20773197146417,0.5311366468848653,2.4005947670357055,0.6733737482681995,2.381527193887528,hartmann_3
14,0.18974991955068354,0.001880826118119345,0.7748168571883769,-0.7228682165240233,0.6120976965537879,True,1.334965913077811,qnei,0.33359290001681075,False,3,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.5237642952708623,3.777769158679751,34.98550113014392,0.5311366468848653,2.4989643664388517,0.6733737482681995,2.381527193887528,hartmann_3
15,1.0,1.0,0.1711985813559063,-0.9842827729419484,1.0557365989224898,True,2.0400193718644384,qnei,0.4557096000062302,False,4,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.5237642952708623,4.039183715097676,39.0246848452416,0.5311366468848653,2.60164565634944,0.6733737482681995,2.381527193887528,hartmann_3
16,0.267000915167142,1.0,0.8261992115491504,-0.18636805747013857,1.5434275794632195,True,1.729795636933358,qnei,0.2639766000211239,False,0,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.5237642952708623,3.2412689996258663,42.26595384486747,0.5311366468848653,2.6416221153042168,0.6733737482681995,2.381527193887528,hartmann_3
17,1.0,0.0,0.25184171302549596,-0.7130272518972866,-0.46333745879116256,True,0.249689793106124,qnei,0.16442889999598265,False,1,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.5237642952708623,3.767928194053014,46.03388203892048,0.5311366468848653,2.707875414054146,0.6733737482681995,2.381527193887528,hartmann_3
18,0.5277388727842571,1.0,0.7182595708060062,-0.020010612003609478,-0.46083997025015633,True,-0.44082935824654684,qnei,0.23227570002200082,False,2,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.5237642952708623,3.0749115541593373,49.10879359307982,0.5311366468848653,2.7282663107266565,0.6733737482681995,2.381527193887528,hartmann_3
19,0.08717790563530183,0.22365307027630713,0.9105174125675244,0.2723953971992314,3.812594805125425,True,3.5401994079261936,qnei,0.211534500005655,False,3,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.5237642952708623,2.7825055449564964,51.89129913803632,0.5311366468848653,2.7311210072650693,0.6733737482681995,2.381527193887528,hartmann_3
20,0.0,0.461982036256374,0.8697499553224064,2.6958929084723975,5.892619505698016,True,3.1967265972256182,qnei,0.29525520000606775,False,4,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.6958929084723975,0.3590080336833301,52.25030717171965,0.3590080336833301,2.6125153585859824,2.6958929084723975,0.3590080336833301,hartmann_3
21,0.0,0.46893185587328645,0.820149821653539,2.7050595231343557,4.128679263064376,True,1.42361973993002,qnei,0.20192850002786145,False,0,10,32af9e85-de7d-4c66-b442-9b83c21cadc5,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.7050595231343557,0.3498414190213719,52.60014859074102,0.3498414190213719,2.5047689805114772,2.6958929084723975,0.3590080336833301,hartmann_3
