iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,ceiling_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.5669168388793651,0.4307441454901856,0.09407382546152454,0.3480795504359955,0.6215090383806794,0.02165500318271052,-0.06347660380836578,0.19770231554203627,True,0.26117891935040205,logei,0.0,False,1.2272371448916342,16,8d1e3c21-c2e0-4a94-a96a-4364e5493a49,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.06347660380836578,8.030640567100303,8.030640567100303,8.030640567100303,8.030640567100303,-0.06347660380836578,8.030640567100303,hartmann_6
2,0.8746323779455377,0.8540495315269422,0.044304215788284806,0.8024209628659041,0.1847951614868486,0.6956239148985941,-0.6545605390032352,-0.35538293753570566,True,0.29917760146752953,logei,0.0,False,1.2272371448916342,16,8d1e3c21-c2e0-4a94-a96a-4364e5493a49,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.06347660380836578,8.621724502295173,16.652365069395476,8.030640567100303,8.326182534697738,-0.06347660380836578,8.030640567100303,hartmann_6
3,0.1550002548656667,0.6916197559832665,0.9586338310644203,0.9849849877499477,0.6632952669932003,0.16358816232223694,-0.3626864788655051,-0.5761912934573408,True,-0.21350481459183568,logei,0.0,False,1.2272371448916342,16,8d1e3c21-c2e0-4a94-a96a-4364e5493a49,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.06347660380836578,8.329850442157442,24.982215511552916,8.030640567100303,8.327405170517638,-0.06347660380836578,8.030640567100303,hartmann_6
4,0.3949106472756698,0.27799521264490146,0.9556696952798586,0.299345063499738,0.5610769947263297,0.40736529519943776,0.10509392255067777,0.09785243933137895,True,-0.007241483219298822,logei,0.0,False,1.2272371448916342,16,8d1e3c21-c2e0-4a94-a96a-4364e5493a49,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",7.967163963291937,0.10509392255067777,7.862070040741259,32.844285552294174,7.862070040741259,8.211071388073544,-0.06347660380836578,8.030640567100303,hartmann_6
5,0.1387275508007576,0.38474151186552197,0.7694150538287144,0.4135993574643705,0.6793145872581862,0.5818538764962524,0.2670332117294068,0.10033606102947382,True,-0.166697150699933,logei,0.0,False,1.2272371448916342,16,8d1e3c21-c2e0-4a94-a96a-4364e5493a49,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",7.967163963291937,0.2670332117294068,7.70013075156253,40.54441630385671,7.70013075156253,8.108883260771341,-0.06347660380836578,8.030640567100303,hartmann_6
6,0.10768508201068615,0.7452119419454247,0.0,0.2284174432393375,1.0,0.10283745972938942,-0.26805348687979547,-0.6689406557440272,True,-0.4008871688642317,logei,0.3262174000265077,False,1.2272371448916342,16,8d1e3c21-c2e0-4a94-a96a-4364e5493a49,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",7.967163963291937,0.2670332117294068,8.235217450171733,48.77963375402844,7.70013075156253,8.12993895900474,-0.06347660380836578,8.030640567100303,hartmann_6
7,1.0,0.34872974141031066,0.0,0.5389368161604208,0.9656411241630475,0.11908806724120159,-0.6716571539710776,-0.7949909702184927,True,-0.12333381624741513,logei,0.5893358999746852,False,1.2272371448916342,16,8d1e3c21-c2e0-4a94-a96a-4364e5493a49,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",7.967163963291937,0.2670332117294068,8.638821117263015,57.41845487129145,7.70013075156253,8.202636410184493,-0.06347660380836578,8.030640567100303,hartmann_6
8,0.0,0.6498751352935723,0.0,0.23614530523863445,0.6131087987288786,0.46823888744011827,-0.3508592320721225,-0.22033334973105118,True,0.13052588234107132,logei,0.4505685000331141,False,1.2272371448916342,16,8d1e3c21-c2e0-4a94-a96a-4364e5493a49,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",7.967163963291937,0.2670332117294068,8.31802319536406,65.73647806665551,7.70013075156253,8.217059758331938,-0.06347660380836578,8.030640567100303,hartmann_6
9,0.42645466474418847,0.2294866738123427,0.16695073672696192,0.4361083778143884,0.6144850995675043,0.029750292130255485,-0.4169062401827679,-0.7789381800107684,True,-0.3620319398280005,logei,0.4942841000156477,False,1.2272371448916342,16,8d1e3c21-c2e0-4a94-a96a-4364e5493a49,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",7.967163963291937,0.2670332117294068,8.384070203474705,74.12054827013021,7.70013075156253,8.235616474458913,-0.06347660380836578,8.030640567100303,hartmann_6
10,0.41727510935717393,0.4493425684508619,0.37436884546540095,0.30306959042919845,0.5847055826695559,0.20893864547492996,0.25797031929393516,0.37736058198504435,True,0.1193902626911092,logei,0.38134640001226217,False,1.2272371448916342,16,8d1e3c21-c2e0-4a94-a96a-4364e5493a49,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",7.967163963291937,0.2670332117294068,7.7091936439980016,81.82974191412822,7.70013075156253,8.182974191412821,0.25797031929393516,7.7091936439980016,hartmann_6
11,0.34071159118580957,0.43961350454377357,0.8162595854741954,0.2942610103009436,0.36129753303269047,0.7068142254589284,3.674683628602181,1.2272371448916342,True,-2.4474464837105465,logei,0.43645929999183863,False,1.2272371448916342,16,8d1e3c21-c2e0-4a94-a96a-4364e5493a49,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5",7.967163963291937,3.674683628602181,4.292480334689756,86.12222224881798,4.292480334689756,7.829292931710725,3.674683628602181,4.292480334689756,hartmann_6
