procedure,error_model,jitter_std,jitter_iteration,n_landscapes,n_cells,cost,gain,price,recovered,bootstrap_draws_kept,recovered_lo,recovered_hi
lucb_k4_rho0.5,pooled,,,20,400,0.46896176414061674,0.20844692284171495,0.011852961829854696,0.4444859661932114,1.0,0.38397857540597097,0.5026656573705592
lucb_k4_rho1,pooled,,,20,400,0.46896176414061674,0.19485521740616926,0.011852961829854696,0.4155034211866845,1.0,0.3604110451136237,0.47061886201202546
lucb_k8_rho0.5,pooled,,,20,400,0.46896176414061674,0.22776288074159945,0.018890864219211306,0.4856747354637327,1.0,0.4259770341342998,0.5414627402212675
lucb_k8_rho1,pooled,,,20,400,0.46896176414061674,0.21162018628433188,0.018890864219211306,0.45125253798064063,1.0,0.3946376116799789,0.5080651331364476
ordinal_lcb1,pooled,,,20,400,0.46896176414061674,0.17795730075461894,0.024012658420085924,0.37947081054833925,1.0,0.3070446151375474,0.4485292734529922
ordinal_pm,pooled,,,20,400,0.46896176414061674,0.17376868602716047,0.03130948312350494,0.3705391341351583,1.0,0.2988324110675862,0.4408616027589948
shortlist_m1,pooled,,,20,400,0.46896176414061674,0.1580686688579027,0.02108279419944272,0.337060888423531,1.0,0.2687673767256666,0.4010967131857348
shortlist_m2,pooled,,,20,400,0.46896176414061674,0.20410463570487755,0.01630349706803252,0.43522660334346025,1.0,0.37306556891988685,0.4978992688886113
shortlist_m3,pooled,,,20,400,0.46896176414061674,0.22838141740279028,0.012711682758842074,0.48699368448791236,1.0,0.4213405229678693,0.5499490724249976
shortlist_m5,pooled,,,20,400,0.46896176414061674,0.25669089308576526,0.008477663806513039,0.5473599613310848,1.0,0.47554359846586036,0.6136886264023622
standard,pooled,,,20,400,0.46896176414061674,0.0,0.0,0.0,1.0,0.0,0.0
tournament_k4_lcb_rho0.5_look,pooled,,,20,400,0.46896176414061674,0.21998776394866865,0.011203688380846878,0.4690953096182613,1.0,0.40888159229917653,0.5288982229714714
tournament_k4_lcb_rho0.5_post,pooled,,,20,400,0.46896176414061674,0.2043065014685131,0.016753359632346924,0.4356570558431549,1.0,0.3742894288644104,0.4919270432073423
tournament_k4_lcb_rho1_look,pooled,,,20,400,0.46896176414061674,0.20565593286735573,0.011203688380846878,0.4385345428837359,1.0,0.3833038587737412,0.5005351078491035
tournament_k4_lcb_rho1_post,pooled,,,20,400,0.46896176414061674,0.1964389436049892,0.016753359632346924,0.41888051143139166,1.0,0.3648531511855245,0.4781944502012086
tournament_k4_obs_rho0.5_look,pooled,,,20,400,0.46896176414061674,0.16329645081909122,0.003967146604894365,0.34820845387754745,1.0,0.283554235848391,0.4063208457717112
tournament_k4_obs_rho0.5_post,pooled,,,20,400,0.46896176414061674,0.15272036307448908,0.009427234178642746,0.32565632158594565,1.0,0.2652695714413605,0.3811215496845428
tournament_k4_obs_rho1_look,pooled,,,20,400,0.46896176414061674,0.1342047508153182,0.003967146604894365,0.28617418535443184,1.0,0.23103512580005003,0.34051260600445776
tournament_k4_obs_rho1_post,pooled,,,20,400,0.46896176414061674,0.1391657319227008,0.009427234178642746,0.2967528326701116,1.0,0.2363040071733825,0.35184422057028986
tournament_k8_lcb_rho0.5_look,pooled,,,20,400,0.46896176414061674,0.2449620219895307,0.015643037271061495,0.5223496683965894,1.0,0.46018360198778535,0.5850597417547503
tournament_k8_lcb_rho0.5_post,pooled,,,20,400,0.46896176414061674,0.21976382024466537,0.027930776790353818,0.4686177787807235,1.0,0.4093243044875076,0.5273814470462693
tournament_k8_lcb_rho1_look,pooled,,,20,400,0.46896176414061674,0.2194330803631198,0.015643037271061495,0.4679125189773967,1.0,0.4146859504530451,0.5187340770813447
tournament_k8_lcb_rho1_post,pooled,,,20,400,0.46896176414061674,0.20767266559959063,0.027930776790353818,0.44283496327287064,1.0,0.38255564782737667,0.4944162396261151
tournament_k8_obs_rho0.5_look,pooled,,,20,400,0.46896176414061674,0.22113364502238336,0.011608827405359411,0.4715387520507474,1.0,0.40353637789408775,0.5402599144489432
tournament_k8_obs_rho0.5_post,pooled,,,20,400,0.46896176414061674,0.20631473302302478,0.02258074747855365,0.43993934857589356,1.0,0.36745652887538544,0.5133093908694799
tournament_k8_obs_rho1_look,pooled,,,20,400,0.46896176414061674,0.1872321808266902,0.011608827405359411,0.39924828662694384,1.0,0.3339899297259752,0.4632349433691189
tournament_k8_obs_rho1_post,pooled,,,20,400,0.46896176414061674,0.18718589993782667,0.02258074747855365,0.3991495986476619,1.0,0.33382817563381434,0.466760327117658
lucb_k4_rho0.5,gaussian,0.25,0.0,20,200,0.3590415388224937,0.1561743221215111,0.011852961829854696,0.4349756371747338,1.0,0.3491959881064295,0.5327995740542603
lucb_k4_rho0.5,gaussian,1.0,0.0,20,200,0.5788819894587396,0.26071952356191874,0.011852961829854696,0.45038458323033004,1.0,0.39157948820467847,0.5055358642065017
lucb_k4_rho1,gaussian,0.25,0.0,20,200,0.3590415388224937,0.1481460982003344,0.011852961829854696,0.41261548367409445,1.0,0.3276624805052058,0.5058728664101115
lucb_k4_rho1,gaussian,1.0,0.0,20,200,0.5788819894587396,0.24156433661200416,0.011852961829854696,0.4172946144651507,1.0,0.3573976505040012,0.472258329108284
lucb_k8_rho0.5,gaussian,0.25,0.0,20,200,0.3590415388224937,0.18919325717482877,0.018890864219211306,0.5269397457333311,1.0,0.4417674828920855,0.6115363479685981
lucb_k8_rho0.5,gaussian,1.0,0.0,20,200,0.5788819894587396,0.2663325043083702,0.018890864219211306,0.4600808267629707,1.0,0.4042650343485643,0.5102201468559705
lucb_k8_rho1,gaussian,0.25,0.0,20,200,0.3590415388224937,0.17880570178512195,0.018890864219211306,0.49800839861462826,1.0,0.4201457491817583,0.5748745736775148
lucb_k8_rho1,gaussian,1.0,0.0,20,200,0.5788819894587396,0.24443467078354178,0.018890864219211306,0.42225302433763856,1.0,0.36246084956096425,0.48552391213204815
ordinal_lcb1,gaussian,0.25,0.0,20,200,0.3590415388224937,0.11199395293137557,0.02401265842008592,0.3119247797863973,1.0,0.22011982024453924,0.4209108140350672
ordinal_lcb1,gaussian,1.0,0.0,20,200,0.5788819894587396,0.24392064857786222,0.02401265842008592,0.4213650675259917,1.0,0.34629983852879787,0.49587298684202036
