landscape,sigma_multiple,frac_fitted,frac_exact,n_fitted,n_exact,oracle_model,corr_oracle_truth
ackley,0.25,-0.07203488306649661,0.10921603189071127,20,20,extra_trees,0.8400119112995624
ackley,1.0,0.13164244348776064,0.21941493599825432,20,20,extra_trees,0.8400119112995624
ackley,5.0,0.4853212980697724,0.4531945907554598,20,20,extra_trees,0.8400119112995624
branin,0.25,0.15876798814247794,0.8397650667722443,20,20,gradient_boosting,0.935434188242573
branin,1.0,0.2878582472677452,2.525429067811756,20,20,gradient_boosting,0.935434188242573
branin,5.0,0.36490452372886206,4.928241306479124,20,20,gradient_boosting,0.935434188242573
eggholder,0.25,-0.05556872214625515,0.09692696694910662,20,20,extra_trees,0.452515686439015
eggholder,1.0,-0.008875583746697478,0.17733354745157875,20,20,extra_trees,0.452515686439015
eggholder,5.0,0.20534323650630806,0.2706222743594723,20,20,extra_trees,0.452515686439015
griewank,0.25,0.1573890432352266,0.21646461465602784,20,20,gradient_boosting,0.8853690592558223
griewank,1.0,0.2087414117276108,0.7061358471801735,20,20,gradient_boosting,0.8853690592558223
griewank,5.0,0.5169611875296971,1.277591244511296,20,20,gradient_boosting,0.8853690592558223
hartmann_3,0.25,0.0805990983499921,0.24221930959726565,20,20,gradient_boosting,0.8381345413889283
hartmann_3,1.0,0.30789072762840486,0.9568426182268212,20,20,gradient_boosting,0.8381345413889283
hartmann_3,5.0,0.653391992150927,2.6919431503022424,20,20,gradient_boosting,0.8381345413889283
hartmann_6,0.25,0.021897087292638714,0.19120753257000514,20,20,catboost,0.8197985477147857
hartmann_6,1.0,0.23741937546208228,0.548326520336562,20,20,catboost,0.8197985477147857
hartmann_6,5.0,0.512967693326593,0.889220819918723,20,20,catboost,0.8197985477147857
hicks_law,0.25,0.023676057694731797,0.0060992494028292875,20,20,gradient_boosting,0.9165655812987002
hicks_law,1.0,0.16486179608591295,0.20206623843658295,20,20,gradient_boosting,0.9165655812987002
hicks_law,5.0,0.5808571024206984,0.6114235587245359,20,20,gradient_boosting,0.9165655812987002
levy_10,0.25,-0.14050299999062887,0.19936765644808901,20,20,gradient_boosting,0.7272611304022533
levy_10,1.0,0.04196884113828841,0.3207949373591057,20,20,gradient_boosting,0.7272611304022533
levy_10,5.0,0.44428693123073176,0.7343586586009999,20,20,gradient_boosting,0.7272611304022533
michalewicz,0.25,0.04472500346659984,-0.019274636697571623,20,20,gradient_boosting,0.7399130478215014
michalewicz,1.0,0.2655744628076847,0.14826510116783181,20,20,gradient_boosting,0.7399130478215014
michalewicz,5.0,0.3435478286042336,0.2682468218960492,20,20,gradient_boosting,0.7399130478215014
moving_peaks,0.25,0.010650095048745773,0.05302915129324146,20,20,catboost,0.7910408158158935
moving_peaks,1.0,0.27636687605952315,0.29113989931087336,20,20,catboost,0.7910408158158935
moving_peaks,5.0,0.43864639456389315,0.5030561110999316,20,20,catboost,0.7910408158158935
powell,0.25,-0.08660914593777844,0.21030125191053992,20,20,gradient_boosting,0.8730125496333896
powell,1.0,0.05566981326799303,1.3269390037998208,20,20,gradient_boosting,0.8730125496333896
powell,5.0,0.22382569829158444,1.242220721542922,20,20,gradient_boosting,0.8730125496333896
power_law_practice,0.25,0.06848009423215493,0.1347582542327379,20,20,gradient_boosting,0.9058190335654462
power_law_practice,1.0,0.21873687647702345,0.5307121283607504,20,20,gradient_boosting,0.9058190335654462
power_law_practice,5.0,0.3933154146998699,0.661608360771917,20,20,gradient_boosting,0.9058190335654462
rastrigin,0.25,0.08478686510719112,0.03894131487689,20,20,gradient_boosting,0.6383554289651807
rastrigin,1.0,0.17612912896558844,0.22895263906408622,20,20,gradient_boosting,0.6383554289651807
rastrigin,5.0,0.3200846947792767,0.36159182893551056,20,20,gradient_boosting,0.6383554289651807
rosenbrock,0.25,0.019577601564280556,0.11846771964245603,20,20,gradient_boosting,0.9065295634236972
rosenbrock,1.0,0.06334619996354818,1.4937124979718412,20,20,gradient_boosting,0.9065295634236972
rosenbrock,5.0,0.1605548291406444,3.5340063267667325,20,20,gradient_boosting,0.9065295634236972
schwefel,0.25,-0.10396607457338769,0.037925816416593094,20,20,gradient_boosting,0.7308034661959335
schwefel,1.0,0.06376242391426458,0.14118018686644043,20,20,gradient_boosting,0.7308034661959335
schwefel,5.0,0.2529258238568249,0.24468370241628304,20,20,gradient_boosting,0.7308034661959335
shekel,0.25,0.04033456800079427,0.025944300732776104,20,20,extra_trees,0.7584495311021529
shekel,1.0,0.24501166924807133,0.08203404698619525,20,20,extra_trees,0.7584495311021529
shekel,5.0,0.31927810068852824,0.16860390374893883,20,20,extra_trees,0.7584495311021529
steering_law,0.25,0.07781278165810543,0.11730464355419348,20,20,gradient_boosting,0.8398150792581665
steering_law,1.0,0.1525807332164536,0.5288796744172541,20,20,gradient_boosting,0.8398150792581665
steering_law,5.0,0.39075699882213927,1.2351813186476788,20,20,gradient_boosting,0.8398150792581665
stevens,0.25,-0.006067975009510293,0.0340544247337097,20,20,gradient_boosting,0.87363502781501
stevens,1.0,0.18870639928666083,0.35700582951254717,20,20,gradient_boosting,0.87363502781501
stevens,5.0,0.41563496260500105,0.7373493608878382,20,20,gradient_boosting,0.87363502781501
weber_fechner,0.25,0.04832830577836909,0.2044387643492239,20,20,gradient_boosting,0.8696251224294701
weber_fechner,1.0,0.22106145628918025,0.48256325689549123,20,20,gradient_boosting,0.8696251224294701
weber_fechner,5.0,0.34562677970028716,0.82935639208388,20,20,gradient_boosting,0.8696251224294701
yerkes_dodson,0.25,-0.0038472227114928178,0.014575911240318406,20,20,gradient_boosting,0.902460554792354
yerkes_dodson,1.0,0.24436389430067665,0.31716211241055525,20,20,gradient_boosting,0.902460554792354
yerkes_dodson,5.0,0.5146447038583196,0.9071774476952598,20,20,gradient_boosting,0.902460554792354
