landscape,sigma_multiple,frac_fitted,frac_exact,n_fitted,n_exact,oracle_model,corr_oracle_truth
ackley,0.25,-0.05413724886371968,0.09045697186906987,20,20,extra_trees,0.8400119112995624
ackley,1.0,0.33142097554081074,0.3256372862038536,20,20,extra_trees,0.8400119112995624
ackley,5.0,1.0964120630054686,0.908865458455371,20,20,extra_trees,0.8400119112995624
branin,0.25,0.242212559034887,3.4727554157458043,20,20,gradient_boosting,0.935434188242573
branin,1.0,0.9496686115058137,10.510415473905725,20,20,gradient_boosting,0.935434188242573
branin,5.0,1.9064661205039255,31.600388322717652,20,20,gradient_boosting,0.935434188242573
eggholder,0.25,-0.013297196737934591,0.1244519413659784,20,20,extra_trees,0.452515686439015
eggholder,1.0,0.525034530719506,0.728263113233586,20,20,extra_trees,0.452515686439015
eggholder,5.0,1.8173588251407893,1.8283564188396428,20,20,extra_trees,0.452515686439015
griewank,0.25,0.26176172168588074,0.273193145011593,20,20,gradient_boosting,0.8853690592558223
griewank,1.0,0.8477781059157495,0.9185647280687987,20,20,gradient_boosting,0.8853690592558223
griewank,5.0,2.122026649940124,3.626719555766696,20,20,gradient_boosting,0.8853690592558223
hartmann_3,0.25,0.054312095632884486,0.2910635342086013,20,20,gradient_boosting,0.8381345413889283
hartmann_3,1.0,0.456942131910864,1.375553077160782,20,20,gradient_boosting,0.8381345413889283
hartmann_3,5.0,1.3145730965992939,6.725386885033086,20,20,gradient_boosting,0.8381345413889283
hartmann_6,0.25,0.0593931232052851,0.1719520501225687,20,20,catboost,0.8197985477147857
hartmann_6,1.0,0.3845374842624443,0.5918735880717525,20,20,catboost,0.8197985477147857
hartmann_6,5.0,1.3804865965065407,1.5509101443694369,20,20,catboost,0.8197985477147857
hicks_law,0.25,0.006382368820951276,0.000701181911909064,20,20,gradient_boosting,0.9165655812987002
hicks_law,1.0,0.0634211051919028,0.13745228015879263,20,20,gradient_boosting,0.9165655812987002
hicks_law,5.0,1.225644133897913,0.9911767662917992,20,20,gradient_boosting,0.9165655812987002
levy_10,0.25,0.20360244479839426,0.4251951971762784,20,20,gradient_boosting,0.7272611304022533
levy_10,1.0,1.5362188042379685,1.3503025515635674,20,20,gradient_boosting,0.7272611304022533
levy_10,5.0,4.333082658836442,3.6354290323522678,20,20,gradient_boosting,0.7272611304022533
michalewicz,0.25,0.13931893763945918,0.01003073238365573,20,20,gradient_boosting,0.7399130478215014
michalewicz,1.0,0.7563390579233688,0.39844484342666814,20,20,gradient_boosting,0.7399130478215014
michalewicz,5.0,1.2930810400726054,0.770485518578938,20,20,gradient_boosting,0.7399130478215014
moving_peaks,0.25,0.13026057482075676,0.15936217121354218,20,20,catboost,0.7910408158158935
moving_peaks,1.0,0.8548522509084924,0.8702254450780849,20,20,catboost,0.7910408158158935
moving_peaks,5.0,1.692158218812045,2.0383527711710223,20,20,catboost,0.7910408158158935
powell,0.25,0.19446079552800732,4.72931874388105,20,20,gradient_boosting,0.8730125496333896
powell,1.0,0.9657514518947087,15.661493623723562,20,20,gradient_boosting,0.8730125496333896
powell,5.0,1.8476545940557112,31.478004754698823,20,20,gradient_boosting,0.8730125496333896
power_law_practice,0.25,0.18847863858124486,0.17484445866229836,20,20,gradient_boosting,0.9058190335654462
power_law_practice,1.0,0.7679511675307276,1.2636895326478774,20,20,gradient_boosting,0.9058190335654462
power_law_practice,5.0,1.3874768009023577,2.050688320810159,20,20,gradient_boosting,0.9058190335654462
rastrigin,0.25,0.24049645205445014,0.18178578726070221,20,20,gradient_boosting,0.6383554289651807
rastrigin,1.0,0.7562838002661509,0.8546399385968229,20,20,gradient_boosting,0.6383554289651807
rastrigin,5.0,1.7513080122483242,1.8021019093556354,20,20,gradient_boosting,0.6383554289651807
rosenbrock,0.25,0.19443975931881388,4.188784069155874,20,20,gradient_boosting,0.9065295634236972
rosenbrock,1.0,0.642074282268968,11.478420054309266,20,20,gradient_boosting,0.9065295634236972
rosenbrock,5.0,1.3717330406276926,71.34484491870558,20,20,gradient_boosting,0.9065295634236972
schwefel,0.25,-0.07758849076078304,0.1553498887469858,20,20,gradient_boosting,0.7308034661959335
schwefel,1.0,0.36680240513795126,0.5649380152160155,20,20,gradient_boosting,0.7308034661959335
schwefel,5.0,1.3605492474610132,1.1128192136747657,20,20,gradient_boosting,0.7308034661959335
shekel,0.25,0.14089649181885383,0.00940323153304928,20,20,extra_trees,0.7584495311021529
shekel,1.0,0.4439902835212566,0.10592695069056976,20,20,extra_trees,0.7584495311021529
shekel,5.0,0.8884927219854617,0.36782364045193844,20,20,extra_trees,0.7584495311021529
steering_law,0.25,0.17543366871338845,0.28532196528695,20,20,gradient_boosting,0.8398150792581665
steering_law,1.0,0.5954361154709076,2.0058326395565222,20,20,gradient_boosting,0.8398150792581665
steering_law,5.0,1.3635568515992293,4.4665476174629575,20,20,gradient_boosting,0.8398150792581665
stevens,0.25,0.038608850320728715,0.024217881893486278,20,20,gradient_boosting,0.87363502781501
stevens,1.0,0.3609864003690194,0.45943553501400514,20,20,gradient_boosting,0.87363502781501
stevens,5.0,1.4036087573325118,2.2673262078165153,20,20,gradient_boosting,0.87363502781501
weber_fechner,0.25,0.14848330924803008,0.3080784609327966,20,20,gradient_boosting,0.8696251224294701
weber_fechner,1.0,0.8015712592034923,0.7713087392733182,20,20,gradient_boosting,0.8696251224294701
weber_fechner,5.0,1.801777666275147,3.4984033371252012,20,20,gradient_boosting,0.8696251224294701
yerkes_dodson,0.25,-0.026137111211369652,0.1334519986448695,20,20,gradient_boosting,0.902460554792354
yerkes_dodson,1.0,0.6056629176689345,0.7497979028791101,20,20,gradient_boosting,0.902460554792354
yerkes_dodson,5.0,1.6096020370924724,2.4632839082203914,20,20,gradient_boosting,0.902460554792354
