landscape,dataset,oracle_model,cv_r2,sigma_f_fitted,sigma_f_true,corr_oracle_truth,jitter_stds
ackley,iso_ackley,extra_trees,,0.9617902810678,1.0,0.8400119112995624,"0.240448,0.961790,4.808951"
branin,iso_branin,gradient_boosting,,1.0335587136642896,1.0,0.935434188242573,"0.258390,1.033559,5.167794"
eggholder,iso_eggholder,extra_trees,,0.7819976702251801,1.0,0.452515686439015,"0.195499,0.781998,3.909988"
griewank,iso_griewank,gradient_boosting,,0.9746110074097826,1.0,0.8853690592558223,"0.243653,0.974611,4.873055"
hartmann_3,iso_hartmann_3,gradient_boosting,,0.923188707251316,1.0,0.8381345413889283,"0.230797,0.923189,4.615944"
hartmann_6,iso_hartmann_6,catboost,,1.1510034035406402,1.0,0.8197985477147857,"0.287751,1.151003,5.755017"
hicks_law,iso_hicks_law,gradient_boosting,,1.1055408063253473,1.0,0.9165655812987002,"0.276385,1.105541,5.527704"
levy_10,iso_levy_10,gradient_boosting,,0.9483205413482392,1.0,0.7272611304022533,"0.237080,0.948321,4.741603"
michalewicz,iso_michalewicz,gradient_boosting,,0.9123508091543964,1.0,0.7399130478215014,"0.228088,0.912351,4.561754"
moving_peaks,iso_moving_peaks,catboost,,0.9323101801992334,1.0,0.7910408158158935,"0.233078,0.932310,4.661551"
powell,iso_powell,gradient_boosting,,1.0081439137694088,1.0,0.8730125496333896,"0.252036,1.008144,5.040720"
power_law_practice,iso_power_law_practice,gradient_boosting,,1.1166499061274238,1.0,0.9058190335654462,"0.279162,1.116650,5.583250"
rastrigin,iso_rastrigin,gradient_boosting,,0.9069280905177658,1.0,0.6383554289651807,"0.226732,0.906928,4.534640"
rosenbrock,iso_rosenbrock,gradient_boosting,,1.1828329563671742,1.0,0.9065295634236973,"0.295708,1.182833,5.914165"
schwefel,iso_schwefel,gradient_boosting,,0.7946501015064604,1.0,0.7308034661959335,"0.198663,0.794650,3.973251"
shekel,iso_shekel,extra_trees,,1.2078904316242163,1.0,0.7584495311021529,"0.301973,1.207890,6.039452"
steering_law,iso_steering_law,gradient_boosting,,1.1317481361385948,1.0,0.8398150792581665,"0.282937,1.131748,5.658741"
stevens,iso_stevens,gradient_boosting,,1.0786140161429543,1.0,0.87363502781501,"0.269654,1.078614,5.393070"
weber_fechner,iso_weber_fechner,gradient_boosting,,1.1585558165260477,1.0,0.8696251224294701,"0.289639,1.158556,5.792779"
yerkes_dodson,iso_yerkes_dodson,gradient_boosting,,1.0659495279688915,1.0,0.902460554792354,"0.266487,1.065950,5.329748"
