sigma_multiple,n_landscapes,frac_fitted,frac_exact,ratio_fitted_over_exact,ratio_lo,ratio_hi,diff,diff_lo,diff_hi,wilcoxon_p,spearman_per_landscape
0.25,20,0.11236908718241045,0.7604859413503531,0.14775958511853993,0.0788197979767627,0.5267908615535966,-0.6481168541679426,-1.3257953944481708,-0.08049511240575652,0.005580902099609375,0.669172932330827
1.0,20,0.6506361570724518,2.5561107659389335,0.2545414563963367,0.14489419544545074,0.7757318232561834,-1.9054746088664816,-3.8661044893920833,-0.17967568908517367,0.013616561889648438,0.6872180451127818
5.0,20,1.6483524566447536,8.726395735094894,0.18889270057001706,0.09234348348378754,0.5551323733292416,-7.07804327845014,-15.673789706732974,-1.2335787651204966,0.01923370361328125,0.5714285714285714
