iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,min_distance_redirect,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.625095466604667,0.8972138009695755,0.7756856902451935,0.22520718999059186,0.30016628491122543,0.8735534453962619,-0.16162744663270998,-0.08964068501211415,True,0.07198676162059582,pi,0.0,False,False,7,150cdc03-4d3b-4249-8a24-b0f8b776ecfa,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.16162744663270998,8.128791409924647,8.128791409924647,8.128791409924647,8.128791409924647,-0.16162744663270998,8.128791409924647,hartmann_6
2,0.005265304565574724,0.8212284183827663,0.7970694287520462,0.4679349528437208,0.3030324268193135,0.2784256121007733,-0.21758038324299367,0.2934123029707113,True,0.510992686213705,pi,0.0,False,False,7,150cdc03-4d3b-4249-8a24-b0f8b776ecfa,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.16162744663270998,8.18474434653493,16.31353575645958,8.128791409924647,8.15676787822979,-0.21758038324299367,8.18474434653493,hartmann_6
3,0.2548695876541246,0.4450763058826466,0.5045482589579533,0.5534973520744925,0.9955002834343927,0.7926619192137531,-0.2556805220334109,0.5132605631725018,True,0.7689410852059126,pi,0.0,False,False,7,150cdc03-4d3b-4249-8a24-b0f8b776ecfa,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.16162744663270998,8.222844485325348,24.536380241784926,8.128791409924647,8.17879341392831,-0.2556805220334109,8.222844485325348,hartmann_6
4,0.6221792294411627,0.9889601476818849,0.21530869823559895,0.16021203385784455,0.6125396042730308,0.04394200796138337,-0.08566626342162283,0.42874218915718937,True,0.5144084525788122,pi,0.0,False,False,7,150cdc03-4d3b-4249-8a24-b0f8b776ecfa,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.08566626342162283,8.05283022671356,32.589210468498486,8.05283022671356,8.147302617124621,-0.2556805220334109,8.222844485325348,hartmann_6
5,0.03568027877359614,0.5148888202713703,0.4662060253252891,0.9171677731928523,0.6292262544910104,0.5141176465995139,-0.583996167024681,-0.9755466569277035,True,-0.39155048990302244,pi,0.0,False,False,7,150cdc03-4d3b-4249-8a24-b0f8b776ecfa,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.08566626342162283,8.551160130316617,41.1403705988151,8.05283022671356,8.22807411976302,-0.2556805220334109,8.222844485325348,hartmann_6
6,0.3027334435225997,0.44817121743297494,0.6325838326090573,0.5545001262821122,0.670836188466056,0.6959875641120998,0.041907409697477395,-0.020869374699679165,True,-0.06277678439715656,pi,0.2829271999653429,False,True,7,150cdc03-4d3b-4249-8a24-b0f8b776ecfa,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",7.967163963291937,0.041907409697477395,7.92525655359446,49.06562715240956,7.92525655359446,8.177604525401593,-0.2556805220334109,8.222844485325348,hartmann_6
7,0.5047735559110303,0.630778645577119,0.314286601382158,0.5787831211206981,0.9805598735392627,0.9985108450185943,-0.6628794412868344,-1.3092341349953573,True,-0.6463546937085229,pi,0.29145259998040274,False,True,7,150cdc03-4d3b-4249-8a24-b0f8b776ecfa,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",7.967163963291937,0.041907409697477395,8.630043404578771,57.69567055698833,7.92525655359446,8.242238650998333,-0.2556805220334109,8.222844485325348,hartmann_6
8,0.19189577967176752,0.46211778057465025,0.5748680290412868,0.5309707988197792,0.9148023186701282,0.4976247498961832,0.07064989828729883,1.261106269752897,True,1.1904563714655982,pi,0.3826031000353396,False,True,7,150cdc03-4d3b-4249-8a24-b0f8b776ecfa,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",7.967163963291937,0.07064989828729883,7.896514065004638,65.59218462199297,7.896514065004638,8.199023077749121,0.07064989828729883,7.896514065004638,hartmann_6
9,0.1462051139521482,0.3746467658246704,0.7040295049902905,0.5569136254150526,0.546933521846018,0.21005844493213577,-0.1231164805849424,-2.1549941253316227,True,-2.03187764474668,pi,0.4928144000004977,False,True,7,150cdc03-4d3b-4249-8a24-b0f8b776ecfa,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",7.967163963291937,0.07064989828729883,8.09028044387688,73.68246506586985,7.896514065004638,8.186940562874428,0.07064989828729883,7.896514065004638,hartmann_6
10,0.23269091665464614,0.29126242405919245,0.39868717005158916,0.40195139857710505,0.8988145059990882,0.2122205260981621,-0.256755314226912,0.1821574308384834,True,0.4389127450653954,pi,0.4671570000355132,False,True,7,150cdc03-4d3b-4249-8a24-b0f8b776ecfa,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",7.967163963291937,0.07064989828729883,8.22391927751885,81.9063843433887,7.896514065004638,8.190638434338869,0.07064989828729883,7.896514065004638,hartmann_6
