iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,imputed_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.028689008371944547,0.14792608457745593,0.9282110229603695,1.571302229950474,1.571302229950474,1.571302229950474,0.0,False,True,0.0,ucb,0.0,False,False,,11,00efa670-f93a-4c10-ae55-223b71c9883a,missing_low,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,6.395861733341463,6.395861733341463,6.395861733341463,6.395861733341463,1.571302229950474,6.395861733341463,hartmann_6
2,0.07042057615419683,0.12977394939929798,0.9483284532917751,0.6218835927963828,0.368993123729791,0.5113900218032627,0.37926057518372475,0.37926057518372475,0.37926057518372475,0.0,False,True,0.0,ucb,0.0,False,False,,11,00efa670-f93a-4c10-ae55-223b71c9883a,missing_low,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,7.587903388108212,13.983765121449675,6.395861733341463,6.991882560724838,1.571302229950474,6.395861733341463,hartmann_6
3,0.6628429525167993,0.2753088157611293,0.13796807286695534,0.7880395945039919,0.6703605841024838,0.5123823134831604,-0.6412990271898988,,-0.6412990271898988,0.0,False,True,,ucb,0.0,False,True,0.37926057518372475,11,00efa670-f93a-4c10-ae55-223b71c9883a,missing_low,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,8.608462990481836,22.59222811193151,6.395861733341463,7.530742703977171,1.571302229950474,6.395861733341463,hartmann_6
4,0.8167364359696581,0.5490752688700263,0.9809136392973055,0.20450946133004488,0.5537303628652278,0.4836246969233877,-0.45831383618453114,-0.45831383618453114,-0.45831383618453114,0.0,False,True,0.0,ucb,0.0,False,False,,11,00efa670-f93a-4c10-ae55-223b71c9883a,missing_low,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,8.425477799476468,31.01770591140798,6.395861733341463,7.754426477851995,1.571302229950474,6.395861733341463,hartmann_6
5,0.3532748550604481,0.5915953039490435,0.23530123166758055,0.8022026837784835,0.8673335518424147,0.12875967122785104,1.3104474652198819,1.3104474652198819,1.3104474652198819,0.0,False,True,0.0,ucb,0.0,False,False,,11,00efa670-f93a-4c10-ae55-223b71c9883a,missing_low,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,6.656716498072055,37.67442240948004,6.395861733341463,7.5348844818960075,1.571302229950474,6.395861733341463,hartmann_6
6,0.0,0.0,0.0,0.4902847530999334,0.0,1.0,-0.3948318718667017,-0.3948318718667017,-0.3948318718667017,0.0,False,True,0.0,ucb,0.4368501999997534,False,False,,11,00efa670-f93a-4c10-ae55-223b71c9883a,missing_low,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,8.36199583515864,46.036418244638675,6.395861733341463,7.672736374106446,1.571302229950474,6.395861733341463,hartmann_6
7,0.10580203789204949,0.6506357776559473,0.469897123069091,0.24506052277257112,0.42645116335772654,0.6156716208640037,2.2675795014967504,2.2675795014967504,2.2675795014967504,0.0,False,True,0.0,ucb,0.3223543999483809,False,False,,11,00efa670-f93a-4c10-ae55-223b71c9883a,missing_low,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.2675795014967504,5.699584461795187,51.736002706433865,5.699584461795187,7.390857529490552,2.2675795014967504,5.699584461795187,hartmann_6
8,0.0,1.0,0.4878539395969065,0.9252622158846382,0.0,0.08369613256043647,-0.5432459602319621,,-0.5432459602319621,0.0,False,True,,ucb,0.6371878999634646,False,True,-0.3948318718667017,11,00efa670-f93a-4c10-ae55-223b71c9883a,missing_low,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.2675795014967504,8.510409923523898,60.24641262995776,5.699584461795187,7.53080157874472,2.2675795014967504,5.699584461795187,hartmann_6
9,0.08751604114107599,0.5679282786571757,0.28368373902183597,0.1227639233759117,0.97467452307014,0.6429367206877387,-0.269294423900511,-0.269294423900511,-0.269294423900511,0.0,False,True,0.0,ucb,0.40902889997232705,False,False,,11,00efa670-f93a-4c10-ae55-223b71c9883a,missing_low,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.2675795014967504,8.236458387192448,68.4828710171502,5.699584461795187,7.609207890794467,2.2675795014967504,5.699584461795187,hartmann_6
10,0.05422343809485015,0.8608246445201235,0.5451913100370859,0.05052539452750016,0.321528712713532,0.5396840055661813,0.251445330360043,0.251445330360043,0.251445330360043,0.0,False,True,0.0,ucb,0.48877370002446696,False,False,,11,00efa670-f93a-4c10-ae55-223b71c9883a,missing_low,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.2675795014967504,7.715718632931894,76.1985896500821,5.699584461795187,7.61985896500821,2.2675795014967504,5.699584461795187,hartmann_6
11,0.18956217325774108,0.5602242933463335,0.42254069274626516,0.48417764854296547,0.3524199398995579,0.5317841273108173,2.1286549924537916,2.1286549924537916,2.1286549924537916,0.0,False,True,0.0,ucb,0.4346131000202149,False,False,,11,00efa670-f93a-4c10-ae55-223b71c9883a,missing_low,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.2675795014967504,5.838508970838145,82.03709862092025,5.699584461795187,7.457918056447295,2.2675795014967504,5.699584461795187,hartmann_6
