model,term,coefficient,ci_low,ci_high,p_bootstrap,bootstrap_reps_used,r_squared,n_cells,n_clusters,p_fdr
primary,const,0.48589743054149565,0.29838072632698814,0.6162025237172862,0.0005,2000,0.39982096139829615,160,20,
primary,log_noise,0.4340037185772384,0.15351179339320006,0.8085212315511913,0.0005,2000,0.39982096139829615,160,20,0.00125
primary,dim,-0.026228518575372194,-0.1322527931853485,0.20842618574196672,0.617,2000,0.39982096139829615,160,20,0.617
primary,log_opt_z,0.5993858026877009,0.24621925233717604,0.6981835383733658,0.0005,2000,0.39982096139829615,160,20,0.00125
primary,ruggedness,-0.15595675179652194,-0.25386886259467173,0.08209625160986239,0.218,2000,0.39982096139829615,160,20,0.27249999999999996
primary,log_tail_ratio,0.13106676145103455,0.004100920541178214,0.25004787478961127,0.045,2000,0.39982096139829615,160,20,0.075
primary,onset_20,-0.12573320234610208,-0.34201799439690767,0.08135474005814393,0.227,2000,0.39982096139829615,160,20,
sensitivity,const,0.48589743054149614,0.2896473610949857,0.6728035130315276,0.001,2000,0.40577182798118006,160,20,
sensitivity,log_noise,0.4340037185772385,0.15351179339320012,0.8085212315511915,0.0005,2000,0.40577182798118006,160,20,0.0035
sensitivity,dim,-0.02044283955858983,-0.07903035463378813,0.2672991612295533,0.752,2000,0.40577182798118006,160,20,0.786
sensitivity,log_opt_z,0.7959104778122302,-0.04748063881451139,1.1758951073816017,0.068,2000,0.40577182798118006,160,20,0.23800000000000002
sensitivity,ruggedness,-0.13622897095566164,-0.2369807801909209,0.1317631634655142,0.281,2000,0.40577182798118006,160,20,0.4917500000000001
sensitivity,log_tail_ratio,0.09855671421513823,-0.1212404040325684,0.21390000283041521,0.218,2000,0.40577182798118006,160,20,0.4917500000000001
sensitivity,log_sparsity,0.21002803989306348,-0.2817789346338648,0.4932035700312482,0.379,2000,0.40577182798118006,160,20,0.5306
sensitivity,skew,-0.016838811312357205,-0.30878770831359187,0.3736213661040216,0.786,2000,0.40577182798118006,160,20,0.786
sensitivity,onset_20,-0.12573320234610302,-0.34201799439690816,0.08135474005814465,0.227,2000,0.40577182798118006,160,20,
