dataset,error_model,jitter_std,jitter_iteration,mean,std,count,dz
shekel,gaussian,0.05,0,-1.0933988023498558,0.8536819270301561,5,-1.2808035027210218
rastrigin,gaussian,0.05,20,-0.2138367982888779,0.1847533614921741,5,-1.1574176326850525
ackley,gaussian,0.05,0,-2.323611768375763,2.2061716149782655,5,-1.0532325557087971
power_law_practice,gaussian,0.05,0,-0.0390597467020796,0.041121300848882235,5,-0.9498665143308892
moving_peaks,gaussian,0.05,0,-0.09609698134975038,0.10147354217306902,5,-0.9470151459367743
hartmann_6,gaussian,0.05,20,-0.24354065883846424,0.35084843948531347,5,-0.6941477613402891
griewank,gaussian,0.05,0,-0.026681982660525416,0.04027976524432864,5,-0.6624165383953476
levy_10,gaussian,0.05,20,-0.0599353374704682,0.10455962306201977,5,-0.5732168471467941
branin,gaussian,0.05,0,-0.0043386734999015,0.008050355618092883,5,-0.5389418437802286
shekel,gaussian,0.05,20,-1.724310305598388,3.613392996495217,5,-0.4771997696544133
levy_10,gaussian,0.05,0,-0.09179846069020939,0.20060803988245093,5,-0.45760110484106203
weber_fechner,gaussian,0.05,20,-0.01076571716450814,0.023660121529044023,5,-0.455015294460456
powell,gaussian,0.05,20,-0.0013315848467555403,0.0029307015045615965,5,-0.4543570352296018
hicks_law,gaussian,0.25,20,-6.125368411724999e-18,1.3696740155847018e-17,5,-0.4472135954999579
hicks_law,gaussian,1.0,20,-6.125368411724999e-18,1.3696740155847018e-17,5,-0.4472135954999579
weber_fechner,gaussian,5.0,20,-0.009929911962877519,0.02400633526653771,5,-0.41363714422162406
ackley,gaussian,0.25,0,-0.9338875526397385,2.4882739183842713,5,-0.37531541272037544
levy_10,gaussian,0.25,20,-0.035274159439970754,0.0987159439537877,5,-0.35732991072327475
steering_law,gaussian,0.25,0,-0.019785976169377783,0.0625215165506408,5,-0.31646667037181764
stevens,gaussian,0.05,0,-0.01801807949122938,0.06229166747098543,5,-0.2892534462915436
eggholder,gaussian,0.25,0,-0.06819941494360217,0.24713758720610296,5,-0.275957274304562
steering_law,gaussian,0.25,20,-0.00054267070716886,0.0021590844456920244,5,-0.251342974681532
