dataset,acquisition,error_model,jitter_std,jitter_iteration,n_seeds
ackley,logei,gaussian,0.05,0,5
ackley,logei,gaussian,0.05,20,5
ackley,logei,gaussian,0.25,0,5
ackley,logei,gaussian,0.25,20,5
ackley,logei,gaussian,1.0,0,5
ackley,logei,gaussian,1.0,20,5
ackley,logei,gaussian,5.0,0,5
ackley,logei,gaussian,5.0,20,5
branin,logei,gaussian,0.05,0,5
branin,logei,gaussian,0.05,20,5
branin,logei,gaussian,0.25,0,5
branin,logei,gaussian,0.25,20,5
branin,logei,gaussian,1.0,0,5
branin,logei,gaussian,1.0,20,5
branin,logei,gaussian,5.0,0,5
branin,logei,gaussian,5.0,20,5
eggholder,logei,gaussian,0.05,0,5
eggholder,logei,gaussian,0.05,20,5
eggholder,logei,gaussian,0.25,0,5
eggholder,logei,gaussian,0.25,20,5
eggholder,logei,gaussian,1.0,0,5
eggholder,logei,gaussian,1.0,20,5
eggholder,logei,gaussian,5.0,0,5
eggholder,logei,gaussian,5.0,20,5
griewank,logei,gaussian,0.05,0,5
griewank,logei,gaussian,0.05,20,5
griewank,logei,gaussian,0.25,0,5
griewank,logei,gaussian,0.25,20,5
griewank,logei,gaussian,1.0,0,5
griewank,logei,gaussian,1.0,20,5
griewank,logei,gaussian,5.0,0,5
griewank,logei,gaussian,5.0,20,5
hartmann_3,logei,gaussian,0.05,0,5
hartmann_3,logei,gaussian,0.05,20,5
hartmann_3,logei,gaussian,0.25,0,5
hartmann_3,logei,gaussian,0.25,20,5
hartmann_3,logei,gaussian,1.0,0,5
hartmann_3,logei,gaussian,1.0,20,5
hartmann_3,logei,gaussian,5.0,0,5
hartmann_3,logei,gaussian,5.0,20,5
hartmann_6,logei,gaussian,0.05,0,5
hartmann_6,logei,gaussian,0.05,20,5
hartmann_6,logei,gaussian,0.25,0,5
hartmann_6,logei,gaussian,0.25,20,5
hartmann_6,logei,gaussian,1.0,0,5
hartmann_6,logei,gaussian,1.0,20,5
hartmann_6,logei,gaussian,5.0,0,5
hartmann_6,logei,gaussian,5.0,20,5
hicks_law,logei,gaussian,0.05,0,5
hicks_law,logei,gaussian,0.05,20,5
hicks_law,logei,gaussian,0.25,0,5
hicks_law,logei,gaussian,0.25,20,5
hicks_law,logei,gaussian,1.0,0,5
hicks_law,logei,gaussian,1.0,20,5
hicks_law,logei,gaussian,5.0,0,5
hicks_law,logei,gaussian,5.0,20,5
levy_10,logei,gaussian,0.05,0,5
levy_10,logei,gaussian,0.05,20,5
levy_10,logei,gaussian,0.25,0,5
levy_10,logei,gaussian,0.25,20,5
levy_10,logei,gaussian,1.0,0,5
levy_10,logei,gaussian,1.0,20,5
levy_10,logei,gaussian,5.0,0,5
levy_10,logei,gaussian,5.0,20,5
michalewicz,logei,gaussian,0.05,0,5
michalewicz,logei,gaussian,0.05,20,5
michalewicz,logei,gaussian,0.25,0,5
michalewicz,logei,gaussian,0.25,20,5
michalewicz,logei,gaussian,1.0,0,5
michalewicz,logei,gaussian,1.0,20,5
michalewicz,logei,gaussian,5.0,0,5
