iteration,x0,x1,x2,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,ceiling_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,-0.39422817498468915,1.2350394760585366,True,1.6292676510432258,qnei,0.0,False,1.6407415411981159,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,-0.39422817498468915,3.4491291171404166,3.4491291171404166,3.4491291171404166,3.4491291171404166,-0.39422817498468915,3.4491291171404166,hartmann_3
2,0.7775340829201788,0.7160746296035653,0.9153801204905075,1.7378678023125438,1.6149769052718232,True,-0.12289089704072054,qnei,0.0,False,1.6407415411981159,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.7378678023125438,1.3170331398431838,4.7661622569836,1.3170331398431838,2.3830811284918,1.7378678023125438,1.3170331398431838,hartmann_3
3,0.8603936491828846,0.9182376290487624,0.026587734467597213,-0.9871025361789454,-0.13963944352668578,True,0.8474630926522596,qnei,0.0,False,2.237867802312544,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.7378678023125438,4.0420034783346726,8.808165735318273,1.3170331398431838,2.936055245106091,1.7378678023125438,1.3170331398431838,hartmann_3
4,0.4372480001295087,0.48494432697728806,0.06515419737010752,-0.9087857119633538,-2.5140903019361858,True,-1.605304589972832,qnei,0.0,False,2.237867802312544,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.7378678023125438,3.9636866541190816,12.771852389437354,1.3170331398431838,3.1929630973593386,1.7378678023125438,1.3170331398431838,hartmann_3
5,0.005626050679392924,0.830621436971257,0.9833022442861755,0.28104361833347785,0.5563100439218129,True,0.2752664255883351,qnei,0.0,False,2.237867802312544,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.7378678023125438,2.77385732382225,15.545709713259605,1.3170331398431838,3.109141942651921,1.7378678023125438,1.3170331398431838,hartmann_3
6,0.9596971196062666,0.7979444274657194,1.0,0.20280203501507643,-0.2364744074969221,True,-0.43927644251199854,qnei,0.36380130000179633,False,2.237867802312544,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.7378678023125438,2.8520989071406513,18.397808620400255,1.3170331398431838,3.066301436733376,1.7378678023125438,1.3170331398431838,hartmann_3
7,0.7663201389407839,0.09912244463520178,0.8484418559739079,-0.3944787365847343,-0.26628214116887206,True,0.12819659541586226,qnei,0.3850874000345357,False,2.237867802312544,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.7378678023125438,3.449379678740462,21.84718829914072,1.3170331398431838,3.1210268998772457,1.7378678023125438,1.3170331398431838,hartmann_3
8,0.8025300595899649,0.5727410832559781,0.6509666199270956,0.4741728838490841,1.2152281603127495,True,0.7410552764636653,qnei,0.21584259998053312,False,2.237867802312544,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.7378678023125438,2.5807280583066436,24.427916357447362,1.3170331398431838,3.0534895446809203,1.7378678023125438,1.3170331398431838,hartmann_3
9,0.7300095805996236,0.9840361216849344,1.0,-0.6100299143057714,0.2501739694301678,True,0.8602038837359391,qnei,0.2115973000181839,False,2.237867802312544,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.7378678023125438,3.664930856461499,28.09284721390886,1.3170331398431838,3.1214274682120955,1.7378678023125438,1.3170331398431838,hartmann_3
10,0.8153290403282687,0.5743278444766597,1.0,1.0724239873366923,0.594904532514234,True,-0.4775194548224583,qnei,0.26476150000235066,False,2.237867802312544,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.7378678023125438,1.9824769548190353,30.075324168727896,1.3170331398431838,3.0075324168727895,1.7378678023125438,1.3170331398431838,hartmann_3
11,0.7443200730723439,0.6887057321386385,0.8309504067151366,2.145299202866564,2.237867802312544,True,0.09256859944597995,qnei,0.21524290001252666,False,2.237867802312544,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.145299202866564,0.9096017392891635,30.98492590801706,0.9096017392891635,2.8168114461833693,2.145299202866564,0.9096017392891635,hartmann_3
12,0.559320418912176,0.6957996705837632,0.8368896780479278,2.2270729402655314,2.645299202866564,True,0.4182262626010327,qnei,0.3181879000039771,False,2.645299202866564,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.2270729402655314,0.8278280018901962,31.812753909907258,0.8278280018901962,2.651062825825605,2.2270729402655314,0.8278280018901962,hartmann_3
13,0.48635635035105196,0.8472870113704631,0.8052227844286631,0.7941787625693539,2.520964095924306,True,1.726785333354952,qnei,0.29900380002800375,False,2.7270729402655314,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.2270729402655314,2.2607221795863737,34.07347608949363,0.8278280018901962,2.6210366222687407,2.2270729402655314,0.8278280018901962,hartmann_3
14,0.42915341556561803,0.6935357769799163,0.815022518100233,2.2252435573586276,1.6722016862151823,True,-0.5530418711434453,qnei,0.25491760001750663,False,2.7270729402655314,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.2270729402655314,0.8296573847971,34.90313347429073,0.8278280018901962,2.493080962449338,2.2270729402655314,0.8278280018901962,hartmann_3
15,0.6022138191756758,0.818475123504741,0.8095712161630942,0.9614555475951246,0.21870819608174008,True,-0.7427473515133846,qnei,0.24346269998932257,False,2.7270729402655314,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.2270729402655314,2.093445394560603,36.99657886885134,0.8278280018901962,2.4664385912567557,2.2270729402655314,0.8278280018901962,hartmann_3
16,0.4985713358589474,0.534346511528996,0.7899270533427125,2.592871949643653,2.43815044689622,True,-0.15472150274743335,qnei,0.26207960001192987,False,2.7270729402655314,9,529fd651-e862-4ee3-87b1-715568a9490d,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,2.592871949643653,0.4620289925120744,37.45860786136341,0.4620289925120744,2.341162991335213,2.2270729402655314,0.8278280018901962,hartmann_3
