iteration,x0,x1,x2,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,ceiling_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.3071663307112894,-0.028062980932793302,True,-0.3352293116440827,qnei,0.0,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,0.3071663307112894,2.747734611444438,2.747734611444438,2.747734611444438,2.747734611444438,0.3071663307112894,2.747734611444438,hartmann_3
2,0.14928212308202027,0.5128046164365648,0.13591960402050662,-0.8703311095386822,-1.2978488245913167,True,-0.4275177150526345,qnei,0.0,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.92523205169441,6.672966663138848,2.747734611444438,3.336483331569424,0.3071663307112894,2.747734611444438,hartmann_3
3,0.6890364797811311,0.841747724312279,0.4255089974049766,-0.2909134329371896,-0.6077202962389123,True,-0.31680686330172275,qnei,0.0,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.345814375092917,10.018781038231765,2.747734611444438,3.3395936794105885,0.3071663307112894,2.747734611444438,hartmann_3
4,0.9569260034533662,0.8253329063847983,0.338215312471576,-0.8973733195280779,-0.7804031708905205,True,0.11697014863755739,qnei,0.0,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.9522742616838054,13.97105529991557,2.747734611444438,3.4927638249788924,0.3071663307112894,2.747734611444438,hartmann_3
5,0.5757605479445136,0.7533018647084769,0.8271039370247955,1.6562044985234257,1.472077281989621,True,-0.1841272165338046,qnei,0.0,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,1.6562044985234257,1.398696443632302,15.369751743547871,1.398696443632302,3.073950348709574,1.6562044985234257,1.398696443632302,hartmann_3
6,0.483028958895367,0.8481484339707478,0.9788878009995925,0.18032248776122395,-0.29730966505662343,True,-0.4776321528178474,qnei,0.2466419999836944,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,1.6562044985234257,2.874578454394504,18.244330197942375,1.398696443632302,3.0407216996570625,1.6562044985234257,1.398696443632302,hartmann_3
7,0.5785444772346711,0.7636315922242936,0.7662646860713195,1.231523796551285,0.992408105370334,True,-0.2391156911809511,qnei,0.2715866999933496,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,1.6562044985234257,1.8233771456044425,20.067707343546818,1.398696443632302,2.8668153347924026,1.6562044985234257,1.398696443632302,hartmann_3
8,0.8919392896805115,0.794098295207982,0.8349511502770602,1.0957314573624082,1.0566156746244126,True,-0.03911578273799554,qnei,0.23316040000645444,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,1.6562044985234257,1.9591694847933194,22.026876828340136,1.398696443632302,2.753359603542517,1.6562044985234257,1.398696443632302,hartmann_3
9,0.2522169403520283,0.6433255060317342,0.8334191516894078,2.7332793606907186,1.6407415411981159,True,-1.0925378194926028,qnei,0.26319780002813786,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.7332793606907186,0.32162158146500897,22.348498409805146,0.32162158146500897,2.4831664899783497,2.7332793606907186,0.32162158146500897,hartmann_3
10,0.0,0.7952892778260569,0.8311795165598521,1.440769099272691,1.4250367426171398,True,-0.015732356655551172,qnei,0.21467650000704452,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.7332793606907186,1.6141318428830367,23.962630252688182,0.32162158146500897,2.3962630252688184,2.7332793606907186,0.32162158146500897,hartmann_3
11,0.0,0.5977676384597351,0.8084321705831835,2.7978030545879546,1.6407415411981159,True,-1.1570615133898388,qnei,0.2730804000166245,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.7978030545879546,0.25709788756777296,24.219728140255956,0.25709788756777296,2.201793467295996,2.7332793606907186,0.32162158146500897,hartmann_3
12,0.0,0.615011438373877,0.8451959937471312,2.9127919071693604,1.6407415411981159,True,-1.2720503659712445,qnei,0.3265775000327267,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.9127919071693604,0.14210903498636718,24.36183717524232,0.14210903498636718,2.0301530979368603,2.7332793606907186,0.32162158146500897,hartmann_3
13,0.0,0.0,0.48561236503735566,-0.8239837081913656,-1.1562239050149976,True,-0.33224019682363204,qnei,0.22285899997223169,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.9127919071693604,3.8788846503470933,28.240721825589414,0.14210903498636718,2.172363217353032,2.7332793606907186,0.32162158146500897,hartmann_3
14,0.0,0.6540160179040927,0.8242752300714191,2.6384129830342786,1.6407415411981159,True,-0.9976714418361627,qnei,0.21361949999118224,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.9127919071693604,0.416487959121449,28.657209784710865,0.14210903498636718,2.0469435560507763,2.7332793606907186,0.32162158146500897,hartmann_3
15,1.0,0.0,0.0,-0.9549860660082171,-1.137474336364248,True,-0.182488270356031,qnei,0.2650270000449382,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.9127919071693604,4.009887008163945,32.66709679287481,0.14210903498636718,2.1778064528583205,2.7332793606907186,0.32162158146500897,hartmann_3
16,0.0,0.5480490164725141,0.8286703923178762,2.987457969257386,1.6407415411981159,True,-1.34671642805927,qnei,0.2467041999916546,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.987457969257386,0.06744297289834167,32.73453976577315,0.06744297289834167,2.045908735360822,2.7332793606907186,0.32162158146500897,hartmann_3
17,0.15943836280445922,0.613512502749555,0.8245766876901173,2.8577362730050884,1.6407415411981159,True,-1.2169947318069725,qnei,0.4817587999859825,False,1.6407415411981159,10,948bdad2-1679-4594-9acc-d3c7f033716a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.987457969257386,0.19716466915063924,32.93170443492379,0.06744297289834167,1.9371590844072817,2.7332793606907186,0.32162158146500897,hartmann_3
