run_id,dataset,objective,acquisition,seed,oracle_model,baseline,error_model,jitter_std,jitter_iteration,n_iterations,acq_opt_failures,response_start_iteration,response_end_iteration,response_l2,final_best_true,final_simple_regret_true,final_cum_regret_true,final_avg_regret_true,auc_simple_regret_true,auc_simple_regret_true_postonset_per_iter,final_inference_simple_regret_true,auc_inference_simple_regret_true,param_columns,response_x0,response_x1,response_x2,response_x3,response_x4
fe93bb1d-9076-4e97-8542-38f78d908d52,michalewicz,value,ts,10,exact,True,none,0.0,0,50,0,1,2,3.409690555775156,2.599619901072057,5.448101265616921,395.9676766258112,7.919353532516223,319.7303014209456,6.525108192264195,5.448101265616921,319.7303014209456,"x0,x1,x2,x3,x4",-2.5763639183200144,1.5122202941068952,0.04179210139287726,0.8677923190970707,1.3952484867540926
fe93bb1d-9076-4e97-8542-38f78d908d52,michalewicz,value,ts,10,exact,True,none,0.0,20,50,0,21,22,1.74342579367901,2.599619901072057,5.448101265616921,395.9676766258112,7.919353532516223,319.7303014209456,5.609856323669874,5.448101265616921,319.7303014209456,"x0,x1,x2,x3,x4",0.0,1.4108275439836429,-0.7826564803418754,0.43832929693727163,-0.4943838593923886
d4b5b0b2-75fd-4732-9192-acd3e3dea8eb,michalewicz,value,ts,10,exact,False,gaussian,0.05,0,50,0,1,2,3.409690555775156,2.49983582765533,5.547885339033648,399.2871457876328,7.985742915752656,316.0815611263113,6.450644104618599,5.547885339033648,316.17804458017,"x0,x1,x2,x3,x4",-2.5763639183200144,1.5122202941068952,0.04179210139287726,0.8677923190970707,1.3952484867540926
418e8364-73ad-4cde-b71d-a61e4b3ab727,michalewicz,value,ts,10,exact,False,gaussian,0.25,0,50,0,1,2,3.409690555775156,2.552976082148296,5.494745084540682,409.9085967558596,8.198171935117193,318.6933946235697,6.503946829052443,5.494745084540682,320.87567307418027,"x0,x1,x2,x3,x4",-2.5763639183200144,1.5122202941068952,0.04179210139287726,0.8677923190970707,1.3952484867540926
ff436872-718b-4a52-ab13-3e1a926de9af,michalewicz,value,ts,10,exact,False,gaussian,1.0,0,50,0,1,2,3.409690555775156,3.870165052080717,4.177556114608262,405.43903923910335,8.108780784782066,240.1117786806409,4.90024038123757,4.177556114608262,241.75538279969115,"x0,x1,x2,x3,x4",-2.5763639183200144,1.5122202941068952,0.04179210139287726,0.8677923190970707,1.3952484867540926
2e94d998-a3eb-4669-bd40-438a0e5ece2f,michalewicz,value,ts,10,exact,False,gaussian,5.0,0,50,0,1,2,3.409690555775156,0.7737109165259577,7.274010250163021,426.9530267501341,8.539060535002681,369.16973905618744,7.534076307269132,7.274010250163021,377.4227637902868,"x0,x1,x2,x3,x4",-2.5763639183200144,1.5122202941068952,0.04179210139287726,0.8677923190970707,1.3952484867540926
3be68043-b8a6-4442-a971-db91aa8acf33,michalewicz,value,ts,10,exact,False,gaussian,0.05,20,50,0,21,22,1.7327128333707014,4.796337454071759,3.251383712617219,371.47012222904834,7.429402444580967,283.5002372949882,4.360543767602377,3.251383712617219,283.5002372949882,"x0,x1,x2,x3,x4",0.0,1.4035109375035488,-0.7758274878598628,0.43131024219795533,-0.49448356422800255
ee323e23-906a-41f4-85db-8566cb50a91d,michalewicz,value,ts,10,exact,False,gaussian,0.25,20,50,0,21,22,1.6551378485144315,2.664714624554879,5.383006542134099,393.5730909444399,7.871461818888797,316.53094132066235,5.499533561591145,5.5046925166778085,318.17370197700245,"x0,x1,x2,x3,x4",0.0,1.3554509232711731,-0.716376862694883,0.3861463941621013,-0.4898257292745549
b94a7658-a42b-40ca-8609-cab9a0dc2ea9,michalewicz,value,ts,10,exact,False,gaussian,1.0,20,50,0,21,22,1.6021975704213354,2.0077566877184383,6.03996447897054,411.9482458973181,8.238964917946362,332.2034379246649,6.039964478970541,6.860276433819912,348.1995210442277,"x0,x1,x2,x3,x4",0.0,1.3263057479096179,-0.6672738748569209,0.36026901646414533,-0.48259913948879607
aa6d2f8b-0a6f-4697-9a48-c3671bbaa909,michalewicz,value,ts,10,exact,False,gaussian,5.0,20,50,0,21,22,2.5018139500420946,2.3599285089955666,5.687792657693412,418.94605751226817,8.378921150245363,322.51871283954387,5.706008441552576,8.81108899339767,395.1348803096874,"x0,x1,x2,x3,x4",0.0,0.8720633165623081,-1.5118325769866214,-1.7427982948161302,-0.41904054133169133
9311d391-8487-456f-a66c-8b4277d1fc41,michalewicz,value,ts,11,exact,True,none,0.0,0,50,0,1,2,4.57017014560389,2.461379900256671,5.586341266432307,400.0610851582104,8.001221703164209,299.93981041045527,6.121220620621536,5.586341266432307,299.93981041045527,"x0,x1,x2,x3,x4",2.5121457262230966,-1.347294900034295,-1.481965935395698,2.889132524111535,1.488981425934305
9311d391-8487-456f-a66c-8b4277d1fc41,michalewicz,value,ts,11,exact,True,none,0.0,20,50,0,21,22,5.372418588120241,2.461379900256671,5.586341266432307,400.0610851582104,8.001221703164209,299.93981041045527,5.778715421869362,5.586341266432307,299.93981041045527,"x0,x1,x2,x3,x4",-3.141592653589793,-2.127263651068838,-2.5037211910141526,0.0,2.8634606058750784
37eeab25-b8da-46ff-adf0-cf6e33980fdb,michalewicz,value,ts,11,exact,False,gaussian,0.05,0,50,0,1,2,4.57017014560389,3.623552194652599,4.424168972036379,404.833815455861,8.09667630911722,315.64197370118103,6.441672932677164,4.424168972036379,315.64197370118103,"x0,x1,x2,x3,x4",2.5121457262230966,-1.347294900034295,-1.481965935395698,2.889132524111535,1.488981425934305
7ca3a907-b3ba-49fe-9fac-dd08e4d100b4,michalewicz,value,ts,11,exact,False,gaussian,0.25,0,50,0,1,2,4.57017014560389,3.882048030151374,4.165673136537604,382.3035784075212,7.646071568150424,225.09873443377333,4.593851723138231,4.165673136537604,226.4544479066366,"x0,x1,x2,x3,x4",2.5121457262230966,-1.347294900034295,-1.481965935395698,2.889132524111535,1.488981425934305
74331d00-7420-40e3-83ce-287f3950504b,michalewicz,value,ts,11,exact,False,gaussian,1.0,0,50,0,1,2,4.57017014560389,1.543190721270069,6.50453044541891,417.4324687666423,8.348649375332846,329.28550776486554,6.7201124033646025,9.101658589458632,406.60827534411425,"x0,x1,x2,x3,x4",2.5121457262230966,-1.347294900034295,-1.481965935395698,2.889132524111535,1.488981425934305
52a3dba9-e89d-468c-9555-d6d8ff947c78,michalewicz,value,ts,11,exact,False,gaussian,5.0,0,50,0,1,2,4.57017014560389,2.464007541954194,5.583713624734784,406.9657809940064,8.13931561988013,293.3682720993134,5.987107593863539,8.362037660860869,393.9206201988785,"x0,x1,x2,x3,x4",2.5121457262230966,-1.347294900034295,-1.481965935395698,2.889132524111535,1.488981425934305
2e3da424-7673-447f-a480-71bdf24eba3f,michalewicz,value,ts,11,exact,False,gaussian,0.05,20,50,0,21,22,5.372094097114435,2.5232285790354028,5.524492587653576,404.1662850489748,8.083325700979497,307.03007160072855,6.023207187051203,5.524492587653576,307.03007160072855,"x0,x1,x2,x3,x4",-3.141592653589793,-2.126444013707063,-2.5037211910141526,0.0,2.8634606058750784
40d5cbef-0eda-4872-b657-4f21f923d1e7,michalewicz,value,ts,11,exact,False,gaussian,0.25,20,50,0,21,22,5.3719207188829365,3.8416209715210576,4.20610019516792,402.3117823726724,8.046235647453448,305.106437460988,5.956874975336013,4.20610019516792,305.106437460988,"x0,x1,x2,x3,x4",-3.141592653589793,-2.1260059654532033,-2.5037211910141526,0.0,2.8634606058750784
5ab6a772-c8d6-4c60-b0b1-f278deeb8494,michalewicz,value,ts,11,exact,False,gaussian,1.0,20,50,0,21,22,5.370342126644283,2.8505123691231105,5.197208797565867,399.712455929419,7.99424911858838,293.3907809229372,5.552886818851502,6.094859008202459,308.5621636167182,"x0,x1,x2,x3,x4",-3.141592653589793,-2.1220140697905565,-2.5037211910141526,0.0,2.8634606058750784
3f697b3f-252a-4855-85c1-4bbb3b8cf599,michalewicz,value,ts,11,exact,False,gaussian,5.0,20,50,0,21,22,5.303783009016202,2.08622158607666,5.961499580612319,418.043337383833,8.36086674767666,310.07194623238803,6.1280994157291175,8.99756841855545,389.0859607807336,"x0,x1,x2,x3,x4",-3.141592653589793,-1.992838481087802,-2.4677313371874168,0.0,2.8634606058750784
1fe89bc2-fd0e-43f3-beea-e5e658fbd38f,michalewicz,value,ts,7,exact,True,none,0.0,0,50,0,1,2,3.462243739646996,2.7382691485024484,5.30945201818653,394.0971705409232,7.881943410818463,277.8992482293024,5.671413229169437,5.30945201818653,277.8992482293024,"x0,x1,x2,x3,x4",0.7805537608974431,-2.802138843683271,0.14307670014143614,1.7965582081583973,0.5270608146792729
