dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_x0,delta_excess_x1,delta_excess_x2,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
iso_hartmann_3,composite,qnei,gradient_boosting,gaussian,0.230797,0,10,"x0,x1,x2",0.0,0.0,0.0,0.0,0.2716801738791008,-5.857972816263469,-0.11715945632526958,3.326699585917652
iso_hartmann_3,composite,qnei,gradient_boosting,gaussian,0.923189,0,10,"x0,x1,x2",0.0,0.0,0.0,0.0,0.44714044207721937,9.547553319731193,0.19095106639462367,9.82341449174951
iso_hartmann_3,composite,qnei,gradient_boosting,gaussian,4.615944,0,10,"x0,x1,x2",0.0,0.0,0.0,0.0,0.44690363403275235,37.74011407501095,0.7548022815002189,28.204703753897462
iso_hartmann_3,composite,ucb,gradient_boosting,gaussian,0.230797,0,10,"x0,x1,x2",0.0,0.0,0.0,0.0,-0.18980931251851763,0.21317253979829331,0.004263450795966017,4.450647798780537
iso_hartmann_3,composite,ucb,gradient_boosting,gaussian,0.923189,0,10,"x0,x1,x2",0.0,0.0,0.0,0.0,-0.09578579466849435,23.672585028521667,0.4734517005704333,17.235152351013546
iso_hartmann_3,composite,ucb,gradient_boosting,gaussian,4.615944,0,10,"x0,x1,x2",0.0,0.0,0.0,0.0,1.595296149263239,116.4900787625759,2.329801575251518,64.60949404516117
iso_hartmann_3,composite,ei,gradient_boosting,gaussian,0.230797,0,10,"x0,x1,x2",0.0,0.0,0.0,0.0,0.5399067570753839,35.35387143142482,0.7070774286284967,17.019621024427217
iso_hartmann_3,composite,ei,gradient_boosting,gaussian,0.923189,0,10,"x0,x1,x2",0.0,0.0,0.0,0.0,0.3777958112859685,-23.762537894402513,-0.47525075788805027,15.303623450992696
iso_hartmann_3,composite,ei,gradient_boosting,gaussian,4.615944,0,10,"x0,x1,x2",0.0,0.0,0.0,0.0,1.0104177908575838,71.72240897313476,1.434448179462695,32.56259112161975
iso_hartmann_3,composite,random,gradient_boosting,gaussian,0.230797,0,10,"x0,x1,x2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_hartmann_3,composite,random,gradient_boosting,gaussian,0.923189,0,10,"x0,x1,x2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_hartmann_3,composite,random,gradient_boosting,gaussian,4.615944,0,10,"x0,x1,x2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_hartmann_3,composite,sobol,gradient_boosting,gaussian,0.230797,0,10,"x0,x1,x2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_hartmann_3,composite,sobol,gradient_boosting,gaussian,0.923189,0,10,"x0,x1,x2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_hartmann_3,composite,sobol,gradient_boosting,gaussian,4.615944,0,10,"x0,x1,x2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
