iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,ceiling_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.6927433679651523,0.8158171113360575,0.3444067577928567,0.04483817569041881,-0.40027026423940654,-1.8840840914649806,True,-1.483813827225574,qnei,0.0,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,-0.40027026423940654,2.5535755469600225,2.5535755469600225,2.5535755469600225,2.5535755469600225,-0.40027026423940654,2.5535755469600225,weber_fechner
2,0.571597257033731,0.14624542672359753,0.7187713768754712,0.34535650407583973,0.014820762370681688,-0.8595707421793811,True,-0.8743915045500628,qnei,0.0,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,0.014820762370681688,2.1384845203499343,4.692060067309956,2.1384845203499343,2.346030033654978,0.014820762370681688,2.1384845203499343,weber_fechner
3,0.4570096756088713,0.9759378873901753,0.7814660277720307,0.8437900452639759,1.4719341425949803,-0.4291532426798508,True,-1.9010873852748311,qnei,0.0,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,0.6813711401256355,5.373431207435592,0.6813711401256355,1.791143735811864,1.4719341425949803,0.6813711401256355,weber_fechner
4,0.5551143840748602,0.9416213625858931,0.018325819375109798,0.8891839058918612,-0.2906353612420239,0.6874810940194656,True,0.9781164552614894,qnei,0.0,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,2.4439406439626397,7.8173718513982315,0.6813711401256355,1.9543429628495579,-0.2906353612420239,2.4439406439626397,weber_fechner
5,0.3897584833499136,0.23174012788381404,0.5343942272533609,0.9446902786527566,0.4426699138688091,0.44269841757816447,True,2.850370935536528e-05,qnei,0.0,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,1.7106353688518068,9.52800722025004,0.6813711401256355,1.9056014440500078,-0.2906353612420239,2.4439406439626397,weber_fechner
6,0.45014179082119055,0.11063123141480731,0.0,1.0,-2.094310503982429,-2.14043168793232,True,-0.046121183949891176,qnei,0.23080619995016605,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,4.247615786703045,13.775623006953083,0.6813711401256355,2.295937167825514,-0.2906353612420239,2.4439406439626397,weber_fechner
7,0.5168600877538202,1.0,0.15326560733612488,1.0,0.7575561328173364,0.8107083124930127,True,0.053152179675676314,qnei,0.26234760001534596,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,1.3957491499032795,15.171372156856362,0.6813711401256355,2.167338879550909,0.7575561328173364,1.3957491499032795,weber_fechner
8,0.4636371314078168,0.7354993093752034,0.32452511004733925,0.9520861719937632,0.9034956280119316,-0.1706243035814513,True,-1.074119931593383,qnei,0.2970931999734603,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,1.249809654708684,16.421181811565045,0.6813711401256355,2.0526477264456306,0.7575561328173364,1.3957491499032795,weber_fechner
9,0.792953112255944,1.0,0.09222188494660122,1.0,0.7311032584103803,1.0704656187052728,True,0.33936236029489253,qnei,0.22776320000411943,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,1.4222020243102356,17.84338383587528,0.6813711401256355,1.982598203986142,0.7311032584103803,1.4222020243102356,weber_fechner
10,0.0,0.24890184460224063,0.7859014011502012,1.0,-1.3540501163723353,-0.9360373587127957,True,0.4180127576595396,qnei,0.32163120002951473,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,3.507355399092951,21.35073923496823,0.6813711401256355,2.1350739234968232,0.7311032584103803,1.4222020243102356,weber_fechner
11,1.0,0.9005845596793565,0.09886560241910707,1.0,0.8376335731147161,-0.6609363711032933,True,-1.4985699442180094,qnei,0.3596106000477448,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,1.3156717096058999,22.66641094457413,0.6813711401256355,2.0605828131431028,0.7311032584103803,1.4222020243102356,weber_fechner
12,0.6808744076421821,1.0,0.1071716295342422,1.0,0.7232899216108636,0.8044757117277046,True,0.08118579011684102,qnei,0.26506559998961166,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,1.4300153611097524,24.096426305683885,0.6813711401256355,2.008035525473657,0.7311032584103803,1.4222020243102356,weber_fechner
13,0.7847392755041624,1.0,0.0,0.8367961371208867,-0.6860868214696201,-1.7086843073243065,True,-1.0225974858546865,qnei,0.36428219999652356,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,2.839392104190236,26.93581840987412,0.6813711401256355,2.0719860315287786,0.7311032584103803,1.4222020243102356,weber_fechner
14,0.6165804218256529,1.0,0.06143226056546279,0.9484950796625989,0.3593189691546716,-1.4829170877902451,True,-1.8422360569449168,qnei,0.29647649999242276,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,1.7939863135659442,28.729804723440065,0.6813711401256355,2.0521289088171475,0.7311032584103803,1.4222020243102356,weber_fechner
15,0.7785629881239948,1.0,0.3314198984902198,1.0,1.4015122652585617,1.1749730985939961,True,-0.22653916666456553,qnei,0.5829219999723136,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,0.7517930174620542,29.481597740902117,0.6813711401256355,1.9654398493934744,1.4015122652585617,0.7517930174620542,weber_fechner
16,0.7266433824104157,0.9999994110840535,0.08445493385849007,1.0,0.6378598586473362,-0.47499848992475446,True,-1.1128583485720906,qnei,0.38627369998721406,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,1.5154454240732798,30.9970431649754,0.6813711401256355,1.9373151978109624,1.4015122652585617,0.7517930174620542,weber_fechner
17,0.7905222738343415,1.0,0.11138377473669775,1.0,0.8263577954789855,0.6183460700389918,True,-0.2080117254399937,qnei,0.550742799998261,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,1.3269474872416303,32.32399065221703,0.6813711401256355,1.9014112148362958,1.4015122652585617,0.7517930174620542,weber_fechner
18,0.11499197584580689,1.0,0.43535223527565964,1.0,0.5119420253907432,0.7347973388618573,True,0.2228553134711141,qnei,0.5332749999943189,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.4719341425949803,1.6413632573298726,33.9653539095469,0.6813711401256355,1.8869641060859388,1.4015122652585617,0.7517930174620542,weber_fechner
19,1.0,1.0,0.5120083665690404,1.0,1.7808068205837173,1.1749730985939961,True,-0.6058337219897212,qnei,0.2652898000087589,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.7808068205837173,0.3724984621368985,34.337852371683795,0.3724984621368985,1.8072553879833577,1.4015122652585617,0.7517930174620542,weber_fechner
20,1.0,0.6486058240205188,0.5083182448196347,1.0,1.5354883061831561,1.1749730985939961,True,-0.36051520758916,qnei,0.2003262999933213,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.7808068205837173,0.6178169765374597,34.95566934822126,0.3724984621368985,1.7477834674110628,1.4015122652585617,0.7517930174620542,weber_fechner
21,1.0,1.0,0.4433500902539383,0.8520821419041317,1.6118482695169418,1.1749730985939961,True,-0.4368751709229457,qnei,0.33426309999777004,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.7808068205837173,0.541457013203674,35.49712636142493,0.3724984621368985,1.6903393505440445,1.4015122652585617,0.7517930174620542,weber_fechner
22,0.0,1.0,1.0,0.0,-3.0559917112647907,-3.235192278304601,True,-0.17920056703981047,qnei,0.23725930001819506,False,1.1749730985939961,15,0c985eee-6915-4916-83d8-6da60a624cd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,1.7808068205837173,5.209296993985406,40.70642335541034,0.3724984621368985,1.85029197070047,1.4015122652585617,0.7517930174620542,weber_fechner
