iteration,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,min_distance_redirect,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-3.4605544678887856,9.74553686675851,-3.625783230289665,5.770978716400579,7.3979302339243205,-2.178303869216121,-1.2423625375440235,-2.5450219382129387,-7.860928070544513,-0.42069091674566117,-5.172957098306354,0.4104892994768138,0.6640310935585574,True,0.2535417940817436,logei,0.0,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.4104892994768138,2.2139910323017986,2.2139910323017986,2.2139910323017986,2.2139910323017986,0.4104892994768138,2.2139910323017986,levy_10
2,-4.857095028977405,-6.305368863311703,-6.122709021913786,6.276553403100419,-1.5403162371154728,-4.881589896835479,1.8180570353082324,2.085445921169116,2.937160541203758,8.22712760897048,-6.9958777607606315,0.2824822027103648,0.9848249075445954,True,0.7023427048342306,logei,0.0,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.4104892994768138,2.3419981290682474,4.5559891613700465,2.2139910323017986,2.2779945806850233,0.2824822027103648,2.3419981290682474,levy_10
3,-2.5722574311520763,-4.307587249783749,-9.664358953510986,-6.36892125274541,-2.1066283740279435,-2.1337857982735153,2.3345588881400197,-0.954669423457073,2.1466133514294974,-5.538800291732544,-7.320257364012419,-0.3949587224150516,-0.3539214598945071,True,0.041037262520544515,logei,0.0,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.4104892994768138,3.019439054193664,7.5754282155637105,2.2139910323017986,2.525142738521237,0.2824822027103648,2.3419981290682474,levy_10
4,-3.4142124657649227,-8.07783132943706,-2.6832017066440805,-0.7964138502008424,4.379772877790282,7.3404973867082575,-8.963286949666518,9.12191821331799,4.402028504307356,9.775471973463084,-7.624457814034196,-0.35953658243578,0.7924466413492451,True,1.1519832237850252,logei,0.0,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.4104892994768138,2.984016914214392,10.559445129778103,2.2139910323017986,2.639861282444526,0.2824822027103648,2.3419981290682474,levy_10
5,-2.499564886034009,0.045080238101624204,4.944469240369569,-3.7793810035347697,-1.0019144783080218,-4.47681294798707,-1.0166967459785354,0.19948015802741992,1.30055879529049,4.083814301840809,-5.1636002684237425,2.0834676156006213,1.380924561022796,True,-0.7025430545778253,logei,0.0,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,0.541012716177991,11.100457845956093,0.541012716177991,2.2200915691912186,2.0834676156006213,0.541012716177991,levy_10
6,-2.758154375552638,5.891128430953873,9.12211577175133,0.470985293922495,1.409047929814796,-6.416726064326438,-1.321417050244714,-1.3253729174454305,-2.362900735516926,6.247116022445191,-3.9678573968465694,0.054314657082352766,0.15785201551834022,True,0.10353735843598745,logei,0.41512469999725,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,2.5701656746962596,13.670623520652352,0.541012716177991,2.2784372534420587,2.0834676156006213,0.541012716177991,levy_10
7,-2.4602864625553877,-1.9911403609828826,3.3910095602452754,-4.91189100390044,-1.5094163989472513,-3.456666855536151,-1.217838419444186,0.982709644500448,2.4965800568440537,3.645487929605747,-5.612683530717381,1.8646216235339392,1.3422494171493846,True,-0.5223722063845546,logei,0.4628126000170596,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,0.759858708244673,14.430482228897025,0.541012716177991,2.0614974612710038,2.0834676156006213,0.541012716177991,levy_10
8,-3.086444829300891,-2.035010013744929,4.495487408598072,-1.4724194779696769,-2.276653944303264,-5.850414456513876,0.005689805226697887,0.6924720437797497,2.5158495045734934,6.689107675711412,-5.359457740188751,1.1705434356844882,0.9040284761241769,True,-0.26651495956031124,logei,0.6209040000103414,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,1.4539368960941241,15.88441912499115,0.541012716177991,1.9855523906238937,2.0834676156006213,0.541012716177991,levy_10
9,-2.4493172706144466,-3.4395791456834335,7.425338597383696,-5.161886316280607,-1.9535051150716074,-3.1263107541049666,-2.8726346443769333,2.751608368059254,4.093064677153051,7.601025825719609,-5.373513818808278,1.4350921741382765,1.9169572824471388,True,0.4818651083088623,logei,0.5353562000091188,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,1.1893881576403358,17.073807282631485,0.541012716177991,1.897089698070165,1.4350921741382765,1.1893881576403358,levy_10
10,-2.286425900498053,-4.480988369482332,10.0,-5.828196381823103,-3.8798942687141014,-5.0992331387073175,-4.840449654250853,4.66950392850261,6.672911913077429,10.0,-4.2338972930874235,-1.0436379467352823,-1.3922197669158172,True,-0.34858182018053485,logei,0.6399258999736048,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,3.6681182785138944,20.74192556114538,0.541012716177991,2.074192556114538,1.4350921741382765,1.1893881576403358,levy_10
11,-2.0257758288773418,-1.0235284074655067,6.661128974735004,-6.636731855863909,-0.40097498065788917,-1.8526650132817373,-2.972772164978375,1.553235974544173,2.1542424283679216,4.34860097242822,-5.42032902242828,1.086004193901453,1.2642706606280338,True,0.17826646672658075,logei,0.46779419999802485,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,1.5384761378771592,22.280401699022537,0.541012716177991,2.0254910635475034,1.4350921741382765,1.1893881576403358,levy_10
12,-3.2110407121442166,-5.9960800294818215,7.078196085255234,-2.1541842274081784,-3.421224722929875,-4.728496702128701,-1.4189508099016404,3.2287169178887147,5.433010720080476,10.0,-5.708926842509077,-0.12022615751148788,0.9614579878843476,True,1.0816841453958355,logei,0.8411533999606036,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,2.7447064892901003,25.025108188312636,0.541012716177991,2.085425682359386,1.4350921741382765,1.1893881576403358,levy_10
13,-2.524047187844839,-7.611031160469522,7.496606529525591,-6.504291689773691,-2.4189167412661483,-0.581311992482192,-3.750294272269842,4.803063309910674,6.376435336785069,10.0,-6.3401846268315065,-0.4932231860615874,-0.9135476933180436,True,-0.42032450725645626,logei,0.9713022999931127,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,3.1177035178401997,28.142811706152834,0.541012716177991,2.164831669704064,1.4350921741382765,1.1893881576403358,levy_10
14,-3.850027561417829,-7.965390734499737,2.386095690854306,-0.6176345445746234,-3.9072993078678713,-4.56822703893769,3.144346773483592,0.8641322233325112,4.47108284592388,7.353873709677397,-7.403711771688293,1.9779252177060638,2.874939711161809,True,0.8970144934557451,logei,1.2687296000076458,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,0.6465551140725485,28.789366820225382,0.541012716177991,2.056383344301813,1.9779252177060638,0.6465551140725485,levy_10
15,-4.241663839242778,-10.0,2.0849168908789086,-0.9972838183421994,-4.893862436447678,-3.5562166861468234,7.1401100529348405,-0.8334769292858631,4.584769968213692,5.9935560076295875,-9.27860608727068,0.029643372392256884,0.09558837761272429,True,0.06594500522046741,logei,2.159083799982909,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,2.5948369593863556,31.384203779611738,0.541012716177991,2.092280251974116,1.9779252177060638,0.6465551140725485,levy_10
16,-4.118052024331028,-10.0,-0.767509659366699,-0.7697880880770924,-3.8851276914428072,-2.025995164691361,2.9051572565701242,2.4409822062943847,5.99862969034454,7.230595729024933,-8.538495547383205,0.16409606336272428,1.1597106258552343,True,0.99561456249251,logei,1.0436595000210218,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,2.460384268415888,33.844588048027624,0.541012716177991,2.1152867530017265,1.9779252177060638,0.6465551140725485,levy_10
17,-3.205399216731496,-7.367938616513341,3.859369822381137,-3.3678814218460196,-3.4758590292676046,-3.6933205028458893,1.203980466800138,1.4044015262917167,4.584758106732075,6.330601169814096,-6.86532004132657,1.2321778119621005,0.83919585775984,True,-0.39298195420226056,logei,1.0484579000039957,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,1.3923025198165118,35.236890567844135,0.541012716177991,2.0727582686967136,1.9779252177060638,0.6465551140725485,levy_10
18,-4.1253350848539085,-7.7601675001130515,4.273828200918479,1.2290853992363202,-4.205732104131155,-6.149595176297619,3.6577046234555515,0.5356568619693652,4.2028788027389385,9.459579539731138,-7.053441812767276,0.5261699185499584,0.905948113585197,True,0.3797781950352386,logei,0.8637043000198901,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,2.0983104132286536,37.33520098107279,0.541012716177991,2.0741778322818214,1.9779252177060638,0.6465551140725485,levy_10
19,-4.246576887278703,-4.527314830818572,-0.2722141835159357,2.1907712075117463,-0.7925382737179896,-0.7927576277673903,-0.26919723197589507,3.8332389057800977,4.1987342024804635,9.470978212414392,-7.738410676261525,1.3327481340723017,2.8389306889848056,True,1.5061825549125039,logei,0.6645017999690026,False,False,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,1.2917321977063105,38.6269331787791,0.541012716177991,2.032996483093637,1.9779252177060638,0.6465551140725485,levy_10
20,4.252936143195354,9.179028800320314,1.197725621558627,1.5545101476369005,4.349904615298396,8.116829306150787,-0.9204608243680426,4.050204818587774,4.205053687953503,7.482388616714065,-0.2984621227968063,1.5148577880507894,2.2973008888755357,True,0.7824431008247463,logei,0.7508396999910474,False,True,8,5e68f160-79d6-4546-8f90-6755607718c3,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,1.1096225437278229,39.73655572250692,0.541012716177991,1.986827786125346,1.9779252177060638,0.6465551140725485,levy_10
