dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_x0,delta_excess_x1,delta_excess_x2,delta_excess_x3,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
iso_weber_fechner,composite,logei,gradient_boosting,gaussian,0.289639,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.40290238244232635,0.8564533615135304,0.01712906723027041,-4.586483298703513
iso_weber_fechner,composite,logei,gradient_boosting,gaussian,1.158556,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.6840093358233603,39.96766595674674,0.7993533191349349,33.005608710595766
iso_weber_fechner,composite,logei,gradient_boosting,gaussian,5.792779,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.23568787280836134,101.88397136486819,2.037679427297364,22.72379998213634
iso_weber_fechner,composite,qnei,gradient_boosting,gaussian,0.289639,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.3098216510702274,-5.012911192148636,-0.10025822384297278,8.804455254293131
iso_weber_fechner,composite,qnei,gradient_boosting,gaussian,1.158556,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.32621726924533334,16.70381287517894,0.3340762575035785,32.02127252299536
iso_weber_fechner,composite,qnei,gradient_boosting,gaussian,5.792779,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.5405472214930247,31.952736336752523,0.6390547267350501,25.881151424050245
iso_weber_fechner,composite,ucb,gradient_boosting,gaussian,0.289639,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.15750331895618253,9.808401487750828,0.19616802975501635,12.108951881085105
iso_weber_fechner,composite,ucb,gradient_boosting,gaussian,1.158556,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.01938793305798292,41.63240073853568,0.8326480147707134,21.194981854293943
iso_weber_fechner,composite,ucb,gradient_boosting,gaussian,5.792779,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.1519409966571792,92.51441196727889,1.8502882393455775,12.864508541307998
iso_weber_fechner,composite,ei,gradient_boosting,gaussian,0.289639,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.30982072620203205,-2.9813522818704,-0.05962704563740795,14.830877730423211
iso_weber_fechner,composite,ei,gradient_boosting,gaussian,1.158556,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.3389562655765297,18.507367406658574,0.3701473481331716,14.674755533996276
iso_weber_fechner,composite,ei,gradient_boosting,gaussian,5.792779,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.8669837906543896,69.81289103556837,1.3962578207113674,30.037136230488926
iso_weber_fechner,composite,random,gradient_boosting,gaussian,0.289639,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,random,gradient_boosting,gaussian,1.158556,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,random,gradient_boosting,gaussian,5.792779,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,sobol,gradient_boosting,gaussian,0.289639,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,sobol,gradient_boosting,gaussian,1.158556,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,sobol,gradient_boosting,gaussian,5.792779,0,8,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,logei,gradient_boosting,gaussian,0.289639,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.6304772659343216,16.45605066374374,0.329121013274875,21.737748061031773
iso_weber_fechner,composite,logei,gradient_boosting,gaussian,1.158556,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.8878677605657055,27.920709967078025,0.5584141993415603,41.52807347354097
iso_weber_fechner,composite,logei,gradient_boosting,gaussian,5.792779,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.9004329790712391,52.62739515761088,1.0525479031522174,38.782562218727634
iso_weber_fechner,composite,qnei,gradient_boosting,gaussian,0.289639,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.011898245996879275,-23.25219097051388,-0.4650438194102775,-2.155982352239164
iso_weber_fechner,composite,qnei,gradient_boosting,gaussian,1.158556,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.3861820236896931,-2.1979147000572823,-0.04395829400114559,-12.92428055199639
iso_weber_fechner,composite,qnei,gradient_boosting,gaussian,5.792779,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.01444683461668328,11.766480391292319,0.23532960782584622,-1.8966651716634146
iso_weber_fechner,composite,ucb,gradient_boosting,gaussian,0.289639,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.34818129163219247,15.728688063653664,0.31457376127307324,17.51560975487498
iso_weber_fechner,composite,ucb,gradient_boosting,gaussian,1.158556,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.6250885181025985,75.8743436079865,1.51748687215973,33.43760062845396
iso_weber_fechner,composite,ucb,gradient_boosting,gaussian,5.792779,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.35551996268326347,98.49991529747817,1.9699983059495634,15.764370526562324
iso_weber_fechner,composite,ei,gradient_boosting,gaussian,0.289639,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.431428535591472,-0.363639296773826,-0.007272785935476644,12.57321075558719
iso_weber_fechner,composite,ei,gradient_boosting,gaussian,1.158556,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.26271258102988426,16.375101869704594,0.3275020373940918,18.204302499894077
iso_weber_fechner,composite,ei,gradient_boosting,gaussian,5.792779,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.22823271821652114,13.153550441097977,0.26307100882195966,-1.0343764195565086
iso_weber_fechner,composite,random,gradient_boosting,gaussian,0.289639,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,random,gradient_boosting,gaussian,1.158556,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,random,gradient_boosting,gaussian,5.792779,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,sobol,gradient_boosting,gaussian,0.289639,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,sobol,gradient_boosting,gaussian,1.158556,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,sobol,gradient_boosting,gaussian,5.792779,0,7,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,logei,gradient_boosting,gaussian,0.289639,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-1.3549596554331296,-30.025812227559797,-0.6005162445511958,-39.57751987774282
iso_weber_fechner,composite,logei,gradient_boosting,gaussian,1.158556,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.6733631313918367,-10.269876151586686,-0.20539752303173353,-15.744291283417944
iso_weber_fechner,composite,logei,gradient_boosting,gaussian,5.792779,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.14637749083673413,36.42412884805269,0.7284825769610541,3.2254893122080404
iso_weber_fechner,composite,qnei,gradient_boosting,gaussian,0.289639,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.04530087979231956,-20.28436806843375,-0.4056873613686749,6.826821714042623
iso_weber_fechner,composite,qnei,gradient_boosting,gaussian,1.158556,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.17071236771450282,6.894030434076171,0.1378806086815234,2.7536786868894154
iso_weber_fechner,composite,qnei,gradient_boosting,gaussian,5.792779,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.1662727913622093,61.508439203321444,1.2301687840664286,-7.020297030580025
iso_weber_fechner,composite,ucb,gradient_boosting,gaussian,0.289639,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.35360873836126405,-7.04676091852663,-0.14093521837053258,6.428373625147117
iso_weber_fechner,composite,ucb,gradient_boosting,gaussian,1.158556,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.7008618959718174,61.88002623632241,1.237600524726448,19.03099725634071
iso_weber_fechner,composite,ucb,gradient_boosting,gaussian,5.792779,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.4091783205306547,46.88880586533287,0.9377761173066572,12.296761955216809
iso_weber_fechner,composite,ei,gradient_boosting,gaussian,0.289639,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.4463963194691365,-24.70183385524875,-0.4940366771049751,-2.9353229857767644
iso_weber_fechner,composite,ei,gradient_boosting,gaussian,1.158556,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.6873399934963142,-29.50093464032615,-0.590018692806523,-6.682577863026296
iso_weber_fechner,composite,ei,gradient_boosting,gaussian,5.792779,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.1682767094239539,20.513620887190328,0.4102724177438066,7.690504281527936
iso_weber_fechner,composite,random,gradient_boosting,gaussian,0.289639,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,random,gradient_boosting,gaussian,1.158556,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,random,gradient_boosting,gaussian,5.792779,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,sobol,gradient_boosting,gaussian,0.289639,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,sobol,gradient_boosting,gaussian,1.158556,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,sobol,gradient_boosting,gaussian,5.792779,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,logei,gradient_boosting,gaussian,0.289639,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.07287992235749519,-6.754509689947113,-0.13509019379894216,-2.6383054020932946
iso_weber_fechner,composite,logei,gradient_boosting,gaussian,1.158556,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.03570039444851192,-6.581120785471953,-0.131622415709439,-2.6958816399420016
iso_weber_fechner,composite,logei,gradient_boosting,gaussian,5.792779,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.33489034841862986,82.81232818474716,1.6562465636949435,9.757930825504388
iso_weber_fechner,composite,qnei,gradient_boosting,gaussian,0.289639,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.5254804440102556,6.263292131743469,0.12526584263486962,-22.03940812636879
iso_weber_fechner,composite,qnei,gradient_boosting,gaussian,1.158556,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.05866760230082768,13.038842771135279,0.2607768554227059,-4.056198194139384
iso_weber_fechner,composite,qnei,gradient_boosting,gaussian,5.792779,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.6871157450809866,61.09716383355905,1.221943276671181,26.356085021048756
iso_weber_fechner,composite,ucb,gradient_boosting,gaussian,0.289639,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.03289844391922969,-1.5662113191971798,-0.03132422638394328,-1.7810273080523729
iso_weber_fechner,composite,ucb,gradient_boosting,gaussian,1.158556,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.4676078730254445,34.311254139176825,0.6862250827835368,-3.372460069427248
iso_weber_fechner,composite,ucb,gradient_boosting,gaussian,5.792779,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.28521425850705473,82.63235804521189,1.652647160904238,17.03676779247604
iso_weber_fechner,composite,ei,gradient_boosting,gaussian,0.289639,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.03927190546518,-10.233146831273544,-0.20466293662547086,2.7110777026284865
iso_weber_fechner,composite,ei,gradient_boosting,gaussian,1.158556,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.5411818813540656,7.8712761848356365,0.1574255236967126,-1.6346334730447296
iso_weber_fechner,composite,ei,gradient_boosting,gaussian,5.792779,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,1.111307695921567,119.17208261464367,2.383441652292874,44.867469189852386
iso_weber_fechner,composite,random,gradient_boosting,gaussian,0.289639,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,random,gradient_boosting,gaussian,1.158556,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,random,gradient_boosting,gaussian,5.792779,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,sobol,gradient_boosting,gaussian,0.289639,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,sobol,gradient_boosting,gaussian,1.158556,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,sobol,gradient_boosting,gaussian,5.792779,0,11,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,logei,gradient_boosting,gaussian,0.289639,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.4363160622242612,-14.433990385596502,-0.28867980771193014,14.029391985584034
iso_weber_fechner,composite,logei,gradient_boosting,gaussian,1.158556,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.17925623683639458,1.861768913577876,0.03723537827155754,1.0335452169203592
iso_weber_fechner,composite,logei,gradient_boosting,gaussian,5.792779,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.47051618439589427,8.165869752908094,0.1633173950581619,14.30840148898848
iso_weber_fechner,composite,qnei,gradient_boosting,gaussian,0.289639,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.1223858643588085,-20.15802735623012,-0.4031605471246025,10.245294211276203
iso_weber_fechner,composite,qnei,gradient_boosting,gaussian,1.158556,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.547541828371664,13.485064603961774,0.26970129207923565,14.73269814199837
iso_weber_fechner,composite,qnei,gradient_boosting,gaussian,5.792779,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.7189624640711152,110.83627988860847,2.21672559777217,31.716787332603914
iso_weber_fechner,composite,ucb,gradient_boosting,gaussian,0.289639,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.11685315317758249,4.812877969016483,0.09625755938032965,-0.7550554785017312
iso_weber_fechner,composite,ucb,gradient_boosting,gaussian,1.158556,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.5753507694091313,55.36061644764004,1.1072123289528006,24.914949574793155
iso_weber_fechner,composite,ucb,gradient_boosting,gaussian,5.792779,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.11872125886039653,58.97426397313285,1.1794852794626571,10.49742061422667
iso_weber_fechner,composite,ei,gradient_boosting,gaussian,0.289639,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.02566290491235934,-16.669731752789986,-0.3333946350557997,-2.9930981646373027
iso_weber_fechner,composite,ei,gradient_boosting,gaussian,1.158556,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.3780259570070812,8.596543471719187,0.17193086943438374,11.736762750065814
iso_weber_fechner,composite,ei,gradient_boosting,gaussian,5.792779,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.9201839644547178,43.43716169691449,0.8687432339382899,31.923329493002612
iso_weber_fechner,composite,random,gradient_boosting,gaussian,0.289639,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,random,gradient_boosting,gaussian,1.158556,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,random,gradient_boosting,gaussian,5.792779,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,sobol,gradient_boosting,gaussian,0.289639,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_weber_fechner,composite,sobol,gradient_boosting,gaussian,1.158556,0,10,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
