iteration,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,9.120034192579507,-5.846363798417062,6.568897705490613,-7.014357538359595,0.25609232873129706,-7.2816079195898675,3.7807295956226223,6.834954486245579,-1.4898200519004678,9.138520069067326,6.506658127695964,-1.157811806498557,,-1.157811806498557,0.0,False,True,,logei,0.0,False,True,10,7f6e31b1-2663-460a-86b9-b5fc413cd637,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-1.157811806498557,3.7822921382771693,3.7822921382771693,3.7822921382771693,3.7822921382771693,-1.157811806498557,3.7822921382771693,levy_10
2,-3.2356937505684797,1.5152109588902718,5.066037294169538,6.54207874049591,8.668769417031626,-7.100106101275454,4.911604220878749,-7.212972122643553,8.130575122258538,-5.477711326509452,7.064794998112124,-0.20877564190001702,,-0.20877564190001702,0.0,False,True,,logei,0.0,False,True,10,7f6e31b1-2663-460a-86b9-b5fc413cd637,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.20877564190001702,2.833255973678629,6.615548111955798,2.833255973678629,3.307774055977899,-1.157811806498557,3.7822921382771693,levy_10
3,-3.873642689357524,9.396607364126435,0.3566842723373931,-3.550508824678773,-4.351329656706408,2.11729991639352,-3.324710865613234,3.5729754701628575,-6.911498590782119,-5.0044896120743365,7.397884921122195,0.45606599894833727,0.45606599894833727,0.45606599894833727,0.0,False,True,0.0,logei,0.0,False,False,10,7f6e31b1-2663-460a-86b9-b5fc413cd637,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.45606599894833727,2.168414332830275,8.783962444786074,2.168414332830275,2.9279874815953577,0.45606599894833727,2.168414332830275,levy_10
4,2.0073564087183815,-4.760338880589325,-7.011701988380235,-7.2642170102962105,-5.021581248170072,-2.3435066685918553,2.98158113248871,6.751275201221233,5.52063894020953,-3.2096884953116263,-7.028625234553525,0.27876479459721293,0.27876479459721293,0.27876479459721293,0.0,False,True,0.0,logei,0.0,False,False,10,7f6e31b1-2663-460a-86b9-b5fc413cd637,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.45606599894833727,2.345715537181399,11.129677981967472,2.168414332830275,2.782419495491868,0.45606599894833727,2.168414332830275,levy_10
5,-0.8596122661526415,-1.242712846223995,1.4843517980603984,-2.534615529594186,2.676501147241977,-7.707112820416979,-5.338190515371233,5.344820340774543,9.742485437801879,6.160021586447218,6.859312880498479,0.1399951525674407,0.1399951525674407,0.1399951525674407,0.0,False,True,0.0,logei,0.0,False,False,10,7f6e31b1-2663-460a-86b9-b5fc413cd637,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.45606599894833727,2.4844851792111715,13.614163161178643,2.168414332830275,2.7228326322357286,0.45606599894833727,2.168414332830275,levy_10
6,-4.946454527214614,10.0,-2.0061397476467207,-5.083855703128377,-9.785796997018185,8.603642342142887,-0.5032903605652236,2.8837754605224104,-10.0,-10.0,4.8352330818464395,-3.851129036649103,-3.851129036649103,-3.851129036649103,0.0,False,True,0.0,logei,0.5081173999933526,False,False,10,7f6e31b1-2663-460a-86b9-b5fc413cd637,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.45606599894833727,6.475609368427715,20.089772529606357,2.168414332830275,3.3482954216010596,0.45606599894833727,2.168414332830275,levy_10
7,-2.200285021116213,4.998308050662355,-0.44130198235660245,-3.8337950947227677,-2.5915666344491646,-1.1455776411658738,-2.9200232039782636,4.515537980617467,-1.4576351970067853,-2.13770681672702,5.109360216330426,1.6232774961548813,1.6232774961548813,1.6232774961548813,0.0,False,True,0.0,logei,0.4351549000130035,False,False,10,7f6e31b1-2663-460a-86b9-b5fc413cd637,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.6232774961548813,1.001202835623731,21.090975365230086,1.001202835623731,3.012996480747155,1.6232774961548813,1.001202835623731,levy_10
8,-0.7736229611840388,10.0,-0.6421450947830368,-3.7783166901168412,-0.4086853919231778,-4.600173738496932,-3.105397598533477,5.336959860089983,-10.0,-6.2504088735151715,3.863774170430594,-1.28765885109077,-1.28765885109077,-1.28765885109077,0.0,False,True,0.0,logei,0.8090985999442637,False,False,10,7f6e31b1-2663-460a-86b9-b5fc413cd637,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.6232774961548813,3.9121391828693826,25.003114548099468,1.001202835623731,3.1253893185124335,1.6232774961548813,1.001202835623731,levy_10
9,-9.212781304182974,8.398963851216555,2.2827954677698106,-3.0350128629042454,-10.0,10.0,-3.922391744007143,0.5403709798749657,-1.3682693225572218,-2.1905278730690703,10.0,-1.5810176375114724,-1.5810176375114724,-1.5810176375114724,0.0,False,True,0.0,logei,0.7444575999979861,False,False,10,7f6e31b1-2663-460a-86b9-b5fc413cd637,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.6232774961548813,4.205497969290085,29.208612517389554,1.001202835623731,3.2454013908210615,1.6232774961548813,1.001202835623731,levy_10
10,-3.5790226729111674,3.4890055109095446,0.7493983504189583,-3.2897893013998623,-3.1589000507496054,0.4414484964967165,-3.81359995331765,3.752108538272416,2.646763199842882,0.7366416040467159,7.441972218656502,2.0648582023719135,2.0648582023719135,2.0648582023719135,0.0,False,True,0.0,logei,0.5878626999910921,False,False,10,7f6e31b1-2663-460a-86b9-b5fc413cd637,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0648582023719135,0.5596221294066988,29.76823464679625,0.5596221294066988,2.976823464679625,2.0648582023719135,0.5596221294066988,levy_10
