User_ID;Run;Phase;value;x0;x1;x2;x3
16;1;sampling;1.6347234354832205;0.8702492039700847;0.2868172090875553;0.6031481500515619;0.7775340829201788
16;2;sampling;1.0281845074073686;0.7160746296035653;0.9153801204905077;0.8603936491828846;0.9182376290487624
16;3;sampling;-1.4876039005994763;0.0265877344675972;0.4372480001295087;0.484944326977288;0.0651541973701075
16;4;sampling;0.010054174190243848;0.0056260506793929;0.830621436971257;0.9833022442861756;0.7846098526726796
16;5;sampling;-0.29165310989584087;0.3156034899782731;0.7053337045894538;0.2991810731982467;0.7407484828757487
16;6;optimization;1.9551080970226982;0.7436180567095404;1.0;0.8308372287708813;0.9640395942659884
16;7;optimization;1.063392441525077;0.7656286823070593;1.0;0.7450539152096205;1.0
16;8;optimization;-0.03783417430167901;0.7490435490507118;1.0;0.921869166270416;1.0
16;9;optimization;1.7657179781507386;0.7179489335146133;1.0;1.0;1.0
16;10;optimization;-0.7421705798700262;0.6781510694191122;1.0;1.0;1.0
16;11;optimization;0.8336993045783718;0.6953258324159258;1.0;1.0;1.0
16;12;optimization;1.3097210527987275;0.7191389697332862;1.0;1.0;1.0
16;13;optimization;2.7673937782118747;0.750884892262904;1.0;1.0;1.0
16;14;optimization;2.707729049737145;0.7898092649004196;1.0;1.0;1.0
16;15;optimization;1.3195927133105383;0.8347135536212335;1.0;1.0;1.0
16;16;optimization;2.034959104950245;0.8831255863394961;1.0;1.0;1.0
16;17;optimization;2.3497282982753673;0.9649510190442856;1.0;1.0;1.0
16;18;optimization;1.6653176944526071;1.0;1.0;1.0;1.0
16;19;optimization;3.462210019310161;1.0;1.0;1.0;0.9999999999999998
16;20;optimization;1.1528504859724813;1.0;1.0;1.0;0.9352650700238077
