run_id,dataset,objective,acquisition,seed,oracle_model,baseline,error_model,jitter_std,jitter_iteration,n_iterations,acq_opt_failures,response_start_iteration,response_end_iteration,response_l2,final_best_true,final_simple_regret_true,final_cum_regret_true,final_avg_regret_true,auc_simple_regret_true,auc_simple_regret_true_postonset_per_iter,final_inference_simple_regret_true,auc_inference_simple_regret_true,param_columns,response_x0,response_x1
3d611deb-c273-48be-a0be-02f46f7df6f9,eggholder,value,ts,10,exact,True,none,0.0,0,50,0,1,2,143.65689715691502,2.3832245011091806,0.8218210299458781,159.64138057466778,3.192827611493356,42.013161576005004,0.857411460734796,0.8218210299458781,42.013161576005004,"x0,x1",-130.61818813895133,-59.80127948505765
3d611deb-c273-48be-a0be-02f46f7df6f9,eggholder,value,ts,10,exact,True,none,0.0,20,50,0,21,22,509.35682736512723,2.3832245011091806,0.8218210299458781,159.64138057466778,3.192827611493356,42.013161576005004,0.8460547612550587,0.8218210299458781,42.013161576005004,"x0,x1",367.3738372568785,-352.818425372917
5bc792a2-8573-47ef-8afe-dad058011c05,eggholder,value,ts,10,exact,False,gaussian,0.05,0,50,0,1,2,143.65689715691502,2.9338227378533164,0.2712227932017423,152.05278862126096,3.041055772425219,30.94760761208807,0.6315838288181239,0.2712227932017423,30.94760761208807,"x0,x1",-130.61818813895133,-59.80127948505765
0d9e49ed-08ad-40ac-be5c-188c2af06c91,eggholder,value,ts,10,exact,False,gaussian,0.25,0,50,0,1,2,143.65689715691502,2.7659149170950283,0.4391306139600304,159.76767324867336,3.195353464973467,32.054730677318844,0.6541781770881396,0.5460476670594718,34.460364372056276,"x0,x1",-130.61818813895133,-59.80127948505765
d367b23b-b838-49ab-bcc2-9bfc01dafa70,eggholder,value,ts,10,exact,False,gaussian,1.0,0,50,0,1,2,143.65689715691502,3.0200488646558634,0.1849966663991953,155.84252426025017,3.116850485205004,13.542569709338496,0.27637897365996933,0.7518772570182972,93.17799892846494,"x0,x1",-130.61818813895133,-59.80127948505765
074d09a3-4148-4b72-afc9-7f91262f6100,eggholder,value,ts,10,exact,False,gaussian,5.0,0,50,0,1,2,143.65689715691502,2.581454210304106,0.6235913207509527,187.9345458336641,3.758690916673282,36.93830224964796,0.75384290305404,4.464592365357426,128.3476975643123,"x0,x1",-130.61818813895133,-59.80127948505765
90a82fb8-1c56-40f4-bd41-cb75c3793820,eggholder,value,ts,10,exact,False,gaussian,0.05,20,50,0,21,22,509.4275611684017,2.331166856074644,0.8738786749804146,159.0514319842475,3.18102863968495,42.82005507404031,0.8738786749804145,0.8738786749804146,42.82005507404031,"x0,x1",366.15582014808217,-354.184070011161
5c281421-f6ec-42c5-91bc-2e8026ff86d5,eggholder,value,ts,10,exact,False,gaussian,0.25,20,50,0,21,22,509.86621235102376,2.331166856074644,0.8738786749804146,163.74684395223457,3.274936879044692,42.82005507404031,0.8738786749804145,0.8738786749804146,42.82005507404031,"x0,x1",358.3922789232065,-362.654834388582
461590e9-8982-4ebf-8eb0-e224fd6d5a5c,eggholder,value,ts,10,exact,False,gaussian,1.0,20,50,0,21,22,965.1286731785063,2.70949338509754,0.4955521459575185,144.1848340612265,2.8836966812245297,36.577667345162524,0.6586239257087667,0.6703779922494739,36.6650802683085,"x0,x1",924.8059648041851,-276.0566667441747
9c2be2da-8a93-4445-a15b-80b52a220433,eggholder,value,ts,10,exact,False,gaussian,5.0,20,50,0,21,22,545.4164627926087,2.331166856074644,0.8738786749804146,155.16766830959827,3.103353366191965,42.82005507404031,0.8738786749804145,2.694042079744128,85.58256520357834,"x0,x1",345.6586153199827,-421.89956096240894
f3654c11-352c-431f-9f94-bd7c2ef3fda5,eggholder,value,ts,11,exact,True,none,0.0,0,50,0,1,2,683.1813895720231,2.5572641789779302,0.6477813520771285,132.13957408298842,2.6427914816597684,46.30672988547289,0.945035303785161,0.6477813520771285,46.30672988547289,"x0,x1",484.27843057065763,-481.8829865658065
f3654c11-352c-431f-9f94-bd7c2ef3fda5,eggholder,value,ts,11,exact,True,none,0.0,20,50,0,21,22,752.8336525868338,2.5572641789779302,0.6477813520771285,132.13957408298842,2.6427914816597684,46.30672988547289,0.6824316574111329,0.6477813520771285,46.30672988547289,"x0,x1",44.636498677169726,-751.5092091605243
674d04d9-1d2f-445b-a42d-c6daffb58788,eggholder,value,ts,11,exact,False,gaussian,0.05,0,50,0,1,2,683.1813895720231,3.1411124273655746,0.0639331036894841,152.11549950716793,3.0423099901433583,32.97592372010534,0.6729780351041906,0.0639331036894841,32.98861563471378,"x0,x1",484.27843057065763,-481.8829865658065
ad44d1d4-b801-49e1-9b09-32bd2c810759,eggholder,value,ts,11,exact,False,gaussian,0.25,0,50,0,1,2,683.1813895720231,3.2043989902713825,0.0006465407836762,143.96071253498914,2.879214250699783,37.04173782463799,0.7559538331558774,0.2699637244924728,38.25366515132757,"x0,x1",484.27843057065763,-481.8829865658065
6f1a0468-218a-4793-a6fe-664fce0b016a,eggholder,value,ts,11,exact,False,gaussian,1.0,0,50,0,1,2,683.1813895720231,2.3037211741727988,0.90132435688226,176.7546481545063,3.535092963090126,52.65461817013557,1.074584044288481,2.589630246713566,100.7713360303278,"x0,x1",484.27843057065763,-481.8829865658065
c8f614df-00fb-4057-8b32-eb59ecd017c6,eggholder,value,ts,11,exact,False,gaussian,5.0,0,50,0,1,2,683.1813895720231,2.3037211741727988,0.90132435688226,168.2263626158015,3.3645272523160297,52.65461817013557,1.074584044288481,3.286056707092555,131.4725119526468,"x0,x1",484.27843057065763,-481.8829865658065
65c5ef5c-2bf9-454b-8501-2980572f92b5,eggholder,value,ts,11,exact,False,gaussian,0.05,20,50,0,21,22,762.733747615039,2.510041295543166,0.6950042355118926,151.31167024631097,3.026233404926219,47.929944031392615,0.7384045589945717,0.6950042355118926,47.929944031392615,"x0,x1",46.29384278847181,-761.3275575406149
b781002c-3353-4499-bd0e-bf22dfca6d7a,eggholder,value,ts,11,exact,False,gaussian,0.25,20,50,0,21,22,768.4424045037774,2.4960703644876183,0.7089751665674404,140.85981821948792,2.8171963643897584,50.63495167182997,0.8316806845268945,0.7089751665674404,54.43634515103467,"x0,x1",47.30367447862602,-766.9850659695842
