dataset,objective,acquisition,mean_rank_normalized,mean_rank_absolute,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_wins,conditions
ackley,value,qnei,0.3999999999999999,1.7000000000000002,1.5652189068459905,426.47749795737343,0.0,2,2
ackley,value,logei,0.6000000000000001,1.2999999999999998,1.3498204022844054,411.2383878368823,0.0,0,2
