iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-380.3441123643396,-0.7394688613222797,-1.3387277521627092,-1.44328927324729,True,-0.10456152108458072,qnei,0.0,False,0,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,-1.3387277521627092,4.543773283217768,4.543773283217768,4.543773283217768,4.543773283217768,-1.3387277521627092,4.543773283217768,eggholder
2,103.93431820631804,-482.6224554271288,-1.3260358375542693,-1.5682980877926307,True,-0.24226225023836134,qnei,0.0,False,0,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,-1.3260358375542693,4.531081368609328,9.074854651827096,4.531081368609328,4.537427325913548,-1.3387277521627092,4.543773283217768,eggholder
3,-360.5236893926851,438.48808751141837,-0.7350220338372151,-0.5277942123050358,True,0.20722782153217933,qnei,0.0,False,0,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,-0.7350220338372151,3.940067564892274,13.01492221671937,3.940067564892274,4.338307405573123,-0.7350220338372151,3.940067564892274,eggholder
4,-439.88933001810244,-379.11147581511887,2.3037211741727988,2.470824128628077,True,0.16710295445527823,qnei,0.0,False,0,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,0.90132435688226,13.91624657360163,0.90132435688226,3.4790616434004074,2.3037211741727988,0.90132435688226,eggholder
5,459.08833617077767,124.80879902349602,-0.9373089677051462,-1.7319119930948308,True,-0.7946030253896846,qnei,0.0,False,0,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,4.142354498760205,18.058601072361835,0.90132435688226,3.611720214472367,2.3037211741727988,0.90132435688226,eggholder
6,-512.0,-449.3202100681332,0.7976977069592209,0.9588942140272968,True,0.16119650706807587,qnei,0.16542620002292097,False,0,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,2.407347824095838,20.46594889645767,0.90132435688226,3.4109914827429453,2.3037211741727988,0.90132435688226,eggholder
7,-432.1814165069539,-317.33447624427123,-0.18062065381877718,-0.17512899476685198,True,0.005491659051925196,qnei,0.23683479998726398,False,0,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,3.385666184873836,23.85161508133151,0.90132435688226,3.4073735830473586,2.3037211741727988,0.90132435688226,eggholder
8,-365.8171518023514,-397.7293782260106,1.8693940920830001,1.6889534892573435,True,-0.18044060282565666,qnei,0.22503799997502938,False,0,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,1.3356514389720586,25.187266520303567,0.90132435688226,3.148408315037946,2.3037211741727988,0.90132435688226,eggholder
9,-512.0,-390.03433232374874,-0.03022952014417484,0.04731948071249581,True,0.07754900085667066,qnei,0.17794510000385344,False,0,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,3.2352750511992334,28.4225415715028,0.90132435688226,3.1580601746114225,2.3037211741727988,0.90132435688226,eggholder
10,-423.821634602561,-401.8780100572936,-0.13980825503464175,-0.3963446905003353,True,-0.2565364354656935,qnei,0.25605139997787774,False,0,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,3.3448537860897005,31.767395357592502,0.90132435688226,3.1767395357592503,2.3037211741727988,0.90132435688226,eggholder
11,-339.28780196685835,-512.0,1.004967166990499,0.8994403691428147,True,-0.10552679784768426,qnei,0.20731199998408556,False,1,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,2.20007836406456,33.967473721657065,0.90132435688226,3.0879521565142785,2.3037211741727988,0.90132435688226,eggholder
12,58.52339960941215,512.0,-1.5303786070093266,-1.864023969151655,True,-0.3336453621423283,qnei,0.12934849999146536,False,1,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,4.735424138064385,38.702897859721446,0.90132435688226,3.2252414883101204,2.3037211741727988,0.90132435688226,eggholder
13,-230.61640483054063,-333.79008520148386,-1.6357983874646322,-1.4632996845130213,True,0.17249870295161096,qnei,0.156019699992612,False,1,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,4.840843918519691,43.543741778241134,0.90132435688226,3.349518598326241,2.3037211741727988,0.90132435688226,eggholder
14,-433.79948878934664,-512.0,-0.3751867013513197,-1.0430299395873857,True,-0.667843238236066,qnei,0.1523041999898851,False,1,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,3.5802322324063782,47.123974010647515,0.90132435688226,3.36599814361768,2.3037211741727988,0.90132435688226,eggholder
15,-512.0,33.328417860573296,1.3830455886735202,0.7998050814175622,True,-0.583240507255958,qnei,0.13715280004544184,False,1,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,1.8219999423815385,48.94597395302905,0.90132435688226,3.2630649302019368,2.3037211741727988,0.90132435688226,eggholder
16,-512.0,-512.0,-2.487061888349132,-2.5114360822952464,True,-0.024374193946114175,qnei,0.13240380003117025,False,1,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,5.692107419404191,54.63808137243325,0.90132435688226,3.414880085777078,2.3037211741727988,0.90132435688226,eggholder
17,-512.0,512.0,-3.533135983972524,-3.817001731127409,True,-0.2838657471548851,qnei,0.13004169997293502,False,1,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,6.738181515027582,61.37626288746083,0.90132435688226,3.610368405144755,2.3037211741727988,0.90132435688226,eggholder
18,-385.52268122535645,-373.10402013833453,-0.5183653475958343,-0.524323259744766,True,-0.00595791214893171,qnei,0.20240569999441504,False,1,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,3.723410878650893,65.09967376611172,0.90132435688226,3.6166485425617623,2.3037211741727988,0.90132435688226,eggholder
19,-512.0,-193.992560488904,-0.9120873431310002,-1.3719804618664384,True,-0.45989311873543826,qnei,0.13483860000269488,False,1,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,4.1171328741860584,69.21680664029778,0.90132435688226,3.642989823173567,2.3037211741727988,0.90132435688226,eggholder
20,512.0,-512.0,-1.7665208170598223,-1.934661958476448,True,-0.16814114141662562,qnei,0.12156479997793213,False,1,11,34860c48-9c17-4b38-9ec2-198591302b7a,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",3.2050455310550587,2.3037211741727988,4.971566348114881,74.18837298841265,0.90132435688226,3.7094186494206327,2.3037211741727988,0.90132435688226,eggholder
