dataset,acquisition,error_model,jitter_std,jitter_iteration,seed,ref,trt,delta,opt_z,share_removed
ackley,logei,gaussian,0.05,0,10,13.20617662480284,-4.739210911068103,-17.945387535870942,20.102447153853433,1.3588632081572554
ackley,logei,gaussian,0.25,0,10,-0.6668690759303857,-3.753683318320977,-3.086814242390591,20.102447153853433,
ackley,logei,gaussian,1.0,0,10,14.749079861239595,10.922540736521585,-3.8265391247180105,20.102447153853433,0.2594425659579015
ackley,logei,gaussian,5.0,0,10,13.522707062510095,10.462740132999391,-3.059966929510704,20.102447153853433,0.22628360692616456
ackley,logei,gaussian,0.05,20,10,-3.542119857857209,9.811887342371833,13.354007200229042,20.102447153853433,
ackley,logei,gaussian,0.25,20,10,-0.4700269565673594,7.947076792539391,8.41710374910675,20.102447153853433,
ackley,logei,gaussian,1.0,20,10,-1.8715852374624935,10.085611550611372,11.957196788073865,20.102447153853433,
ackley,logei,gaussian,5.0,20,10,14.194779160742376,10.87746778494397,-3.317311375798406,20.102447153853433,0.2336994001972844
ackley,logei,gaussian,0.05,0,11,-0.7386418219029061,-8.037433397050371,-7.298791575147465,20.102447153853433,
ackley,logei,gaussian,0.25,0,11,1.1215895580044286,-8.750198715030994,-9.871788273035422,20.102447153853433,8.801605010124785
ackley,logei,gaussian,1.0,0,11,0.9445623687687448,-4.085034377103799,-5.029596745872544,20.102447153853433,5.324790519051399
ackley,logei,gaussian,5.0,0,11,16.59882157089061,8.929990790752814,-7.668830780137796,20.102447153853433,0.46201055583286954
ackley,logei,gaussian,0.05,20,11,-0.010460511075335,-4.386847212503548,-4.3763867014282125,20.102447153853433,
ackley,logei,gaussian,0.25,20,11,0.6649058995924371,-6.350342182580624,-7.015248082173061,20.102447153853433,10.550738211938187
ackley,logei,gaussian,1.0,20,11,1.511112781372665,4.600862598641434,3.0897498172687694,20.102447153853433,-2.0446851190432667
ackley,logei,gaussian,5.0,20,11,11.520203389541662,9.196935828375205,-2.323267561166457,20.102447153853433,0.20166897081657253
ackley,logei,gaussian,0.05,0,7,-1.00507384834666,0.5255219074027404,1.5305957557494003,20.102447153853433,
ackley,logei,gaussian,0.25,0,7,-3.232314652131546,1.3831082307333469,4.615422882864893,20.102447153853433,
ackley,logei,gaussian,1.0,0,7,-2.113019419292339,3.896901417024965,6.0099208363173044,20.102447153853433,
ackley,logei,gaussian,5.0,0,7,14.327021000365242,18.029647284382285,3.702626284017043,20.102447153853433,-0.25843657826163935
ackley,logei,gaussian,0.05,20,7,-1.9999052613859245,-0.6891379809285998,1.3107672804573247,20.102447153853433,
ackley,logei,gaussian,0.25,20,7,-0.6463058382410587,0.842352584889777,1.4886584231308357,20.102447153853433,
ackley,logei,gaussian,1.0,20,7,-1.2812186277551962,3.282607162581623,4.56382579033682,20.102447153853433,
ackley,logei,gaussian,5.0,20,7,6.651597566531708,16.791964967572124,10.140367401040415,20.102447153853433,-1.5245010389778932
ackley,logei,gaussian,0.05,0,8,1.8147326003826048,0.9325825911510216,-0.8821500092315832,20.102447153853433,0.4861046795795685
ackley,logei,gaussian,0.25,0,8,1.1706242882129017,1.1578629743238054,-0.012761313889096293,20.102447153853433,0.010901289181841523
ackley,logei,gaussian,1.0,0,8,4.526613893396409,3.634108184415167,-0.8925057089812416,20.102447153853433,0.19716850829342036
