run_id,dataset,objective,acquisition,seed,oracle_model,baseline,error_model,jitter_std,jitter_iteration,n_iterations,acq_opt_failures,response_start_iteration,response_end_iteration,response_l2,final_best_true,final_simple_regret_true,final_cum_regret_true,final_avg_regret_true,auc_simple_regret_true,auc_simple_regret_true_postonset_per_iter,final_inference_simple_regret_true,auc_inference_simple_regret_true,param_columns,response_x0,response_x1
fa6aa84e-e708-4a53-baf9-bac7a84ed9c8,branin,value,logei,10,exact,True,none,0.0,0,50,0,1,2,1.4028993862979968,1.249788255725151,0.0002672101749177,18.268500542055424,0.3653700108411085,0.22063757389143482,0.0045028076304374455,0.0002672101749177,0.22063757389143482,"x0,x1",-1.2755682435444449,-0.5839968699712659
fa6aa84e-e708-4a53-baf9-bac7a84ed9c8,branin,value,logei,10,exact,True,none,0.0,20,50,0,21,22,0.5271463306742051,1.249788255725151,0.0002672101749177,18.268500542055424,0.3653700108411085,0.22063757389143482,0.00026721017491769994,0.0002672101749177,0.22063757389143482,"x0,x1",0.25166578690739705,0.4631928169170578
61b02497-7424-4c5f-b9b5-bd68e55e48f1,branin,value,logei,10,exact,False,misclick,0.01,0,50,0,1,2,1.4028993862979968,1.249788255725151,0.0002672101749177,18.268500542055424,0.3653700108411085,0.22063757389143482,0.0045028076304374455,0.0002672101749177,0.22063757389143482,"x0,x1",-1.2755682435444449,-0.5839968699712659
1b20c983-0a4f-4e10-ba74-d8121c2613e0,branin,value,logei,10,exact,False,misclick,0.05,0,50,0,1,2,1.4028993862979968,1.249788255725151,0.0002672101749177,18.268500542055424,0.3653700108411085,0.22063757389143482,0.0045028076304374455,0.0002672101749177,0.22063757389143482,"x0,x1",-1.2755682435444449,-0.5839968699712659
4821546f-94a4-4ca1-b514-d91a1e174a1e,branin,value,logei,10,exact,False,misclick,0.15,0,50,0,1,2,1.4028993862979968,1.1914888714010974,0.0585665944989712,46.69482819676647,0.9338965639353296,6.288888405627349,0.12834466133933364,0.0585665944989712,5.800385940137705,"x0,x1",-1.2755682435444449,-0.5839968699712659
23c2d109-4bbf-4d65-8373-e647dd6fddef,branin,value,logei,10,exact,False,misclick,0.4,0,50,0,1,2,1.4028993862979968,1.2331847136995135,0.0168707522005551,39.92992481169719,0.7985984962339439,0.8266668578272,0.0168707522005551,0.0168707522005551,0.8266668578272,"x0,x1",-1.2755682435444449,-0.5839968699712659
ece6e83f-a2bb-499f-a8c2-de9ec6dec12d,branin,value,logei,10,exact,False,misclick,0.01,20,50,0,21,22,0.5271463306742051,1.249788255725151,0.0002672101749177,19.895098446642532,0.3979019689328507,0.22063757389143482,0.00026721017491769994,0.0002672101749177,0.22063757389143482,"x0,x1",0.25166578690739705,0.4631928169170578
93ef2749-616a-4457-8fc5-6bc600b3b3c2,branin,value,logei,10,exact,False,misclick,0.05,20,50,0,21,22,0.5271463306742051,1.249788255725151,0.0002672101749177,22.35082112509568,0.4470164225019135,0.22063757389143482,0.00026721017491769994,0.0002672101749177,0.22063757389143482,"x0,x1",0.25166578690739705,0.4631928169170578
eac07592-cd55-43d7-ae12-5b68e1b53a0c,branin,value,logei,10,exact,False,misclick,0.15,20,50,0,21,22,0.5271463306742051,1.249788255725151,0.0002672101749177,30.545477453888395,0.610909549077768,0.22063757389143482,0.00026721017491769994,0.0002672101749177,0.22063757389143482,"x0,x1",0.25166578690739705,0.4631928169170578
6fb43965-ee89-4f4c-8261-e37e3b7ff407,branin,value,logei,10,exact,False,misclick,0.4,20,50,0,21,22,0.5271463306742051,1.249788255725151,0.0002672101749177,35.688138721963995,0.7137627744392799,0.22063757389143482,0.00026721017491769994,0.0002672101749177,0.22063757389143482,"x0,x1",0.25166578690739705,0.4631928169170578
