iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,imputed_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,8.702492039700847,2.8681720908755537,1.093462604652252,1.093462604652252,1.093462604652252,0.0,False,True,0.0,ucb,0.0,False,False,,9,926dfde4-2736-4704-a0bd-d6d4f1caf00b,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.093462604652252,0.15659286124781668,0.15659286124781668,0.15659286124781668,0.15659286124781668,1.093462604652252,0.15659286124781668,branin
2,6.031481500515619,7.775340829201788,-1.7870358936892645,-1.7870358936892645,-1.7870358936892645,0.0,False,True,0.0,ucb,0.0,False,False,,9,926dfde4-2736-4704-a0bd-d6d4f1caf00b,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.093462604652252,3.037091359589333,3.1936842208371496,0.15659286124781668,1.5968421104185748,1.093462604652252,0.15659286124781668,branin
3,7.1607462960356525,9.153801204905076,-2.509995580323207,-2.509995580323207,-2.509995580323207,0.0,False,True,0.0,ucb,0.0,False,False,,9,926dfde4-2736-4704-a0bd-d6d4f1caf00b,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.093462604652252,3.7600510462232757,6.953735267060425,0.15659286124781668,2.3179117556868083,1.093462604652252,0.15659286124781668,branin
4,8.603936491828847,9.182376290487625,-1.4555553772043401,-1.4555553772043401,-1.4555553772043401,0.0,False,True,0.0,ucb,0.0,False,False,,9,926dfde4-2736-4704-a0bd-d6d4f1caf00b,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.093462604652252,2.7056108431044086,9.659346110164833,0.15659286124781668,2.4148365275412083,1.093462604652252,0.15659286124781668,branin
5,0.2658773446759721,4.372480001295087,0.27663796601556684,0.27663796601556684,0.27663796601556684,0.0,False,True,0.0,ucb,0.0,False,False,,9,926dfde4-2736-4704-a0bd-d6d4f1caf00b,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.093462604652252,0.9734174998845018,10.632763610049334,0.15659286124781668,2.126552722009867,1.093462604652252,0.15659286124781668,branin
6,6.133600927843465,0.9963320957351424,0.3356017209189167,,0.3356017209189167,0.0,False,True,,ucb,0.20439989998703822,False,True,-1.931627831016053,9,926dfde4-2736-4704-a0bd-d6d4f1caf00b,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.093462604652252,0.914453744981152,11.547217355030487,0.15659286124781668,1.9245362258384144,1.093462604652252,0.15659286124781668,branin
7,10.0,4.242000932176654,1.1026274470835262,1.1026274470835262,1.1026274470835262,0.0,False,True,0.0,ucb,0.204155899991747,False,False,,9,926dfde4-2736-4704-a0bd-d6d4f1caf00b,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1026274470835262,0.14742801881654244,11.69464537384703,0.14742801881654244,1.67066362483529,1.1026274470835262,0.14742801881654244,branin
8,10.0,0.5486989140835601,0.8878303731992723,,0.8878303731992723,0.0,False,True,,ucb,0.1723012999864295,False,True,-1.7870358936892645,9,926dfde4-2736-4704-a0bd-d6d4f1caf00b,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1026274470835262,0.3622250927007964,12.056870466547826,0.14742801881654244,1.5071088083184783,1.1026274470835262,0.14742801881654244,branin
9,7.032776206644433,4.237782014565156,0.0114592805069061,0.0114592805069061,0.0114592805069061,0.0,False,True,0.0,ucb,0.23139919998357072,False,False,,9,926dfde4-2736-4704-a0bd-d6d4f1caf00b,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1026274470835262,1.2385961853931626,13.29546665194099,0.14742801881654244,1.4772740724378877,1.1026274470835262,0.14742801881654244,branin
10,10.0,3.116973169416506,1.1754794643276207,1.1754794643276207,1.1754794643276207,0.0,False,True,0.0,ucb,0.2207605000003241,False,False,,9,926dfde4-2736-4704-a0bd-d6d4f1caf00b,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1754794643276207,0.07457600157244793,13.370042653513437,0.07457600157244793,1.3370042653513436,1.1754794643276207,0.07457600157244793,branin
