iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,150.11455992560036,476.65656116349055,330.8228282942322,-329.7513720112898,-239.8004581065295,448.2641344755143,-0.023973538340225708,-0.023973538340225708,-0.023973538340225708,0.0,False,True,0.0,ucb,0.0,False,False,7,730d6926-4c94-4558-a736-ff86a93305c7,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-0.023973538340225708,2.7778293539991963,2.7778293539991963,2.7778293539991963,2.7778293539991963,-0.023973538340225708,2.7778293539991963,griewank
2,-593.6816345213103,385.47410205931953,356.4833145024555,-38.47805658753509,-236.36108781682378,-265.88926547907204,-0.13761977935323588,-0.13761977935323588,-0.13761977935323588,0.0,False,True,0.0,ucb,0.0,False,False,7,730d6926-4c94-4558-a736-ff86a93305c7,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-0.023973538340225708,2.8914755950122064,5.669304949011403,2.7778293539991963,2.8346524745057016,-0.023973538340225708,2.7778293539991963,griewank
3,-294.1564948150505,-65.90843294082413,5.4579107495439985,64.19682248939091,594.6003401212713,351.1943030565037,0.562530482181455,0.562530482181455,0.562530482181455,0.0,False,True,0.0,ucb,0.0,False,False,7,730d6926-4c94-4558-a736-ff86a93305c7,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.562530482181455,2.191325333477516,7.860630282488919,2.191325333477516,2.620210094162973,0.562530482181455,2.191325333477516,griewank
4,146.61507532939515,586.752177218262,-341.62956211728124,-407.74555937058653,135.04752512763696,-547.26959044634,-0.9414791274515234,-0.9414791274515234,-0.9414791274515234,0.0,False,True,0.0,ucb,0.0,False,False,7,730d6926-4c94-4558-a736-ff86a93305c7,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.562530482181455,3.695334943110494,11.555965225599413,2.191325333477516,2.8889913063998534,0.562530482181455,2.191325333477516,griewank
5,-557.1836654716847,17.86658432564434,-40.55276960965307,500.6013278314226,155.07150538921258,16.94117591941665,0.5049409082286777,0.5049409082286777,0.5049409082286777,0.0,False,True,0.0,ucb,0.0,False,False,7,730d6926-4c94-4558-a736-ff86a93305c7,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.562530482181455,2.248914907430293,13.804880133029707,2.191325333477516,2.7609760266059413,0.562530482181455,2.191325333477516,griewank
6,-475.6793117894346,-158.36101014353704,600.0,481.1985334830775,-599.3912853127954,600.0,-3.2035030965783164,-3.2035030965783164,-3.2035030965783164,0.0,False,True,0.0,ucb,0.264858299982734,False,False,7,730d6926-4c94-4558-a736-ff86a93305c7,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.562530482181455,5.957358912237288,19.762239045266995,2.191325333477516,3.293706507544499,0.562530482181455,2.191325333477516,griewank
7,-600.0,375.38501375672166,84.0083637343971,-600.0,600.0,-600.0,-3.3014739248431777,-3.3014739248431777,-3.3014739248431777,0.0,False,True,0.0,ucb,0.43658109998796135,False,False,7,730d6926-4c94-4558-a736-ff86a93305c7,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.562530482181455,6.055329740502149,25.817568785769144,2.191325333477516,3.6882241122527346,0.562530482181455,2.191325333477516,griewank
8,104.40282789545843,428.7906878345686,-200.60037516968427,199.19501719767288,206.9958915718247,250.79678576536037,1.2916167808317718,1.2916167808317718,1.2916167808317718,0.0,False,True,0.0,ucb,0.3218421000055969,False,False,7,730d6926-4c94-4558-a736-ff86a93305c7,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.2916167808317718,1.462239034827199,27.279807820596343,1.462239034827199,3.409975977574543,1.2916167808317718,1.462239034827199,griewank
9,600.0,-446.18368191400504,-600.0,-274.8779168375744,128.64685329037286,243.83539437365945,-1.3342323815390562,-1.3342323815390562,-1.3342323815390562,0.0,False,True,0.0,ucb,0.2655545000452548,False,False,7,730d6926-4c94-4558-a736-ff86a93305c7,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.2916167808317718,4.088088197198027,31.36789601779437,1.462239034827199,3.48532177975493,1.2916167808317718,1.462239034827199,griewank
10,592.9851708437317,600.0,431.0217846685359,348.3269387697273,462.21548955795174,-69.4709175862607,-1.9686154546642616,-1.9686154546642616,-1.9686154546642616,0.0,False,True,0.0,ucb,0.494640699995216,False,False,7,730d6926-4c94-4558-a736-ff86a93305c7,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.2916167808317718,4.722471270323233,36.090367288117605,1.462239034827199,3.6090367288117604,1.2916167808317718,1.462239034827199,griewank
