iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
14,400.44963791288626,279.3430163172703,494.58386565991907,500.0,-0.4404367411296688,-0.4404367411296688,-0.4404367411296688,0.0,False,True,0.0,logei,0.6647813000017777,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.4429629258791987,4.768827112908521,55.799509100948164,1.8854274458996532,3.9856792214962975,2.4429629258791987,1.8854274458996532,schwefel
15,409.3433913722434,-246.9941988136769,343.45284419064956,500.0,0.3007400618605829,0.3007400618605829,0.3007400618605829,0.0,False,True,0.0,logei,0.47230170003604144,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.4429629258791987,4.027650309918269,59.827159410866436,1.8854274458996532,3.988477294057762,2.4429629258791987,1.8854274458996532,schwefel
16,410.31196971530073,-87.43627765919537,182.5048722608841,375.4851700155757,1.8987128882929531,1.8987128882929531,1.8987128882929531,0.0,False,True,0.0,logei,0.40455700003076345,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.4429629258791987,2.4296774834858987,62.25683689435233,1.8854274458996532,3.891052305897021,2.4429629258791987,1.8854274458996532,schwefel
17,444.68029610071443,-385.48103167625925,232.81821651290997,469.8528460171394,0.8365295772450891,0.8365295772450891,0.8365295772450891,0.0,False,True,0.0,logei,0.5034095000009984,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.4429629258791987,3.4918607945337627,65.7486976888861,1.8854274458996532,3.8675704522874175,2.4429629258791987,1.8854274458996532,schwefel
18,443.6285547951498,-52.14642871310345,247.94289106290398,500.0,0.31804468773446837,0.31804468773446837,0.31804468773446837,0.0,False,True,0.0,logei,0.44491580000612885,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.4429629258791987,4.010345684044384,69.75904337293048,1.8854274458996532,3.8755024096072486,2.4429629258791987,1.8854274458996532,schwefel
19,398.019759240983,-300.0245418949314,233.08548403046507,403.27840509003255,2.929971957601884,2.929971957601884,2.929971957601884,0.0,False,True,0.0,logei,0.5329890000284649,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,1.3984184141769678,71.15746178710745,1.3984184141769678,3.7451295677424974,2.929971957601884,1.3984184141769678,schwefel
20,386.5938614369903,-289.3499097812462,239.75206609315023,226.4343121179915,1.941588933254041,1.941588933254041,1.941588933254041,0.0,False,True,0.0,logei,0.3710908999782987,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,2.386801438524811,73.54426322563226,1.3984184141769678,3.677213161281613,2.929971957601884,1.3984184141769678,schwefel
21,382.69457227616056,-430.91173196127386,233.81678021723758,442.3016774673372,0.7770272220337419,0.7770272220337419,0.7770272220337419,0.0,False,True,0.0,logei,0.5096608999883756,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,3.55136314974511,77.09562637537738,1.3984184141769678,3.671220303589399,2.929971957601884,1.3984184141769678,schwefel
22,374.3502738679138,-224.58961070148533,236.21677076738806,367.83103828045313,0.5890472351347101,0.5890472351347101,0.5890472351347101,0.0,False,True,0.0,logei,0.3939407999860123,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,3.7393431366441416,80.83496951202152,1.3984184141769678,3.674316796000978,2.929971957601884,1.3984184141769678,schwefel
23,405.9389401219948,-284.2079912392374,219.1320643426903,191.219869067482,2.5953835172705344,2.5953835172705344,2.5953835172705344,0.0,False,True,0.0,logei,0.48082769999746233,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,1.7330068545083175,82.56797636652983,1.3984184141769678,3.5899120159360796,2.929971957601884,1.3984184141769678,schwefel
24,403.5901279259704,-262.83847665506994,225.4919455023718,468.3037526981721,2.10092307865918,2.10092307865918,2.10092307865918,0.0,False,True,0.0,logei,0.6835651000146754,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,2.227467293119672,84.79544365964951,1.3984184141769678,3.5331434858187296,2.929971957601884,1.3984184141769678,schwefel
