iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,0.7775340829201788,0.7160746296035653,0.9153801204905075,-0.6203051845937949,-0.6203051845937949,False,0.0,qnei,0.0,False,0,9,3f411e81-9b82-457b-bc1c-aef18fa2e2df,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.6203051845937949,8.587469147885733,8.587469147885733,8.587469147885733,8.587469147885733,-0.6203051845937949,8.587469147885733,hartmann_6
2,0.8603936491828846,0.9182376290487624,0.026587734467597213,0.4372480001295087,0.48494432697728806,0.06515419737010752,-0.47852200150684815,-0.47852200150684815,False,0.0,qnei,0.0,False,1,9,3f411e81-9b82-457b-bc1c-aef18fa2e2df,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.47852200150684815,8.445685964798786,17.03315511268452,8.445685964798786,8.51657755634226,-0.47852200150684815,8.445685964798786,hartmann_6
3,0.005626050679392924,0.830621436971257,0.9833022442861755,0.7846098526726796,0.31560348997827314,0.7053337045894538,-0.5412982988132623,-0.5412982988132623,False,0.0,qnei,0.0,False,2,9,3f411e81-9b82-457b-bc1c-aef18fa2e2df,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.47852200150684815,8.5084622621052,25.541617374789716,8.445685964798786,8.513872458263238,-0.47852200150684815,8.445685964798786,hartmann_6
4,0.2991810731982467,0.7407484828757487,0.279747219748287,0.7825909153281315,0.9877407468945767,0.9862385492802385,-0.6665178495997667,-0.6665178495997667,False,0.0,qnei,0.0,False,3,9,3f411e81-9b82-457b-bc1c-aef18fa2e2df,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.47852200150684815,8.633681812891703,34.17529918768142,8.445685964798786,8.543824796920354,-0.47852200150684815,8.445685964798786,hartmann_6
5,0.8828625669966758,0.9128100517839179,0.7082069141031725,0.5544968772635087,0.9232382080702205,0.08973077985431255,-0.5212958261669214,-0.5212958261669214,False,0.0,qnei,0.0,False,4,9,3f411e81-9b82-457b-bc1c-aef18fa2e2df,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.47852200150684815,8.488459789458858,42.663758977140276,8.445685964798786,8.532751795428055,-0.47852200150684815,8.445685964798786,hartmann_6
6,0.4709070171200731,0.912080618978184,0.4927341869356775,0.5336435825103983,0.08878144532801258,0.17093036030696684,5.21254778564393,5.21254778564393,False,0.0,qnei,0.7454262999817729,False,0,9,3f411e81-9b82-457b-bc1c-aef18fa2e2df,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,5.21254778564393,2.754616177648007,45.41837515478828,2.754616177648007,7.569729192464713,5.21254778564393,2.754616177648007,hartmann_6
7,0.41429530487553035,0.9977357669491108,0.5114718905144918,0.43238431339190353,0.0,0.0,5.273867216710237,5.273867216710237,False,0.0,qnei,0.9194474000250921,False,1,9,3f411e81-9b82-457b-bc1c-aef18fa2e2df,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,5.273867216710237,2.6932967465816997,48.11167190136998,2.6932967465816997,6.873095985909997,5.273867216710237,2.6932967465816997,hartmann_6
8,0.17613937079722666,1.0,0.4332148571675262,0.8172087468673707,0.0,0.0,0.9756503624235224,0.9756503624235224,False,0.0,qnei,0.9434133999748155,False,2,9,3f411e81-9b82-457b-bc1c-aef18fa2e2df,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,5.273867216710237,6.991513600868415,55.1031855022384,2.6932967465816997,6.8878981877798,5.273867216710237,2.6932967465816997,hartmann_6
9,0.48813793368838493,1.0,1.0,0.10673920341838339,0.0,0.0,0.05555669836136829,0.05555669836136829,False,0.0,qnei,1.2509698999929242,False,3,9,3f411e81-9b82-457b-bc1c-aef18fa2e2df,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,5.273867216710237,7.911607264930569,63.01479276716896,2.6932967465816997,7.001643640796551,5.273867216710237,2.6932967465816997,hartmann_6
10,0.49518344231192984,1.0,0.4663909040388369,0.20584874804647765,0.0,0.0,0.9508015474542596,0.9508015474542596,False,0.0,qnei,0.895516199991107,False,4,9,3f411e81-9b82-457b-bc1c-aef18fa2e2df,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,5.273867216710237,7.016362415837677,70.03115518300665,2.6932967465816997,7.003115518300665,5.273867216710237,2.6932967465816997,hartmann_6
11,0.3757377992434466,1.0,0.777150567131774,0.5169623195147762,0.0,0.0,6.287093144149718,6.287093144149718,False,0.0,qnei,1.4756585999857634,False,0,9,3f411e81-9b82-457b-bc1c-aef18fa2e2df,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,6.287093144149718,1.6800708191422187,71.71122600214886,1.6800708191422187,6.519202363831715,6.287093144149718,1.6800708191422187,hartmann_6
12,0.272212696177705,0.7022209039634209,1.0,0.496809251315894,0.0,0.0,3.7130225240371404,3.7130225240371404,False,0.0,qnei,1.2060115999775007,False,1,9,3f411e81-9b82-457b-bc1c-aef18fa2e2df,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,6.287093144149718,4.254141439254797,75.96536744140366,1.6800708191422187,6.330447286783638,6.287093144149718,1.6800708191422187,hartmann_6
13,0.33411716598840274,1.0,1.0,0.5083259800145385,0.0,0.5182923509047862,-0.3799594756665175,-0.3799594756665175,False,0.0,qnei,1.177802799968049,False,2,9,3f411e81-9b82-457b-bc1c-aef18fa2e2df,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,6.287093144149718,8.347123438958455,84.3124908803621,1.6800708191422187,6.4855762215663155,6.287093144149718,1.6800708191422187,hartmann_6
